,https://roic.ai/company/LIVN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,400000,1000000,1400000,1400000,14900000,29900000,47888733,- -,70111293,104466998,110721499,103442570,123441575,130968437,121229742,143600979,167775672,190464398,218502731,254320417,282014160,291557998,1213925000,1012277000,1106961000,1084170000,934241000,1035400000
2,COGS,-200000,- -,200000,100000,3200000,6200000,10384174,- -,13616374,16066229,16295562,15575741,15822045,18258374,21092374,20040636,20907595,23020032,19656332,21907264,27354891,27310869,509520000,360446000,372492000,339412000,315922000,329400000
3,Gross Profit,600000,1000000,1200000,1300000,11700000,23700000,37504559,- -,56494919,88400769,94425937,87866829,107619530,112710063,100137368,123560343,146868077,167444366,198846399,232413153,254659269,264247129,704405000,651831000,734469000,744758000,618319000,706000000
4,Gross Profit Ratio,1.5000,1.0000,0.8571,0.9286,0.7852,0.7926,0.7832,- -,0.8058,0.8462,0.8528,0.8494,0.8718,0.8606,0.8260,0.8604,0.8754,0.8791,0.9100,0.9139,0.9030,0.9063,0.5803,0.6439,0.6635,0.6869,0.6618,0.6819
5,Research and Development Exp.,- -,- -,8000000,6500000,7400000,6700000,8037096,- -,24516547,17874909,17133709,19341075,29541707,28092243,22421199,19732941,22064800,28602684,35334770,41551444,46562775,43284432,122454000,109516000,146024000,149889000,152902000,183400000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382184000,462413000,506542000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,469234000,382184000,462413000,506542000,- -,471900000
9,Other Expenses,7100000,8900000,3600000,6200000,20500000,31100000,34718599,- -,59191154,65842238,70597149,81430943,137310196,134144315,85944866,84837694,87941405,89654039,102568776,112515262,120641897,123618907,45511000,31666000,39748000,40375000,508280000,51500000
10,Operating Expenses,7100000,8900000,11600000,12700000,27900000,37800000,42755695,- -,83707701,83717147,87730858,100772018,166851903,162236558,108366065,104570635,110006205,118256723,137903546,154066706,167204672,166903339,637199000,523366000,648185000,696806000,661182000,706800000
11,COGS and Expenses,6900000,8900000,11800000,12800000,31100000,44000000,53139869,- -,97324075,99783376,104026420,116347759,182673948,180494932,129458439,124611271,130913800,141276755,157559878,175973970,194559563,194214208,1146719000,884927000,1343549000,1253040000,977104000,1036200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,1264853,- -,469924,1072488,3211956,4649394,3844508,1235757,92602,262298,326118,84287,182266,- -,1698000,1318000,847000,803000,131000,435000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,266270,- -,565702,444270,3018969,5913119,5818272,3394837,1430590,397975,296725,119303,20048,- -,10616000,7797000,9825000,15091000,40837000,49700000
14,Depreciation and Amortization,300000,300000,200000,300000,700000,1500000,1449333,- -,4290600,5120561,4918051,3986690,4488146,4490348,3959360,2179900,2228619,2737953,4728337,4638369,5602493,7254569,85363000,82935000,69940000,82989000,81320000,67900000
15,EBITDA,-5600000,-6900000,-9900000,-10900000,-13500000,-11000000,-1603911,- -,-21563035,10435055,12474051,-7761275,-51462811,-40697865,-821970,33024798,42147680,51800859,65446490,80032297,85501237,96548646,40318000,94597000,-179263000,-87249000,-223587000,-7000000
16,EBITDA ratio,-14.0000,-6.9000,-7.0714,-7.7857,-0.9060,-0.3679,-0.0335,- -,-0.3076,0.0999,0.1127,-0.0750,-0.4169,-0.3107,-0.0068,0.2300,0.2512,0.2720,0.2995,0.3147,0.3032,0.3311,0.0332,0.0934,-0.1619,-0.0805,-0.2393,-0.0068
17,Operating Income,-6500000,-7900000,-10400000,-11400000,-16200000,-14100000,-5251136,- -,-27212782,4683622,6695079,-12905189,-59232373,-49526495,-8228697,18989708,36861872,49187643,60942853,78346447,80011750,88651718,-27622000,95670000,-248072000,-168870000,-269864000,-784000
18,Operating Income ratio,-16.2500,-7.9000,-7.4286,-8.1429,-1.0872,-0.4716,-0.1097,- -,-0.3881,0.0448,0.0605,-0.1248,-0.4798,-0.3782,-0.0679,0.1322,0.2197,0.2583,0.2789,0.3081,0.2837,0.3041,-0.0228,0.0945,-0.2241,-0.1558,-0.2889,-0.0008
19,Total Other Income Expenses (Gains),700000,700000,300000,200000,2000000,100000,-44894,- -,93694,630872,295219,712954,262447,-1574837,-2370905,8460353,1626599,-522712,-521425,-3071822,-133054,642359,-5427000,25468000,625000,-16824000,-74123000,-123716000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,5314494,6990298,-12192235,-58969926,-51101332,-10599602,27450061,38488471,48664931,60421428,75274625,79878696,89294077,-33049000,121138000,-247447000,-185694000,-343987000,-124500000
