,https://roic.ai/company/PLAN,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , 
1,Revenue,71525000,120499000,168347000,240642000,348022000,447755000,592176000
2,COGS,30504000,39407000,51985000,67398000,90777000,108979000,156341000
3,Gross Profit,41021000,81092000,116362000,173244000,257245000,338776000,435835000
4,Gross Profit Ratio,0.5735,0.6730,0.6912,0.7199,0.7392,0.7566,0.7360
5,Research and Development Exp.,19288000,23868000,30908000,48998000,68396000,100523000,153484000
6,General and Administrative Exp.,19313000,22503000,30719000,76186000,86852000,90030000,105709000
7,Selling and Marketing Exp.,55279000,73656000,100654000,176323000,250430000,302002000,377352000
8,"Selling, General and Administrative Exp.",74592000,96159000,131373000,252509000,337282000,392032000,483061000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,93880000,120027000,162281000,301507000,405678000,492555000,636545000
11,COGS and Expenses,124384000,159434000,214266000,368905000,496455000,601534000,792886000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,-493000
14,Depreciation and Amortization,2588000,4324000,7399000,12937000,20341000,25831000,28511000
15,EBITDA,-51559000,-35358000,-38894000,-114870000,-124423000,-124045000,-171495000
16,EBITDA ratio,-0.7209,-0.2934,-0.2310,-0.4773,-0.3575,-0.2770,-0.2896
17,Operating Income,-52859000,-38935000,-45919000,-128263000,-148433000,-153779000,-200710000
18,Operating Income ratio,-0.7390,-0.3231,-0.2728,-0.5330,-0.4265,-0.3434,-0.3389
19,Total Other Income Expenses (Gains),-1288000,-747000,-374000,456000,3669000,3903000,-6975000
20,Income Before Tax,-54147000,-39682000,-46293000,-127807000,-144764000,-149876000,-207685000
21,Income Before Tax Ratio,-0.7570,-0.3293,-0.2750,-0.5311,-0.4160,-0.3347,-0.3507
22,Income Tax expense (Gain),80000,512000,1261000,3209000,4453000,4091000,4086000
23,Net Income,-54227000,-40194000,-47554000,-131016000,-149217000,-153967000,-203599000
24,Net Income ratio,-0.7582,-0.3336,-0.2825,-0.5444,-0.4288,-0.3439,-0.3438
25,EPS,-0.61,-0.41,-0.54,-2.46,-1.15,-1.10,-1.39
26,EPS Diluted,-0.61,-0.41,-0.54,-2.46,-1.15,-1.10,-1.39
27,Weighted Average Shares Outstanding,88212000,97571000,88212000,53328000,129799000,139499000,146966000
28,Weighted Average Shares Outstanding Diluted,88212000,97571000,88212000,53328000,129799000,139499000,146966000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1540755/000119312519092804/0001193125-19-092804-index.html,https://www.sec.gov/Archives/edgar/data/1540755/000156459020014183/0001564590-20-014183-index.html,https://www.sec.gov/Archives/edgar/data/1540755/000156459021012868/0001564590-21-012868-index.htm,https://www.sec.gov/Archives/edgar/data/1540755/000154075522000018/0001540755-22-000018-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,80155000,110898000,326863000,309894000,320990000,299371000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,80155000,110898000,326863000,309894000,320990000,299371000
34,Net Receivables,- -,52829000,66061000,92597000,109217000,147005000,196500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,12140000,21115000,29204000,43804000,61049000,81938000
37,Total Current Assets,- -,145124000,198074000,448664000,462915000,529044000,577809000
38,PP&E,- -,10876000,18321000,43340000,86514000,85588000,94406000
39,Goodwill,- -,- -,- -,- -,32379000,32379000,32379000
40,Intangible Assets,- -,- -,- -,- -,6853000,5513000,- -
41,Intangible Assets,- -,- -,- -,- -,39232000,37892000,32379000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,18941000,30352000,36765000,61146000,86601000,128041000
45,Total Non-Current Assets,- -,29817000,48673000,80105000,186892000,210081000,254826000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,174941000,246747000,528769000,649807000,739125000,832635000
48,Accounts Payable,- -,5890000,6417000,6182000,5331000,7949000,9294000
49,Short-Term Debt,- -,- -,- -,- -,- -,15982000,31200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,65615000,101047000,149611000,216059000,287778000,378882000
52,Other Current Liabilities,- -,17789000,26685000,52570000,86302000,93476000,103091000
53,Total Current Liabilities,- -,89294000,134149000,208363000,307692000,405185000,522467000
54,Long-Term Debt,- -,- -,- -,- -,- -,30130000,26046000
55,Deferred Revenue,- -,282000,239000,1232000,4149000,7765000,3271000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,621000,720000,11696000,46285000,18032000,18150000
58,Total Non-Current Liabilities,- -,903000,959000,12928000,50434000,55927000,47467000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,4512000,48251000,46112000,- -
61,Total Liabilities,- -,90197000,135108000,221291000,358126000,461112000,569934000
62,Preferred Stock,- -,7000,7000,- -,- -,- -,- -
63,Common Stock,- -,2000,3000,12000,13000,14000,15000
64,Retained Earnings,- -,-164666000,-212220000,-343236000,-492453000,-646978000,-850577000
65,Other Comprehensive Income/Loss,- -,-8223000,-15354000,-3000000,-4000000,-7528000,-7696000
66,Other Total Stockholders Equity,- -,257624000,339203000,653702000,788121000,932505000,1120959000
67,Total Stockholders Equity,- -,84744000,111639000,307478000,291681000,278013000,262701000
68,Total Liabilities And Stockholders Equity,- -,174941000,246747000,528769000,649807000,739125000,832635000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,174941000,246747000,528769000,649807000,739125000,832635000
