,https://roic.ai/company/BEAM,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,18000,24000,51844000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,24000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,5859000,33873000,54619000,103179000,387087000
6,General and Administrative Exp.,2021000,11868000,20553000,29605000,57222000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2021000,11868000,20553000,29605000,57222000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,7880000,45741000,75172000,132784000,444309000
11,COGS and Expenses,7880000,45741000,75172000,132784000,444309000
12,Interest Income ,- -,292000,2486000,- -,- -
13,Interest Expense (Gain),- -,- -,187000,- -,- -
14,Depreciation and Amortization,11000,650000,3503000,4735000,7451000
15,EBITDA,-7369000,16158000,-74636000,-189857000,-363187000
16,EBITDA ratio,-Infinity,Infinity,-4146.4444,-7910.7083,-7.0054
17,Operating Income,-7880000,-45741000,-75154000,-132760000,-392465000
18,Operating Income ratio,-Infinity,-Infinity,-4175.2222,-5531.6667,-7.5701
19,Total Other Income Expenses (Gains),-122000,-70997000,-3172000,-61832000,21827000
20,Income Before Tax,-8002000,-116738000,-78326000,-194592000,-370638000
21,Income Before Tax Ratio,-Infinity,-Infinity,-4351.4444,-8108.0000,-7.1491
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-8002000,-115257000,-78326000,-194592000,-370638000
24,Net Income ratio,-Infinity,-Infinity,-4351.4444,-8108.0000,-7.1491
25,EPS,-0.75,-8.90,-2.01,-4.19,-5.77
26,EPS Diluted,-0.75,-8.90,-2.01,-4.19,-5.77
27,Weighted Average Shares Outstanding,12952944,12952944,45324846,46733221,64227676
28,Weighted Average Shares Outstanding Diluted,12952944,12952944,45324846,46733221,64227676
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1745999/000156459020014308/0001564590-20-014308-index.htm,https://www.sec.gov/Archives/edgar/data/1745999/000156459021013190/0001564590-21-013190-index.htm,https://www.sec.gov/Archives/edgar/data/1745999/000095017022002166/0000950170-22-002166-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1901000,146443000,37221000,162171000,559994000
32,Short-Term Investments,- -,- -,54627000,137500000,405653000
33,Cash and Short-Term Investments,1901000,146443000,91848000,299671000,965647000
34,Net Receivables,- -,- -,- -,- -,300000000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,136000,1832000,2696000,8650000,7360000
37,Total Current Assets,2037000,148275000,94544000,308321000,1273007000
38,PP&E,335000,16944000,43247000,125372000,186976000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,137500000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,30000,1793000,18308000,-119516000,14470000
45,Total Non-Current Assets,365000,18737000,61555000,143356000,201446000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,2402000,167012000,156099000,451677000,1474453000
48,Accounts Payable,726000,7351000,7846000,6314000,7474000
49,Short-Term Debt,- -,- -,5640000,6336000,9827000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,86270000
