,https://roic.ai/company/MNKKQ,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,2021800000,2056200000,2204500000,2208000000,3346900000,3380800000,3221600000,3215600000,3162500000,2213400000,2208000000
2,COGS,- -,1106900000,1091400000,1179600000,1317000000,1493300000,1525800000,1565300000,1744400000,1741100000,1544000000,1317000000
3,Gross Profit,- -,914900000,964800000,1024900000,891000000,1853600000,1855000000,1656300000,1471200000,1421400000,669400000,891000000
4,Gross Profit Ratio,- -,0.4525,0.4692,0.4649,0.4035,0.5538,0.5487,0.5141,0.4575,0.4495,0.3024,0.4035
5,Research and Development Exp.,- -,141500000,144100000,165700000,205000000,185100000,262200000,277300000,361100000,349400000,290800000,205000000
6,General and Administrative Exp.,- -,532500000,551700000,609900000,- -,1169800000,925300000,- -,834100000,831000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,532500000,551700000,609900000,581000000,1169800000,925300000,920900000,834100000,831000000,- -,581000000
9,Other Expenses,- -,-88000000,-104800000,863400000,- -,1214100000,1560500000,- -,5741800000,3804600000,884100000,- -
10,Operating Expenses,- -,586000000,591000000,1639000000,786000000,2569000000,2748000000,1198200000,6937000000,4985000000,1174900000,786000000
11,COGS and Expenses,- -,1780900000,1787200000,1955200000,2103000000,2848200000,2713300000,2763500000,2939600000,2921500000,2718900000,2103000000
12,Interest Income ,- -,200000,400000,300000,1000000,1000000,1300000,4600000,8200000,9500000,5900000,1000000
13,Interest Expense (Gain),- -,600000,500000,19500000,-222000000,255600000,384600000,369100000,370200000,309000000,261100000,-222000000
14,Depreciation and Amortization,- -,119800000,130900000,139600000,675000000,672500000,834500000,808300000,852100000,951100000,885200000,- -
15,EBITDA,- -,357300000,360800000,286500000,-376000000,1159900000,1607200000,1602200000,-2814800000,-320700000,210600000,-1051000000
16,EBITDA ratio,- -,0.1767,0.1755,0.1300,-0.1703,0.3466,0.4754,0.4973,-0.8754,-0.1014,0.0951,-0.4760
17,Operating Income,- -,240700000,235200000,144800000,-723000000,461800000,617300000,420100000,-3720900000,-1822200000,-651600000,-202900000
18,Operating Income ratio,- -,0.1191,0.1144,0.0657,-0.3274,0.1380,0.1826,0.1304,-1.1571,-0.5762,-0.2944,-0.0919
19,Total Other Income Expenses (Gains),- -,2500000,900000,-18400000,-106000000,-246500000,-383900000,-358500000,-331100000,230700000,-309200000,-626100000
20,Income Before Tax,- -,243200000,236100000,126400000,-829000000,215300000,233400000,61600000,-4052000000,-1591500000,-960800000,-829000000
21,Income Before Tax Ratio,- -,0.1203,0.1148,0.0573,-0.3755,0.0643,0.0690,0.0191,-1.2601,-0.5032,-0.4341,-0.3755
22,Income Tax expense (Gain),- -,86200000,94800000,68600000,-112000000,-92900000,-255600000,-1709600000,-430100000,-584300000,8900000,-112000000
23,Net Income,- -,150700000,134600000,58800000,-717000000,324700000,643700000,2134400000,-3607000000,-996500000,-944600000,-717000000
24,Net Income ratio,- -,0.0745,0.0655,0.0267,-0.3247,0.0970,0.1904,0.6625,-1.1217,-0.3151,-0.4268,-0.3247
25,EPS,- -,2.61,2.33,1.06,-8.47,2.78,5.82,21.85,-42.94,-11.88,-11.18,-8.47
26,EPS Diluted,- -,2.61,2.33,1.06,-8.47,2.75,5.77,21.80,-42.94,-11.88,-11.18,-8.47
27,Weighted Average Shares Outstanding,- -,57700000,57700000,57700000,84700000,115800000,110600000,97700000,84000000,83900000,84500000,84700000
28,Weighted Average Shares Outstanding Diluted,- -,57700000,57700000,57800000,84700000,117200000,111500000,97900000,84000000,83900000,84500000,84700000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789213000029/0001567892-13-000029-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789215000047/0001567892-15-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789216000098/0001567892-16-000098-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1567892/000156789219000009/0001567892-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789220000005/0001567892-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789221000011/0001567892-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1567892/000156789222000007/0001567892-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,275500000,1345000,365900000,280500000,1260900000,348900000,790900000,1070600000,12700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,275500000,1345000,365900000,280500000,1260900000,348900000,790900000,1070600000,12700000
34,Net Receivables,- -,- -,- -,400800000,439000,548500000,465800000,599800000,623300000,577500000,538800000,302900000
35,Inventory,- -,- -,- -,403100000,347000,281800000,335600000,340400000,322300000,312100000,344900000,- -
36,Other Current Assets,- -,- -,- -,305500000,178000,649900000,424700000,84100000,132700000,150200000,350000000,13500000
37,Total Current Assets,- -,- -,- -,1384900000,2309000,1846100000,1506600000,2285200000,1427200000,1830700000,2304300000,329100000
38,PP&E,- -,- -,- -,997400000,776000,991300000,844000000,966800000,982000000,896500000,833100000,- -
39,Goodwill,- -,- -,- -,532000000,- -,3649400000,3705300000,3482700000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,422100000,5448000,9666300000,9182300000,8375000000,8282800000,7018000000,6184500000,- -
41,Intangible Assets,- -,- -,- -,954100000,5448000,13315700000,12887600000,11857700000,8282800000,7018000000,6184500000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,220200000,363000,251000000,260500000,171200000,185300000,593700000,393500000,- -
