,https://roic.ai/company/CSX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7320000000,6345000000,8043000000,7592000000,7745000000,8205000000,8636000000,8734000000,8940000000,9409000000,10504000000,10536000000,10621000000,9898000000,10811000000,8191000000,8110000000,8152000000,7793000000,8020000000,8618000000,9566000000,10030000000,11255000000,9041000000,10636000000,11743000000,11756000000,12026000000,12669000000,11811000000,11069000000,11408000000,12250000000,11937000000,10583000000,12522000000
2,COGS,6030000000,4964000000,6604000000,6216000000,6429000000,6917000000,8036000000,7941000000,7455000000,8227000000,4043000000,4099000000,4081000000,3913000000,4164000000,3271000000,2912000000,2889000000,2870000000,4276000000,2906000000,3302000000,3481000000,4203000000,2828000000,2913000000,3897000000,3828000000,3931000000,4100000000,3293000000,2805000000,7635000000,7477000000,7063000000,6221000000,7382000000
3,Gross Profit,1290000000,1381000000,1439000000,1376000000,1316000000,1288000000,600000000,793000000,1485000000,1182000000,6461000000,6437000000,6540000000,5985000000,6647000000,4920000000,5198000000,5263000000,4923000000,3744000000,5712000000,6264000000,6549000000,7052000000,6213000000,7723000000,7846000000,7928000000,8095000000,8569000000,8518000000,8264000000,3773000000,4773000000,4874000000,4362000000,5140000000
4,Gross Profit Ratio,0.1762,0.2177,0.1789,0.1812,0.1699,0.1570,0.0695,0.0908,0.1661,0.1256,0.6151,0.6110,0.6158,0.6047,0.6148,0.6007,0.6409,0.6456,0.6317,0.4668,0.6628,0.6548,0.6529,0.6266,0.6872,0.7261,0.6681,0.6744,0.6731,0.6764,0.7212,0.7466,0.3307,0.3896,0.4083,0.4122,0.4105
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4432000000,4304000000,4337000000,4242000000,1491000000,3563000000,3568000000,3498000000,3306000000,3588000000,3374000000,3437000000,3437000000,3380000000,3020000000,2957000000,3452000000,3412000000,3518000000,3805000000,3726000000,3600000000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,4290000000,4432000000,4304000000,4337000000,4242000000,1491000000,3563000000,3568000000,3498000000,993000000,3588000000,3439000000,3512000000,2986000000,2955000000,2629000000,2957000000,3073000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,409000000,344000000,544000000,467000000,447000000,473000000,501000000,527000000,572000000,- -,857000000,611000000,620000000,583000000,8256000000,552000000,673000000,638000000,3304000000,4186000000,723000000,614000000,1307000000,1505000000,1299000000,947000000,1355000000,4471000000,4622000000,4956000000,4934000000,4966000000,7688000000,7381000000,6972000000,50000000,72000000
