,https://roic.ai/company/GOGL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,42100000,45000000,40300000,76300000,61500000,40300000,75200000,135700000,100200000,105700000,88200000,82900000,67300000,40800000,55500000,37300000,37500000,96715000,190238000,256863000,460023000,656070000,705799000,607943000,1203181000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,24100000,33700000,35900000,28400000,18500000,27400000,6400000,9900000,11900000,14700000,52631000,161121000,195729000,251127000,313663000,378226000,563894000,675017000
3,Gross Profit,- -,- -,- -,- -,- -,- -,40300000,75200000,111600000,66500000,69800000,59800000,64400000,39900000,34400000,45600000,25400000,22800000,44084000,29117000,61134000,208896000,342407000,327573000,44049000,528164000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,1.0000,0.8224,0.6637,0.6604,0.6780,0.7768,0.5929,0.8431,0.8216,0.6810,0.6080,0.4558,0.1531,0.2380,0.4541,0.5219,0.4641,0.0725,0.4390
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,700000,800000,800000,800000,800000,800000,900000,1100000,1000000,1500000,1500000,1500000,1800000,3000000,3500000,4300000,4900000,5037000,17198000,14528000,12558000,14705000,14123000,13722000,18149000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,708301,841140,841022,807357,800919,805429,864096,1114000,988000,1492000,1481000,1538000,1823000,3018000,3528000,4259000,4937000,5037000,12469000,12728000,12558000,14705000,14123000,13722000,18149000
9,Other Expenses,- -,14856193,17592860,17592860,17592860,17592860,17592860,17592860,41327000,50790000,52971000,45432000,13711000,14343000,19567000,22759000,- -,- -,- -,4729000,1800000,-3881000,-2991000,1170000,-2965000,2008000
10,Operating Expenses,- -,15564494,18434000,18433882,18400217,18393779,18398289,18456956,42441000,51778000,54463000,46913000,15249000,16166000,22585000,26287000,4259000,4937000,5037000,17198000,14528000,8677000,11714000,15293000,10757000,20157000
11,COGS and Expenses,- -,15600000,18400000,18400000,18400000,18400000,18400000,18500000,42400000,51800000,54500000,-2166000,33800000,43600000,17300000,24500000,27300000,30700000,77229000,369598000,337171000,409948000,511057000,605143000,574651000,695174000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2336000,123000,54000,52000,106000,41000,29000,849000,1666000,2207000,7576000,4434000,1193000,484000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3216000,1895000,3940000,4957000,3765000,2827000,2525000,25053000,42097000,57072000,73375000,57113000,44674000,39909000
14,Depreciation and Amortization,- -,14856193,17592860,17592860,17592860,17592860,17592860,17592860,17219000,17186000,17191000,17164000,13712000,14532000,20219000,22759000,20485000,11079000,19561000,52728000,63433000,78093000,92148000,93845000,111303000,123699000
15,EBITDA,- -,34356193,34992860,30192860,66292860,51492860,30192860,65092860,103019000,61186000,62891000,101964000,65028000,38127000,62759000,60416000,-29150000,10006000,38081000,-143247000,-22026000,132873000,250290000,188384000,18439000,691215000
16,EBITDA ratio,- -,0.8161,0.7776,0.7492,0.8688,0.8373,0.7492,0.8656,0.7592,0.6106,0.5950,1.1561,0.7844,0.5665,1.5382,1.0886,-0.7815,0.2668,0.3937,-0.7530,-0.0857,0.2888,0.3815,0.2669,0.0303,0.5745
17,Operating Income,- -,26573686,26605385,21842043,57935758,43140556,21877636,56789244,93254000,48401000,51265000,90366000,49118000,23756000,43167000,38214000,10008000,6824000,19486000,-234913000,-70258000,50075000,145013000,100656000,-61662000,513608000
18,Operating Income ratio,- -,0.6312,0.5912,0.5420,0.7593,0.7015,0.5429,0.7552,0.6872,0.4830,0.4850,1.0246,0.5925,0.3530,1.0580,0.6885,0.2683,0.1820,0.2015,-1.2348,-0.2735,0.1089,0.2210,0.1426,-0.1014,0.4269
19,Total Other Income Expenses (Gains),- -,-7073686,-9205385,-9242043,-9235758,-9240556,-9277636,-9289244,-7454000,-4401000,-5565000,-5566000,-1018000,-2056000,-23067000,-11114000,-4108000,-3324000,-3233000,14263000,-57608000,-52367000,-60246000,-63230000,-75876000,13999000
20,Income Before Tax,- -,19500000,17400000,12600000,48700000,33900000,12600000,47500000,85800000,44000000,45700000,84800000,48100000,21700000,20100000,27100000,5900000,3500000,16253000,-220650000,-127866000,-2292000,84767000,37426000,-137538000,527607000
21,Income Before Tax Ratio,- -,0.4632,0.3867,0.3127,0.6383,0.5512,0.3127,0.6316,0.6323,0.4391,0.4324,0.9615,0.5802,0.3224,0.4926,0.4883,0.1582,0.0933,0.1681,-1.1599,-0.4978,-0.0050,0.1292,0.0530,-0.2262,0.4385
