,https://roic.ai/company/MKD,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,3206079000,4201907000,9053266000,13207315000,7596412000
2,COGS,3179961000,4151673000,8973097000,13106542000,7606611000
3,Gross Profit,26118000,50234000,80169000,100773000,-10199000
4,Gross Profit Ratio,0.0081,0.0120,0.0089,0.0076,-0.0013
5,Research and Development Exp.,20067000,18608000,36889000,45038000,35215000
6,General and Administrative Exp.,41801000,41718000,173872000,104471000,210401000
7,Selling and Marketing Exp.,59160000,64962000,103293000,108858000,67018000
8,"Selling, General and Administrative Exp.",100961000,106680000,277165000,213329000,277419000
9,Other Expenses,10863000,14677000,1907000,34618000,8724000
10,Operating Expenses,131891000,139965000,315961000,292985000,321358000
11,COGS and Expenses,3311852000,4291638000,9289058000,13399527000,7927969000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),8436000,16828000,19049000,4367000,10727000
14,Depreciation and Amortization,978000,1488000,2438000,3050000,1724000
15,EBITDA,-104522000,-89491000,-233152000,-185666000,-313129000
16,EBITDA ratio,-0.0326,-0.0213,-0.0258,-0.0141,-0.0412
17,Operating Income,-105773000,-91181000,-235792000,-192212000,-331557000
18,Operating Income ratio,-0.0330,-0.0217,-0.0260,-0.0146,-0.0436
19,Total Other Income Expenses (Gains),-8163000,-16626000,-18847000,-871000,5977000
20,Income Before Tax,-113936000,-107807000,-254639000,-193083000,-325580000
21,Income Before Tax Ratio,-0.0355,-0.0257,-0.0281,-0.0146,-0.0429
22,Income Tax expense (Gain),- -,- -,- -,465000,2458000
23,Net Income,-113936000,-107807000,-254639000,-193548000,-328038000
24,Net Income ratio,-0.0355,-0.0257,-0.0281,-0.0147,-0.0432
25,EPS,-0.99,-0.94,-2.21,-1.86,-0.42
26,EPS Diluted,-0.99,-0.94,-2.21,-1.86,-0.42
27,Weighted Average Shares Outstanding,115042341,115042341,115042341,103542341,116053546
28,Weighted Average Shares Outstanding Diluted,115042341,115042341,115042341,103542341,125350919
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,38522000,6477000,15156000,11311000
32,Short-Term Investments,- -,- -,- -,- -,336038000
33,Cash and Short-Term Investments,- -,38522000,6477000,15156000,347349000
34,Net Receivables,- -,101218000,62256000,211152000,92043000
35,Inventory,- -,19199000,7256000,4351000,2821000
36,Other Current Assets,- -,217517000,291713000,256173000,220973000
37,Total Current Assets,- -,376456000,367702000,486832000,663186000
38,PP&E,- -,2651000,1762000,4325000,4920000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,1441000,2134000,1560000,536000
41,Intangible Assets,- -,1441000,2134000,1560000,536000
42,Investments,- -,600000,- -,- -,353000
43,Tax Assets,- -,- -,- -,- -,15826000
44,Other Non-Current Assets,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,4692000,3896000,5885000,21635000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,381148000,371598000,492717000,684821000
48,Accounts Payable,- -,67013000,49315000,304380000,315729000
49,Short-Term Debt,- -,138573000,82000,16829000,51381000
50,Tax Payable,- -,268000,1741000,46852000,29257000
51,Deferred Revenue,- -,46187000,154238000,114186000,116745000
52,Other Current Liabilities,- -,48082000,51782000,240366000,208751000
53,Total Current Liabilities,- -,299855000,255417000,675761000,692606000
54,Long-Term Debt,- -,74998000,177776000,- -,19711000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,394000,30000,33453000,383000
58,Total Non-Current Liabilities,- -,75392000,177806000,33453000,20094000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3080000,21247000
61,Total Liabilities,- -,375247000,433223000,709214000,712700000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,98000,98000,98000,114000
64,Retained Earnings,- -,-305710000,-560349000,-753897000,-1081914000
65,Other Comprehensive Income/Loss,- -,-2840000,-4213000,-316000,-21192000
66,Other Total Stockholders Equity,- -,314353000,502839000,537618000,1075064000
