,https://roic.ai/company/ENG,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10500000,13400000,12200000,16976023,22053738,91561106,123719102,148888241,233584833,303090361,363227000,493332000,343462000,320615000,312747000,227900000,169000000,107900000,79605000,59224000,55765000,53996000,56446000,64449000,36410000
2,COGS,7900000,10300000,9200000,12810517,16759029,76617720,106745527,130294774,205312173,276826128,305610000,429525000,312409000,297896000,285468000,209200000,147700000,84452000,63337000,49112000,49327000,47063000,48530000,55998000,- -
3,Gross Profit,2600000,3100000,3000000,4165506,5294709,14943386,16973575,18593467,28272660,26264233,57617000,63807000,31053000,22719000,27279000,18700000,21300000,23448000,16268000,10112000,6438000,6933000,7916000,8451000,36410000
4,Gross Profit Ratio,0.2476,0.2313,0.2459,0.2454,0.2401,0.1632,0.1372,0.1249,0.1210,0.0867,0.1586,0.1293,0.0904,0.0709,0.0872,0.0821,0.1260,0.2173,0.2044,0.1707,0.1154,0.1284,0.1402,0.1311,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1900000,2200000,2600000,3427778,3583032,11378412,12439408,14101497,19688765,29884682,34774000,32208000,28027000,39975000,31263000,25200000,22100000,16568000,14168000,13350000,12581000,10030000,9284000,8834000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1900000,2200000,2600000,3427778,3583032,11378412,12439408,14101497,19688765,29884682,34774000,32208000,28027000,39975000,31263000,25200000,22100000,16568000,14168000,13350000,12581000,10030000,9284000,8834000,12833000
9,Other Expenses,100000,200000,100000,216237,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,-100000,-0,-0,- -,0,2086000,33000,- -,2060000
10,Operating Expenses,2000000,2400000,2700000,3644015,3583032,11378412,12439408,14101497,19688765,29884682,34774000,32208000,28027000,39975000,31263000,39800000,22000000,16568000,14168000,13350000,12581000,12116000,9317000,8834000,14893000
11,COGS and Expenses,9900000,12700000,11900000,16454532,20342061,87996132,119184935,144396271,225000938,306710810,340384000,461733000,340436000,337871000,316731000,249000000,169700000,101020000,77505000,62462000,61908000,59179000,57847000,64832000,- -
12,Interest Income ,- -,- -,- -,52368,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,100000,- -,92296,69910,851015,784227,590227,800072,1311794,2514000,1576000,- -,- -,- -,1875000,2042000,88000,135000,173000,104000,22000,31000,153000,-212000
14,Depreciation and Amortization,100000,200000,100000,216237,265758,806543,824476,1246532,1836376,3369244,4550000,4642000,4795000,4341000,3564000,1919000,2069000,2326000,1456000,1143000,970000,460000,389000,449000,561000
15,EBITDA,700000,1000000,- -,812179,1991130,4514076,5029902,5856911,10534809,381675,27737000,36241000,7422000,-13676000,-4343000,-22805000,1539000,9077000,3913000,-2053000,-25271000,-5079000,-963000,-126000,-5276000
16,EBITDA ratio,0.0667,0.0746,- -,0.0478,0.0903,0.0493,0.0407,0.0393,0.0451,0.0013,0.0764,0.0735,0.0216,-0.0427,-0.0139,-0.1001,0.0091,0.0841,0.0492,-0.0347,-0.4532,-0.0941,-0.0171,-0.0020,-0.1449
17,Operating Income,600000,700000,300000,521491,1711677,3564974,4534167,4491970,8583895,-3620449,22843000,31599000,3026000,-17256000,-3984000,-21087000,-778000,6880000,2100000,-3238000,-6143000,-5183000,-1401000,-383000,-13476000
18,Operating Income ratio,0.0571,0.0522,0.0246,0.0307,0.0776,0.0389,0.0366,0.0302,0.0367,-0.0119,0.0629,0.0641,0.0088,-0.0538,-0.0127,-0.0925,-0.0046,0.0638,0.0264,-0.0547,-0.1102,-0.0960,-0.0248,-0.0059,-0.3701
19,Total Other Income Expenses (Gains),- -,- -,100000,-17845,-56215,-708456,-1139401,-471818,-685534,-678914,-2170000,-1576000,-399000,-761000,-1089000,-2013000,-1022000,-217000,222000,-131000,-28000,-378000,18000,-139000,7851000
20,Income Before Tax,600000,700000,400000,503646,1655462,2856518,3394766,4020152,7898361,-4299363,20673000,30023000,2627000,-18017000,-5073000,-23100000,-1800000,6663000,2322000,-3369000,-6171000,-5561000,-1383000,-522000,-5625000
21,Income Before Tax Ratio,0.0571,0.0522,0.0328,0.0297,0.0751,0.0312,0.0274,0.0270,0.0338,-0.0142,0.0569,0.0609,0.0076,-0.0562,-0.0162,-0.1014,-0.0107,0.0618,0.0292,-0.0569,-0.1107,-0.1030,-0.0245,-0.0081,-0.1545
22,Income Tax expense (Gain),200000,300000,200000,122768,673630,1104695,1109496,1655763,3115980,-813510,8209000,11765000,1394000,-6265000,-831000,7001000,428000,632000,-8214000,-1027000,-10087000,110000,83000,-103000,60000
23,Net Income,400000,400000,-300000,380878,981832,1751823,2311703,2364389,4782381,-3485853,12464000,18258000,1233000,-11752000,-7076000,-33600000,-3000000,6031000,10536000,-2342000,-16258000,-5671000,-1466000,-625000,-5685000
24,Net Income ratio,0.0381,0.0299,-0.0246,0.0224,0.0445,0.0191,0.0187,0.0159,0.0205,-0.0115,0.0343,0.0370,0.0036,-0.0367,-0.0226,-0.1474,-0.0178,0.0559,0.1324,-0.0395,-0.2915,-0.1050,-0.0260,-0.0097,-0.1561
25,EPS,0.03,0.03,-0.02,0.03,0.07,0.07,0.09,0.10,0.20,-0.13,0.46,0.67,0.05,-0.43,-0.27,-1.25,-0.11,0.22,0.38,-0.08,-0.59,-0.21,-0.05,-0.02,-0.18
26,EPS Diluted,0.03,0.03,-0.02,0.03,0.07,0.07,0.09,0.10,0.19,-0.13,0.45,0.66,0.04,-0.43,-0.27,-1.25,-0.11,0.22,0.38,-0.08,-0.59,-0.21,-0.05,-0.02,-0.18
27,Weighted Average Shares Outstanding,13333333,13333333,15000000,12964918,13236049,22861199,23300600,23454545,24300114,26538290,26916000,27180000,27330000,27151000,26722000,26883000,27041000,27685000,28023000,27653000,27352000,27510000,27414000,27474000,31888000
28,Weighted Average Shares Outstanding Diluted,13333333,13333333,15000000,12964918,13236049,23013016,23733807,23785939,25250487,26538290,27435000,27672000,27567000,27151000,26722000,26883000,27041000,27685000,28023000,27653000,27352000,27510000,27414000,27474000,31888000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933738/000119312504053483/0001193125-04-053483-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933738/000105050209000073/0001050502-09-000073-index.html,https://www.sec.gov/Archives/edgar/data/933738/000105050210000048/0001050502-10-000048-index.html,https://www.sec.gov/Archives/edgar/data/933738/000093373811000004/0000933738-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000144530512001012/0001445305-12-001012-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518513000838/0001185185-13-000838-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518514000552/0001185185-14-000552-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518515000495/0001185185-15-000495-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000118518516003829/0001185185-16-003829-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315217002297/0001493152-17-002297-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315218003404/0001493152-18-003404-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315219004079/0001493152-19-004079-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000149315220004865/0001493152-20-004865-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000165495421002654/0001654954-21-002654-index.htm,https://www.sec.gov/Archives/edgar/data/933738/000165495422002983/0001654954-22-002983-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,1200000,700000,242592,1244907,75095,39439,8006,159414,1402880,908000,1000000,143000,49000,26000,700000,4000000,6213000,7806000,15687000,9648000,6060000,8307000,13706000,19202000
32,Short-Term Investments,- -,- -,300000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,500000,1200000,1000000,642592,1244907,75095,39439,8006,159414,1402880,908000,1000000,143000,49000,26000,700000,4000000,6213000,7806000,15687000,9648000,6060000,8307000,13706000,19202000
34,Net Receivables,2300000,2900000,2700000,3885933,14908069,18535450,21266898,31952927,50449551,66837768,71276000,102995000,49951000,65484000,61427000,54300000,30300000,32191000,24248000,13108000,14387000,13386000,15370000,7789000,7692000
35,Inventory,900000,900000,800000,865341,691048,531575,118340,172715,153968,- -,- -,- -,- -,- -,- -,3800000,1200000,- -,4062000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,700000,1100000,300000,190369,1471177,1220330,1737296,3420760,1905627,4034013,5206000,6673000,11989000,9549000,10901000,7900000,1100000,4444000,1308000,1021000,994000,1096000,816000,4981000,8200000
37,Total Current Assets,4400000,6100000,4800000,5584235,18315201,20362450,23161973,35554408,52668560,72274661,77390000,110668000,62083000,75082000,72354000,66700000,36600000,42848000,37424000,29816000,25029000,20542000,24493000,26476000,35094000
38,PP&E,1000000,1100000,1100000,1404017,5123115,5758386,4302430,5262370,6861361,8724902,6472000,5744000,5983000,4503000,3384000,3000000,2700000,2074000,2145000,1194000,1027000,677000,3166000,1263000,5949000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,15454583,19202197,19926000,21457000,22291000,22614000,22614000,2800000,2800000,2806000,2806000,2806000,2806000,720000,720000,720000,720000
40,Intangible Assets,100000,- -,- -,18450,14513806,13211628,13752564,15284220,- -,5426824,4112000,5000000,4238000,4975000,2835000,1900000,1000000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,100000,- -,- -,18450,14513806,13211628,13752564,15284220,15454583,24629021,24038000,26457000,26529000,27589000,25449000,4700000,3800000,2806000,2806000,2806000,2806000,720000,720000,720000,720000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,402000,- -,- -,74892,- -,77000,153000,607000,1424000,1206000,- -,- -,- -,- -,10208000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-100000,700000,- -,45563,333567,333552,1313423,1159750,876534,597969,11613000,9683000,15433000,1726000,1786000,4300000,2700000,3928000,9825000,412000,390000,367000,307000,- -,306000
45,Total Non-Current Assets,1000000,1800000,1100000,1468030,19970488,19705566,19368417,21706340,23267370,33951892,42200000,42037000,48552000,35242000,31825000,12000000,9200000,8808000,14776000,14620000,4223000,1764000,4193000,1983000,6975000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5400000,7900000,5900000,7052265,38285689,40068016,42530390,57260748,75935930,106226553,119590000,152705000,110635000,110324000,104179000,78700000,45800000,51656000,52200000,44436000,29252000,22306000,28686000,28459000,42069000
48,Accounts Payable,700000,1600000,800000,1333003,9076520,4039818,9821030,10512123,18986956,15212075,11445000,19038000,8252000,9430000,8363000,11000000,9100000,5855000,3182000,2876000,3742000,3172000,3261000,2138000,- -
49,Short-Term Debt,500000,700000,400000,479085,1405286,1282281,1394455,1466387,547934,2527801,2439000,2919000,1064000,21163000,16602000,26829000,1386000,484000,287000,229000,62000,2000,1041000,5248000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,380000,398000,264000,- -,54000,79000,163000,106000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000,613000,629000,671000,4830000,7054000,9832000,3912000,1521000,1334000,604000,5438000,- -,- -
52,Other Current Liabilities,300000,800000,300000,584693,1176686,6085279,5441783,9072776,11308445,19348136,20591000,29709000,15846000,13748000,20043000,10741000,5760000,6237000,4489000,2990000,3044000,3039000,3464000,5051000,8831000
53,Total Current Liabilities,1500000,3100000,1500000,2396781,11658492,11407378,16657268,21051286,30843335,37088012,34475000,52082000,25775000,44970000,45679000,53400000,23300000,22408000,11870000,7616000,8182000,6817000,13204000,12437000,8831000
54,Long-Term Debt,500000,400000,400000,485580,12281247,12683857,7506062,15585152,5227976,27162263,29318000,23614000,6098000,252000,- -,26829000,- -,216000,318000,- -,1000,- -,238000,2733000,1035000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,100000,11000,- -,- -,156000,573380,- -,1114224,- -,- -,- -,- -,- -,- -,- -,216000,318000,- -,1000,122000,589000,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,2588000,36206,- -,- -,- -,- -,243000,51000,- -,- -,- -,- -,-216000,-318000,14000,-1000,- -,631000,- -,4012000
58,Total Non-Current Liabilities,500000,400000,400000,496580,12281247,15271857,7698268,16158532,5227976,28276487,29318000,23857000,6149000,252000,- -,26829000,- -,216000,318000,14000,1000,- -,1458000,2733000,5047000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7111000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,12042,- -,- -,- -,- -,- -,51000,- -,- -,- -,1386000,700000,605000,243000,63000,2000,2499000,2149000,- -
61,Total Liabilities,2000000,3500000,1900000,2893361,23939739,26679235,24355536,37209818,36071311,65364499,63793000,75939000,31924000,45222000,45679000,53400000,23300000,22624000,12188000,7630000,8183000,6817000,14662000,16815000,13878000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,12965,22862,22862,24034,24119,26941,27459,28000,27000,27000,28000,28000,28000,28000,28000,28000,27000,27000,27000,27000,28000,35000
64,Retained Earnings,1200000,1600000,1300000,1702285,2487617,4030448,6056438,8420827,13203208,9717354,22181000,40439000,41672000,29920000,22822000,-10800000,-13800000,-7737000,2799000,457000,-15801000,-21472000,-22937000,- -,-29247000
65,Other Comprehensive Income/Loss,-200000,-300000,-400000,-497599,-749000,-1284000,-1642000,-2645000,-3631,-30102,-5000,-115000,-96000,-92000,-69000,-70000,-70000,- -,- -,-5856000,- -,- -,-2298000,- -,- -
66,Other Total Stockholders Equity,2400000,3100000,3100000,2941253,12584471,10619471,13736382,14250984,26638101,31147343,33593000,36415000,37108000,35246000,35719000,36141000,36325000,36741000,37185000,42178000,36843000,36934000,39232000,13595000,57403000
67,Total Stockholders Equity,3400000,4400000,4000000,4158904,14345950,13388781,18174854,20050930,39864619,40862054,55797000,76766000,78711000,65102000,58500000,25299000,22483000,29032000,40012000,36806000,21069000,15489000,14024000,13623000,28191000
68,Total Liabilities And Stockholders Equity,5400000,7900000,5900000,7052265,38285689,40068016,42530390,57260748,75935930,106226553,119590000,152705000,110635000,110324000,104179000,78699000,45783000,51656000,52200000,44436000,29252000,22306000,28686000,30438000,42069000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,17000,- -,- -,- -,- -,- -,- -,-1979000,- -
70,Total Liabilities & Equity,5400000,7900000,5900000,7052265,38285689,40068016,42530390,57260748,75935930,106226553,119590000,152705000,110635000,110324000,104179000,78700000,45800000,51656000,52200000,44436000,29252000,22306000,28686000,28459000,42069000
