,https://roic.ai/company/XYL,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,2849000000,3202000000,3803000000,3791000000,3837000000,3916000000,3653000000,3771000000,4707000000,5207000000,5249000000,4876000000,5195000000
2,COGS,1812000000,1988000000,2342000000,2289000000,2338000000,2403000000,2249000000,2310000000,2856000000,3181000000,3203000000,3046000000,3220000000
3,Gross Profit,1037000000,1214000000,1461000000,1502000000,1499000000,1513000000,1404000000,1461000000,1851000000,2026000000,2046000000,1830000000,1975000000
4,Gross Profit Ratio,0.3640,0.3791,0.3842,0.3962,0.3907,0.3864,0.3843,0.3874,0.3932,0.3891,0.3898,0.3753,0.3802
5,Research and Development Exp.,63000000,74000000,100000000,106000000,104000000,104000000,95000000,110000000,180000000,189000000,191000000,187000000,204000000
6,General and Administrative Exp.,- -,- -,964000000,914000000,986000000,920000000,854000000,915000000,1090000000,1161000000,1158000000,1143000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,964000000,914000000,986000000,920000000,854000000,915000000,1090000000,1161000000,1158000000,1143000000,1179000000
9,Other Expenses,667000000,737000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1335000000,- -
10,Operating Expenses,730000000,811000000,1064000000,1020000000,1090000000,1024000000,949000000,1025000000,1270000000,1350000000,1349000000,-5000000,1383000000
11,COGS and Expenses,2542000000,2799000000,3406000000,3309000000,3428000000,3427000000,3198000000,3335000000,4126000000,4531000000,4552000000,3041000000,4603000000
12,Interest Income ,- -,- -,3000000,4000000,3000000,2000000,2000000,2000000,3000000,4000000,5000000,7000000,- -
13,Interest Expense (Gain),- -,- -,17000000,55000000,55000000,54000000,55000000,70000000,82000000,82000000,67000000,77000000,76000000
14,Depreciation and Amortization,70000000,92000000,137000000,142000000,150000000,142000000,133000000,151000000,234000000,261000000,257000000,117000000,245000000
15,EBITDA,347000000,480000000,537000000,585000000,503000000,617000000,591000000,561000000,783000000,928000000,740000000,479000000,832000000
16,EBITDA ratio,0.1218,0.1499,0.1412,0.1543,0.1311,0.1576,0.1618,0.1488,0.1663,0.1782,0.1410,0.0982,0.1602
17,Operating Income,276000000,388000000,395000000,443000000,363000000,463000000,449000000,406000000,556000000,654000000,486000000,367000000,585000000
18,Operating Income ratio,0.0969,0.1212,0.1039,0.1169,0.0946,0.1182,0.1229,0.1077,0.1181,0.1256,0.0926,0.0753,0.1126
19,Total Other Income Expenses (Gains),1000000,- -,-12000000,-55000000,-65000000,-42000000,-46000000,-66000000,-90000000,-69000000,-70000000,-82000000,-74000000
20,Income Before Tax,277000000,388000000,383000000,388000000,298000000,421000000,403000000,340000000,466000000,585000000,416000000,285000000,511000000
21,Income Before Tax Ratio,0.0972,0.1212,0.1007,0.1023,0.0777,0.1075,0.1103,0.0902,0.0990,0.1123,0.0793,0.0584,0.0984
22,Income Tax expense (Gain),14000000,59000000,104000000,91000000,70000000,84000000,63000000,80000000,136000000,36000000,15000000,31000000,84000000
23,Net Income,263000000,329000000,279000000,297000000,228000000,337000000,340000000,260000000,331000000,549000000,401000000,254000000,427000000
24,Net Income ratio,0.0923,0.1027,0.0734,0.0783,0.0594,0.0861,0.0931,0.0689,0.0703,0.1054,0.0764,0.0521,0.0822
25,EPS,1.42,1.70,1.51,1.60,1.23,1.84,1.88,1.45,1.84,3.05,2.23,1.41,2.37
26,EPS Diluted,1.42,1.70,1.50,1.59,1.22,1.83,1.87,1.45,1.83,3.03,2.21,1.40,2.36
27,Weighted Average Shares Outstanding,184600000,184600000,185100000,185800000,185200000,183100000,180900000,179100000,179600000,179800000,180000000,180100000,180100000
28,Weighted Average Shares Outstanding Diluted,184600000,184600000,185300000,186200000,186000000,184200000,181700000,180000000,180900000,181100000,181200000,181100000,181100000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1524472/000119312512084766/0001193125-12-084766-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447213000003/0001524472-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447214000004/xyl1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447215000006/xyl1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447216000027/0001524472-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447217000008/0001524472-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447218000006/0001524472-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447219000009/0001524472-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447220000006/0001524472-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447221000008/0001524472-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447222000009/0001524472-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,81000000,131000000,318000000,504000000,533000000,663000000,680000000,308000000,414000000,296000000,724000000,1875000000,1349000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,81000000,131000000,318000000,504000000,533000000,663000000,680000000,308000000,414000000,296000000,724000000,1875000000,1349000000
34,Net Receivables,599000000,690000000,756000000,776000000,817000000,771000000,749000000,843000000,956000000,1031000000,1036000000,- -,953000000
35,Inventory,301000000,389000000,426000000,443000000,475000000,486000000,433000000,522000000,524000000,595000000,539000000,558000000,700000000
36,Other Current Assets,107000000,126000000,142000000,151000000,184000000,182000000,143000000,166000000,177000000,172000000,151000000,1090000000,158000000
37,Total Current Assets,1088000000,1336000000,1642000000,1874000000,2009000000,2102000000,2005000000,1839000000,2071000000,2094000000,2450000000,3523000000,3160000000
38,PP&E,334000000,454000000,463000000,487000000,488000000,461000000,439000000,616000000,643000000,656000000,658000000,657000000,644000000
39,Goodwill,970000000,1437000000,1610000000,1647000000,1718000000,1635000000,1584000000,2632000000,2768000000,2976000000,2839000000,2854000000,2792000000
40,Intangible Assets,91000000,416000000,505000000,484000000,488000000,431000000,435000000,1201000000,1168000000,1232000000,1174000000,1093000000,1016000000
41,Intangible Assets,1061000000,1853000000,2115000000,2131000000,2206000000,2066000000,2019000000,3833000000,3936000000,4208000000,4013000000,3947000000,3808000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,52000000,92000000,173000000,187000000,193000000,235000000,194000000,186000000,210000000,264000000,589000000,- -,664000000
45,Total Non-Current Assets,1447000000,2399000000,2751000000,2805000000,2887000000,2762000000,2652000000,4635000000,4789000000,5128000000,5260000000,4604000000,5116000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2535000000,3735000000,4393000000,4679000000,4896000000,4864000000,4657000000,6474000000,6860000000,7222000000,7710000000,8127000000,8276000000
48,Accounts Payable,256000000,309000000,322000000,332000000,332000000,338000000,338000000,457000000,549000000,586000000,597000000,569000000,639000000
49,Short-Term Debt,- -,- -,5000000,6000000,42000000,89000000,78000000,260000000,- -,257000000,337000000,663000000,- -
50,Tax Payable,25000000,20000000,77000000,50000000,45000000,77000000,64000000,63000000,75000000,85000000,79000000,54000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000,- -
52,Other Current Liabilities,315000000,340000000,490000000,443000000,479000000,481000000,407000000,521000000,551000000,546000000,567000000,482000000,752000000
53,Total Current Liabilities,571000000,649000000,817000000,781000000,853000000,908000000,823000000,1238000000,1100000000,1389000000,1501000000,1956000000,1391000000
54,Long-Term Debt,- -,- -,1201000000,1199000000,1199000000,1199000000,1196000000,2108000000,2200000000,2051000000,2040000000,600000000,2440000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,60000000,99000000,165000000,173000000,191000000,158000000,118000000,352000000,252000000,303000000,310000000,- -,287000000
57,Other Non-Current Liabilities,217000000,268000000,383000000,452000000,412000000,472000000,436000000,569000000,789000000,697000000,892000000,573000000,932000000
58,Total Non-Current Liabilities,277000000,367000000,1749000000,1824000000,1802000000,1829000000,1750000000,3029000000,3241000000,3051000000,3242000000,1173000000,3659000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4991000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,63000000,- -
61,Total Liabilities,848000000,1016000000,2566000000,2605000000,2655000000,2737000000,2573000000,4267000000,4341000000,4440000000,4743000000,5774000000,5050000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1272000000,2361000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -,2000000
64,Retained Earnings,- -,- -,40000000,264000000,405000000,648000000,885000000,1033000000,1227000000,1639000000,1866000000,1930000000,2154000000
65,Other Comprehensive Income/Loss,415000000,358000000,122000000,115000000,167000000,-99000000,-238000000,-318000000,-210000000,-336000000,-375000000,-413000000,-371000000
66,Other Total Stockholders Equity,- -,- -,1663000000,1693000000,1667000000,1576000000,1435000000,1473000000,1484000000,1463000000,1464000000,1451000000,- -
67,Total Stockholders Equity,1687000000,2719000000,1827000000,2074000000,2241000000,2127000000,2084000000,2190000000,2503000000,2768000000,2957000000,2968000000,3218000000
68,Total Liabilities And Stockholders Equity,2535000000,3735000000,4393000000,4679000000,4896000000,4864000000,4657000000,6457000000,6844000000,7208000000,7700000000,8742000000,8268000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,17000000,16000000,14000000,10000000,-615000000,8000000
70,Total Liabilities & Equity,2535000000,3735000000,4393000000,4679000000,4896000000,4864000000,4657000000,6474000000,6860000000,7222000000,7710000000,8127000000,8276000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1524472/000119312512084766/0001193125-12-084766-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447213000003/0001524472-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447214000004/xyl1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447215000006/xyl1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447216000027/0001524472-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447217000008/0001524472-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447218000006/0001524472-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447219000009/0001524472-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447220000006/0001524472-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447221000008/0001524472-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447222000009/0001524472-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,263000000,329000000,279000000,297000000,228000000,337000000,340000000,260000000,331000000,549000000,401000000,254000000,427000000
74,Depreciation and Amortization,70000000,92000000,137000000,142000000,150000000,142000000,133000000,151000000,234000000,261000000,257000000,117000000,245000000
75,Deferred Income Tax,-36000000,-31000000,8000000,1000000,-14000000,-29000000,-9000000,14000000,-33000000,-47000000,-77000000,-31000000,10000000
76,Stock Based Compensation,9000000,9000000,13000000,22000000,27000000,18000000,15000000,18000000,21000000,30000000,29000000,26000000,33000000
77,Change in Working Capital,73000000,170000000,138000000,268000000,63000000,38000000,-12000000,-581000000,370000000,-266000000,244000000,618000000,-136000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000000,- -
79,Inventory,62000000,7000000,-18000000,5000000,-39000000,-49000000,23000000,-15000000,27000000,-97000000,47000000,-5000000,-167000000
80,Accounts Payable,-38000000,41000000,-9000000,-4000000,4000000,17000000,20000000,61000000,50000000,51000000,29000000,-39000000,81000000
81,Other Working Capital,517000000,687000000,825000000,1093000000,1156000000,1194000000,1182000000,601000000,971000000,705000000,949000000,1567000000,22000000
82,Other Non-Cash Items,-9000000,-174000000,-126000000,-334000000,-130000000,-90000000,-3000000,635000000,-237000000,59000000,-15000000,-160000000,-41000000
83,Cash Provided by Operating Activities,370000000,395000000,449000000,396000000,324000000,416000000,464000000,497000000,686000000,586000000,839000000,824000000,538000000
84,CAPEX,-62000000,-94000000,-126000000,-112000000,-126000000,-119000000,-117000000,-124000000,-170000000,-237000000,-226000000,- -,-208000000
85,Acquisitions Net,-33000000,-1004000000,-309000000,-41000000,-81000000,30000000,-17000000,-1782000000,-17000000,-411000000,-18000000,- -,10000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,-11000000,-7000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,10000000,11000000,20000000,- -,17000000
88,Other Investing Activites,-51000000,-89000000,12000000,6000000,8000000,3000000,2000000,20000000,7000000,5000000,- -,14000000,-210000000
89,Cash Used for Investing Activites,-84000000,-1093000000,-423000000,-147000000,-199000000,-86000000,-132000000,-1886000000,-181000000,-643000000,-231000000,-169000000,-183000000
90,Debt Repayment,- -,- -,-8000000,-14000000,-2000000,- -,-3000000,-688000000,-282000000,-172000000,-254000000,- -,-600000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-13000000,-73000000,-134000000,-179000000,-4000000,-25000000,-59000000,-40000000,-61000000,-68000000
93,Dividends Paid,- -,- -,-19000000,-75000000,-87000000,-94000000,-102000000,-112000000,-130000000,-152000000,-174000000,-188000000,-203000000
94,Other Financing Activites,-292000000,745000000,199000000,28000000,62000000,81000000,22000000,1838000000,16000000,343000000,291000000,722000000,16000000
95,Cash Used/Provided by Financing Activities,-292000000,745000000,172000000,-74000000,-100000000,-147000000,-262000000,1034000000,-421000000,-40000000,-177000000,473000000,-855000000
96,Effect of Forex Changes on Cash,6000000,3000000,-11000000,11000000,4000000,-53000000,-53000000,-17000000,22000000,-21000000,-3000000,23000000,-26000000
97,Net Change In Cash,- -,50000000,187000000,186000000,29000000,130000000,17000000,-372000000,106000000,-118000000,428000000,1151000000,-526000000
98,Cash at the End of Period,81000000,131000000,318000000,504000000,533000000,663000000,680000000,308000000,414000000,296000000,724000000,1875000000,1349000000
99,Cash at the Beginning of Period,81000000,81000000,131000000,318000000,504000000,533000000,663000000,680000000,308000000,414000000,296000000,724000000,1875000000
100,Free Cash Flow,308000000,301000000,323000000,284000000,198000000,297000000,347000000,373000000,516000000,349000000,613000000,824000000,330000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1524472/000119312512084766/0001193125-12-084766-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447213000003/0001524472-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447214000004/xyl1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447215000006/xyl1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447216000027/0001524472-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447217000008/0001524472-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447218000006/0001524472-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447219000009/0001524472-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447220000006/0001524472-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524472/000152447221000008/0001524472-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1524472/000152447222000009/0001524472-22-000009-index.htm
102,false,,,,,,,,,,,,,
