,https://roic.ai/company/RPD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,46044000,60030000,76880000,110526000,157437000,200940000,244091000,326947000,411486000,535404000
2,COGS,8222000,12878000,18472000,29244000,39725000,56910000,71083000,91146000,121517000,168948000
3,Gross Profit,37822000,47152000,58408000,81282000,117712000,144030000,173008000,235801000,289969000,366456000
4,Gross Profit Ratio,0.8214,0.7855,0.7597,0.7354,0.7477,0.7168,0.7088,0.7212,0.7047,0.6844
5,Research and Development Exp.,17820000,21411000,25570000,38746000,47955000,50938000,67743000,79364000,108568000,160779000
6,General and Administrative Exp.,9436000,12586000,12972000,21731000,28282000,30293000,34993000,44710000,59519000,78289000
7,Selling and Marketing Exp.,23278000,31779000,49007000,67365000,90524000,111593000,123310000,157722000,195981000,247453000
8,"Selling, General and Administrative Exp.",32714000,44365000,61979000,89096000,118806000,141886000,158303000,202432000,255500000,325742000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,50534000,65776000,87549000,127842000,166761000,192824000,226046000,281796000,364068000,486521000
11,COGS and Expenses,58756000,78654000,106021000,157086000,206486000,249734000,297129000,372942000,485585000,655469000
12,Interest Income ,- -,- -,- -,- -,- -,- -,3229000,6014000,1454000,365000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,4934000,13389000,24137000,14292000
14,Depreciation and Amortization,1529000,2631000,4140000,5352000,6725000,7628000,11097000,16528000,22631000,33501000
15,EBITDA,-11283000,-16072000,-28108000,-44009000,-42302000,-40078000,-39048000,-23886000,-50095000,-88120000
16,EBITDA ratio,-0.2450,-0.2677,-0.3656,-0.3982,-0.2687,-0.1995,-0.1600,-0.0731,-0.1217,-0.1646
17,Operating Income,-12712000,-18624000,-29141000,-46560000,-49049000,-48794000,-53038000,-45995000,-74099000,-120065000
18,Operating Income ratio,-0.2761,-0.3102,-0.3790,-0.4213,-0.3115,-0.2428,-0.2173,-0.1407,-0.1801,-0.2243
19,Total Other Income Expenses (Gains),-100000,-79000,-3107000,-2801000,22000,1088000,-2041000,-7808000,-22764000,-15848000
20,Income Before Tax,-12812000,-18703000,-32248000,-49361000,-49027000,-47706000,-55079000,-53803000,-96863000,-135913000
21,Income Before Tax Ratio,-0.2783,-0.3116,-0.4195,-0.4466,-0.3114,-0.2374,-0.2256,-0.1646,-0.2354,-0.2539
22,Income Tax expense (Gain),-418000,170000,379000,496000,-27000,-2236000,466000,42000,1986000,10421000
23,Net Income,-12394000,-18873000,-32627000,-49857000,-49000000,-45470000,-55545000,-53845000,-98849000,-146334000
24,Net Income ratio,-0.2692,-0.3144,-0.4244,-0.4511,-0.3112,-0.2263,-0.2276,-0.1647,-0.2402,-0.2733
25,EPS,-1.42,-1.69,-1.75,-4.00,-1.19,-1.06,-1.20,-1.10,-1.94,-2.61
26,EPS Diluted,-1.42,-1.69,-1.75,-4.00,-1.19,-1.06,-1.20,-1.10,-1.94,-2.61
27,Weighted Average Shares Outstanding,26742901,30964803,26742901,24740480,41248473,42952950,46456825,48731791,51036824,55976671
28,Weighted Average Shares Outstanding Diluted,26742901,30964803,26742901,24740480,41248473,42952950,46456825,48731791,51036824,55976671
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1560327/000119312516500210/0001193125-16-500210-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000119312517076894/0001193125-17-076894-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032718000032/0001560327-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032719000046/0001560327-19-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032720000046/0001560327-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032721000043/0001560327-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032722000026/0001560327-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,20612000,36823000,86553000,53148000,51562000,99565000,123413000,173617000,164582000
32,Short-Term Investments,- -,- -,- -,- -,18779000,39178000,159210000,116158000,138839000,58850000
33,Cash and Short-Term Investments,- -,20612000,36823000,86553000,71927000,90740000,258775000,239571000,312456000,223432000
34,Net Receivables,- -,19475000,25412000,44164000,49154000,73661000,74935000,87927000,111599000,146094000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2023000,4209000,6148000,9152000,8877000,22067000,37098000,49380000,63210000
37,Total Current Assets,- -,42110000,66444000,136865000,130233000,173278000,355777000,364596000,473435000,432736000
38,PP&E,- -,4278000,7922000,7532000,8088000,8589000,17523000,111654000,120292000,133976000
39,Goodwill,- -,11265000,11265000,74565000,75110000,83164000,88420000,97866000,213601000,515258000
40,Intangible Assets,- -,2025000,1156000,11385000,8946000,16640000,23955000,28561000,44296000,111591000
41,Intangible Assets,- -,13290000,12421000,85950000,84056000,99804000,112375000,126427000,257897000,626849000
42,Investments,- -,- -,- -,- -,20162000,1102000,44892000,22887000,10124000,34068000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,177000,179000,214000,764000,1363000,28802000,39349000,51374000,68382000
45,Total Non-Current Assets,- -,17745000,20522000,93696000,113070000,110858000,203592000,300317000,439687000,863275000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,59855000,86966000,230561000,243303000,284136000,559369000,664913000,913122000,1296011000
48,Accounts Payable,- -,2969000,3536000,2038000,4012000,2240000,7048000,6836000,3860000,3521000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,9612000,9630000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,40761000,58164000,87917000,116903000,155811000,189855000,231518000,278585000,372067000
52,Other Current Liabilities,- -,10935000,12549000,25812000,24694000,31434000,38083000,48319000,61677000,83462000
53,Total Current Liabilities,- -,54665000,74249000,115767000,145609000,189485000,234986000,286673000,353734000,468680000
54,Long-Term Debt,- -,16318000,16871000,- -,- -,- -,174688000,185200000,378586000,902928000
55,Deferred Revenue,- -,19094000,26892000,42400000,52160000,68689000,58716000,36226000,31365000,33056000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2355000,4218000,4319000,3496000,1809000,3660000,73646000,77901000,17342000
58,Total Non-Current Liabilities,- -,37767000,47981000,46719000,55656000,70498000,237064000,295072000,487852000,953326000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,79473000,85349000,100495000
61,Total Liabilities,- -,92432000,122230000,162486000,201265000,259983000,472050000,581745000,841586000,1422006000
62,Preferred Stock,- -,128444000,211598000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,128000,126000,415000,426000,441000,476000,499000,522000,577000
64,Retained Earnings,- -,-161149000,-243462000,-340338000,-389338000,-434913000,-464585000,-518430000,-617279000,-736028000
65,Other Comprehensive Income/Loss,- -,-4346000,-7595000,-11678000,-15964000,-20729000,-26218000,-14008000,454000,-812000
66,Other Total Stockholders Equity,- -,4346000,4069000,419676000,446914000,479354000,577646000,615107000,687839000,- -
67,Total Stockholders Equity,- -,-32577000,-35264000,68075000,42038000,24153000,87319000,83168000,71536000,-125995000
68,Total Liabilities And Stockholders Equity,- -,59855000,86966000,230561000,243303000,284136000,559369000,664913000,913122000,1296011000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,59855000,86966000,230561000,243303000,284136000,559369000,664913000,913122000,1296011000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1560327/000119312516500210/0001193125-16-500210-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000119312517076894/0001193125-17-076894-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032718000032/0001560327-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032719000046/0001560327-19-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032720000046/0001560327-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032721000043/0001560327-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032722000026/0001560327-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-12394000,-18873000,-32627000,-49857000,-49000000,-45470000,-55545000,-53845000,-98849000,-146334000
74,Depreciation and Amortization,1529000,2631000,4140000,5352000,6725000,7628000,11097000,16528000,22631000,33501000
75,Deferred Income Tax,-433000,111000,196000,119000,75000,-2860000,-69000,-645000,737000,466000
76,Stock Based Compensation,1720000,2047000,2159000,10685000,17316000,19541000,27593000,40664000,63888000,102579000
77,Change in Working Capital,8431000,-29023000,4750000,28903000,-36474000,-831000,136998000,-42868000,41778000,55063000
78,Accounts Receivable,-6621000,-4012000,-7127000,-18370000,-6195000,-25217000,-1685000,-14800000,-24380000,-25475000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,91000,1064000,567000,-2302000,1619000,-2257000,3675000,92000,-2394000,-2077000
81,Other Working Capital,16468000,-12555000,-7805000,21098000,-15376000,-16207000,120791000,77923000,119701000,63036000
82,Other Non-Cash Items,456000,42494000,18026000,2891000,70470000,35278000,-114008000,38746000,-25298000,8642000
83,Cash Provided by Operating Activities,-691000,-613000,-3356000,-1907000,9112000,13286000,6066000,-1420000,4887000,53917000
84,CAPEX,-2133000,-2778000,-7082000,-4136000,-4499000,-5986000,-16078000,-35515000,-19932000,-18864000
85,Acquisitions Net,- -,- -,- -,-39000000,- -,-15000000,-14000000,-15000000,-126000000,-358420000
86,Purchases of Investments,- -,- -,- -,- -,-38976000,-35190000,-233421000,-148047000,-177053000,-96092000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,33672000,70226000,214980000,166524000,147998000
88,Other Investing Activites,-4791000,- -,- -,189000,- -,-1079000,-3725000,-5694000,-5956000,-9854000
89,Cash Used for Investing Activites,-6924000,-2778000,-7082000,-42947000,-43475000,-22421000,-193733000,16811000,-156287000,-325378000
90,Debt Repayment,-220000,-5300000,-256000,-18793000,-68000,- -,-26910000,- -,-440000,-230000000
91,Common Stock Issued,- -,- -,- -,112275000,- -,- -,30907000,- -,- -,- -
92,Common Stock Repurchased,-3260000,- -,-3526000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2493000,21622000,30451000,1304000,1229000,7268000,232167000,8788000,201365000,494133000
95,Cash Used/Provided by Financing Activities,-5973000,16322000,26669000,94786000,1161000,7268000,236164000,8788000,200925000,264133000
96,Effect of Forex Changes on Cash,- -,14000,-20000,-202000,-203000,281000,-694000,-331000,679000,-1272000
97,Net Change In Cash,-13588000,12945000,16211000,49730000,-33405000,-1586000,47803000,23848000,50204000,-8600000
98,Cash at the End of Period,7667000,20612000,36823000,86553000,53148000,51562000,99565000,123413000,173617000,165017000
99,Cash at the Beginning of Period,21255000,7667000,20612000,36823000,86553000,53148000,51762000,99565000,123413000,173617000
100,Free Cash Flow,-2824000,-3391000,-10438000,-6043000,4613000,7300000,-10012000,-36935000,-15045000,35053000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1560327/000119312516500210/0001193125-16-500210-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000119312517076894/0001193125-17-076894-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032718000032/0001560327-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032719000046/0001560327-19-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032720000046/0001560327-20-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032721000043/0001560327-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1560327/000156032722000026/0001560327-22-000026-index.htm
102,false,,,,,,,,,,
