,https://roic.ai/company/VCTR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,240763000,297883000,409629000,413412000,612373000,775351000,890265000
2,COGS,93819000,122615000,144111000,145880000,179809000,197158000,411218000
3,Gross Profit,146944000,175268000,265518000,267532000,432564000,578193000,479047000
4,Gross Profit Ratio,0.6103,0.5884,0.6482,0.6471,0.7064,0.7457,0.5381
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,22959000,26628000,33996000,30005000,46568000,51218000,53722000
7,Selling and Marketing Exp.,51481000,77497000,103439000,94680000,146622000,175687000,- -
8,"Selling, General and Administrative Exp.",74440000,104125000,137435000,124685000,193190000,226905000,53722000
9,Other Expenses,27291000,30405000,29910000,23277000,23873000,16381000,18840000
10,Operating Expenses,101731000,134530000,167345000,147962000,217063000,243286000,72562000
11,COGS and Expenses,195550000,257145000,311456000,293842000,396872000,440444000,483780000
12,Interest Income ,47000,1086000,-2913000,-2856000,6829000,3703000,6045000
13,Interest Expense (Gain),23380000,34642000,47085000,18519000,38209000,37005000,24652000
14,Depreciation and Amortization,27291000,30405000,29910000,23277000,23873000,16381000,18840000
15,EBITDA,57893000,55976000,115453000,126707000,182770000,331926000,394134000
16,EBITDA ratio,0.2405,0.1879,0.2818,0.3065,0.2985,0.4281,0.4427
17,Operating Income,33220000,24485000,90168000,114519000,164620000,314713000,373845000
18,Operating Income ratio,0.1380,0.0822,0.2201,0.2770,0.2688,0.4059,0.4199
19,Total Other Income Expenses (Gains),-25998000,-33556000,-51710000,-29608000,-43932000,-36173000,-23203000
20,Income Before Tax,7222000,-9071000,38458000,84911000,120688000,278540000,350642000
21,Income Before Tax Ratio,0.0300,-0.0305,0.0939,0.2054,0.1971,0.3592,0.3939
22,Income Tax expense (Gain),3422000,-3000000,12632000,21207000,28197000,66018000,72253000
23,Net Income,3800000,-6071000,25826000,63704000,92491000,212522000,278389000
24,Net Income ratio,0.0158,-0.0204,0.0630,0.1541,0.1510,0.2741,0.3127
25,EPS,0.06,0.07,0.47,0.96,1.37,3.14,4.10
26,EPS Diluted,0.05,0.07,0.47,0.90,1.26,2.88,3.75
27,Weighted Average Shares Outstanding,66567257,61717712,55118673,66295240,67616000,67710000,67976000
28,Weighted Average Shares Outstanding Diluted,71217606,63711160,55118673,70510536,73466000,73719000,74151000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1570827/000155837019002082/0001558370-19-002082-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459020010652/0001564590-20-010652-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459021013018/0001564590-21-013018-index.htm,https://www.sec.gov/Archives/edgar/data/1570827/000156459022010087/0001564590-22-010087-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,15144000,16441000,12921000,51491000,37121000,22744000,69533000
32,Short-Term Investments,532000,525000,677000,601000,771000,- -,80634000
33,Cash and Short-Term Investments,15676000,16966000,13598000,52092000,37892000,22744000,150167000
34,Net Receivables,36999000,83870000,55917000,44120000,95093000,88182000,6548000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3645000,4208000,5441000,2664000,4852000,6082000,- -
37,Total Current Assets,56320000,105044000,74956000,98876000,137837000,117008000,156715000
38,PP&E,6592000,9544000,8844000,8780000,13240000,18747000,25295000
39,Goodwill,219732000,284108000,284108000,284108000,404750000,404750000,981805000
40,Intangible Assets,329399000,434349000,408000000,387679000,1175471000,1162641000,1349797000
41,Intangible Assets,549131000,718457000,692108000,671787000,1580221000,1567391000,2331602000
42,Investments,2838000,5638000,10659000,12719000,18305000,922000,- -
43,Tax Assets,4313000,7452000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1195000,4816000,6055000,9349000,3706000,26661000,- -
45,Total Non-Current Assets,564069000,745907000,717666000,702635000,1615472000,1613721000,2356897000
46,Other Assets,- -,- -,- -,- -,- -,- -,4779928000
47,Total Assets,620389000,850951000,792622000,801511000,1753309000,1730729000,2579746000
48,Accounts Payable,1413000,3712000,327000,607000,271000,1358000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,27497000,44802000,31525000,25581000,207632000,133286000,- -
53,Total Current Liabilities,28910000,48514000,31852000,26188000,207903000,134644000,- -
54,Long-Term Debt,311898000,418528000,483225000,268857000,924539000,769009000,1127924000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,4068000,6212000,5486000,37684000,63120000
57,Other Non-Current Liabilities,30152000,52911000,42294000,44706000,77510000,81851000,- -
58,Total Non-Current Liabilities,342050000,471439000,529587000,319775000,1007535000,888544000,1191044000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,2840863000
