,https://roic.ai/company/SDON,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15290000,17580000,20923613,20875397,16829334,29800000,20420752,17541766,14867215,13536877,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,12040000,11380000,12190759,17668774,11512950,17800000,13504269,16273116,11220688,10391454,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,3250000,6200000,8732854,3206623,5316384,12000000,6916483,1268650,3646527,3145423,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.2126,0.3527,0.4174,0.1536,0.3159,0.4027,0.3387,0.0723,0.2453,0.2324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1650000,890000,1448540,2151698,2196390,800000,672052,590769,721323,570247,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4300000,4690000,6379718,9357460,- -,6500000,6456709,6071447,- -,- -,- -,- -,- -,- -,24840,22920,23762,- -,- -,35151,20904,16926,20967,- -,19874,20420,24730,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4300000,4690000,6379718,9357460,- -,6500000,6456709,6071447,- -,- -,- -,- -,- -,- -,24840,22920,23762,- -,- -,35151,20904,16926,20967,- -,19874,20420,24730,- -
9,Other Expenses,-0,10000,- -,2782582,12191361,2200000,1884670,- -,749405,4170109,49586,36798,14003,30288,- -,- -,- -,23850,16316,- -,- -,- -,- -,18578,- -,- -,- -,- -
10,Operating Expenses,5950000,5590000,7828258,14291740,14387751,9500000,9013431,6662216,1470728,4740356,49586,36798,14003,30288,24840,22920,23762,23850,16316,35151,20904,16926,20967,18578,19874,20420,24730,- -
11,COGS and Expenses,17990000,16970000,20019017,31960514,25900701,27300000,22517700,22935332,12691416,15131810,49586,36798,14003,30288,24840,22920,23762,23850,16316,35151,20904,16926,20967,18578,19874,20420,24730,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-240000,-380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,910000,730000,837666,6179918,3944397,2200000,1884670,2065982,915696,645749,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-2130000,650000,1289356,-5318461,-5876431,4200000,-325867,-4991840,-2197250,-2279438,-49586,-36798,-14003,-30288,-24840,-22920,-23762,-23850,-16316,-35151,-20904,-16926,-20967,-18578,-19874,-20420,-24730,- -
16,EBITDA ratio,-0.1393,0.0370,0.0616,-0.2548,-0.3492,0.1409,-0.0160,-0.2846,-0.1478,-0.1684,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,-2700000,610000,904596,-11085117,-9071367,2500000,-2096948,-5393566,2175799,-1594933,-49586,-36798,-14003,-30288,-24840,-22920,-23762,-23850,-16316,-35151,-20904,-16926,-20967,-18578,-19874,-20420,-24730,- -
18,Operating Income ratio,-0.1766,0.0347,0.0432,-0.5310,-0.5390,0.0839,-0.1027,-0.3075,0.1463,-0.1178,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),-100000,-310000,-452906,-413262,-749461,- -,-113589,-76641,-5288745,-1330254,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,-2800000,300000,451690,-11498379,-9820828,- -,-2210537,- -,-3112946,-2925187,-49586,-36798,- -,- -,-24840,- -,- -,-23850,-16316,-35151,-20904,-16926,-20967,-18578,-19874,-20420,-24730,-27368
21,Income Before Tax Ratio,-0.1831,0.0171,0.0216,-0.5508,-0.5836,- -,-0.1082,- -,-0.2094,-0.2161,-Infinity,-Infinity,- -,- -,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,-811000,- -,-293230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2800000,300000,451690,-11498379,-9009828,2000000,-1917307,-7057822,-3112946,-2925187,3123996,-36798,-14003,-30288,-24840,-22920,-23762,-23850,-16316,-35151,-20904,-16926,-20967,-18578,-19874,-20420,-24730,-27368
24,Net Income ratio,-0.1831,0.0171,0.0216,-0.5508,-0.5354,0.0671,-0.0939,-0.4023,-0.2094,-0.2161,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-8.75,0.68,0.65,-11.65,-8.45,0.95,-0.75,-2.30,-1.00,-0.93,0.44,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-8.75,0.68,0.60,-11.65,-8.45,0.90,-0.75,-2.30,-1.00,-0.93,0.44,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,320000,440000,716011,986787,1069177,2105263,2556409,3068618,3112946,3145362,7099991,8396981,8462734,10796981,10796981,10796981,10799721,11346296,12077719,13226494,14049003,14519382,14994308,15876484,16501501,16974868,17431226,16974868
28,Weighted Average Shares Outstanding Diluted,320000,440000,759498,986787,1069177,2222222,2556409,3068618,3112946,3145362,7099991,8396981,8462734,10796981,10796981,10796981,10799721,11346296,12077719,13226494,14049003,14519382,14994308,15876484,16501501,16974868,17431226,16974868
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420408013899/0001144204-08-013899-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000114420409016454/0001144204-09-016454-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420410015760/0001144204-10-015760-index.html,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420412017890/0001144204-12-017890-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420413017842/0001144204-13-017842-index.html,- -,https://www.sec.gov/Archives/edgar/data/892832/000114420415018907/0001144204-15-018907-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000114420416090951/0001144204-16-090951-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420417017195/0001144204-17-017195-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420418017126/0001144204-18-017126-index.html,https://www.sec.gov/Archives/edgar/data/892832/000114420419016108/0001144204-19-016108-index.html,https://www.sec.gov/Archives/edgar/data/892832/000110465920039428/0001104659-20-039428-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000110465921043012/0001104659-21-043012-index.htm,https://www.sec.gov/Archives/edgar/data/892832/000141057822000504/0001410578-22-000504-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,80000,3942963,1142988,- -,400000,74712,291726,103802,207139,42286,10654,98459,69062,45073,20356,15474,11447,8116,4807,2356,872,303,270,209,197,203,203
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,80000,3942963,1142988,- -,400000,74712,291726,103802,207139,42286,10654,98459,69062,45073,20356,15474,11447,8116,4807,2356,872,303,270,209,197,203,203
34,Net Receivables,- -,3160000,5989708,4205196,- -,5000000,5407593,3284376,2342400,3087911,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,4120000,4520937,4399426,- -,1700000,1956255,1916235,1653844,1498800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,270000,750995,528471,- -,100000,315556,190010,172550,150218,- -,- -,1800,1800,1800,1800,1800,1800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
