,https://roic.ai/company/NUZE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,122232,71762,115022,455491,1628410,1388972,1793590,1403131,1926660
2,COGS,- -,- -,- -,89552,155254,59005,72072,408150,1319232,1321755,1498473,1642084,- -
3,Gross Profit,- -,- -,- -,-89552,-33022,12757,42950,47341,309178,67217,295117,-238953,- -
4,Gross Profit Ratio,- -,- -,- -,-Infinity,-0.2702,0.1778,0.3734,0.1039,0.1899,0.0484,0.1645,-0.1703,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,195506,1065728,3146188,1510810,1334531,2076654,3685186,12399282,9094132,18559277
10,Operating Expenses,- -,- -,- -,195506,1065728,3146188,1510810,1334531,2076654,3685186,12399282,9094132,18559277
11,COGS and Expenses,- -,- -,8000,285058,1220982,3205193,1582882,1742681,3395886,5006941,13897755,10736216,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,6976,2468,5267,21243,-14388
14,Depreciation and Amortization,- -,- -,- -,124,587,3249,22147,41921,87392,163323,452207,408489,344669
15,EBITDA,- -,- -,-8000,-284934,-1097393,-3132479,-1447206,-1233372,-1672771,-3411380,-11730491,-9094452,-18221749
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-8.9780,-43.6509,-12.5820,-2.7078,-1.0272,-2.4560,-6.5402,-6.4815,-9.4577
17,Operating Income,- -,- -,-8000,-285058,-1098750,-3133431,-1467860,-1287190,-1767476,-3617969,-12104165,-9333085,-18639370
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-8.9891,-43.6642,-12.7616,-2.8259,-1.0854,-2.6048,-6.7486,-6.6516,-9.6744
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,770,-2297,-1493,11897,-8714,48377,-110771,-191099,87340
