,https://roic.ai/company/EM,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,2022310000,2809359000,3585391000
2,COGS,292494000,430773000,557177000
3,Gross Profit,1729816000,2378586000,3028214000
4,Gross Profit Ratio,0.8554,0.8467,0.8446
5,Research and Development Exp.,65471000,70938000,93882000
6,General and Administrative Exp.,82448000,79600000,118973000
7,Selling and Marketing Exp.,1362185000,2121006000,2950972000
8,"Selling, General and Administrative Exp.",1444633000,2200606000,3069945000
9,Other Expenses,-12349000,-24790000,-26614000
10,Operating Expenses,1497755000,2246754000,3137213000
11,COGS and Expenses,1790249000,2677527000,3694390000
12,Interest Income ,10184000,10271000,30560000
13,Interest Expense (Gain),26963000,40628000,38051000
14,Depreciation and Amortization,194157000,343381000,- -
15,EBITDA,433556000,478000000,-86564000
16,EBITDA ratio,0.2144,0.1701,-0.0241
17,Operating Income,232061000,131832000,-108999000
18,Operating Income ratio,0.1148,0.0469,-0.0304
19,Total Other Income Expenses (Gains),-19625000,-37841000,-15616000
20,Income Before Tax,212436000,93991000,-124615000
21,Income Before Tax Ratio,0.1050,0.0335,-0.0348
22,Income Tax expense (Gain),45830000,18564000,- -
23,Net Income,166606000,75427000,-124615000
24,Net Income ratio,0.0824,0.0268,-0.0348
25,EPS,-1.06,-12.55,-0.50
26,EPS Diluted,-1.06,-12.55,-0.50
27,Weighted Average Shares Outstanding,249436074,249436074,249436074
28,Weighted Average Shares Outstanding Diluted,249436074,249436074,249436074
29,SEC Link,- -,- -,- -
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,273608000,1252493000,1296924000
32,Short-Term Investments,320462000,170552000,1418721000
33,Cash and Short-Term Investments,594070000,1423045000,2715645000
34,Net Receivables,49500000,80855000,20503000
35,Inventory,- -,- -,4373000
36,Other Current Assets,255245000,241916000,507211000
37,Total Current Assets,898815000,1745816000,3247732000
38,PP&E,995433000,968652000,945226000
39,Goodwill,- -,- -,- -
40,Intangible Assets,- -,- -,- -
41,Intangible Assets,- -,- -,- -
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,131274000,71167000,205023000
45,Total Non-Current Assets,1126707000,1039819000,1150249000
46,Other Assets,- -,- -,- -
47,Total Assets,2025522000,2785635000,4397981000
48,Accounts Payable,185501000,305859000,551751000
49,Short-Term Debt,191000000,24500000,- -
50,Tax Payable,6412000,7134000,10195000
51,Deferred Revenue,235187000,198643000,- -
52,Other Current Liabilities,444577000,325831000,476614000
53,Total Current Liabilities,1056265000,854833000,1028365000
54,Long-Term Debt,- -,- -,- -
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,16230000,33891000,34445000
57,Other Non-Current Liabilities,103019000,198297000,103147000
58,Total Non-Current Liabilities,119249000,232188000,137592000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,1175514000,1087021000,1165957000
62,Preferred Stock,1421083000,5137874000,- -
63,Common Stock,83000,83000,347000
64,Retained Earnings,-551939000,-3657759000,-8607989000
65,Other Comprehensive Income/Loss,-19219000,218416000,68149000
66,Other Total Stockholders Equity,- -,- -,11771517000
67,Total Stockholders Equity,850008000,1698614000,3232024000
68,Total Liabilities And Stockholders Equity,2025522000,2785635000,4397981000
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,2025522000,2785635000,4397981000
71,SEC Link,- -,- -,- -
72,CASH FLOW STATEMENT, , , 
73,Net Income,166606000,75427000,- -
74,Depreciation and Amortization,194157000,343381000,- -
75,Deferred Income Tax,16230000,17661000,- -
76,Stock Based Compensation,39086000,29755000,- -
77,Change in Working Capital,-64359000,-177246000,- -
78,Accounts Receivable,-20125000,178000,- -
79,Inventory,- -,- -,- -
80,Accounts Payable,117369000,117961000,- -
81,Other Working Capital,- -,- -,- -
82,Other Non-Cash Items,92320000,247140000,- -
83,Cash Provided by Operating Activities,444040000,536118000,- -
84,CAPEX,-580209000,-416918000,- -
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,-567800000,-304800000,- -
87,Sales/Maturities of Investments,279713000,460231000,- -
88,Other Investing Activites,- -,- -,- -
89,Cash Used for Investing Activites,-868296000,-261487000,- -
90,Debt Repayment,-57517000,-394600000,- -
91,Common Stock Issued,- -,- -,- -
92,Common Stock Repurchased,-105135000,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,742320000,1049171000,- -
95,Cash Used/Provided by Financing Activities,579668000,654571000,- -
96,Effect of Forex Changes on Cash,-4368000,-6234000,- -
97,Net Change In Cash,151044000,922968000,- -
98,Cash at the End of Period,380533000,1303501000,- -
99,Cash at the Beginning of Period,229489000,380533000,- -
100,Free Cash Flow,-136169000,119200000,- -
101,SEC Link,- -,- -,undefined
102,Forex Rate,0.1436,0.1532,0.1572
