,https://roic.ai/company/BRVO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,250802,- -,1000000,1000000,161510,- -,741845,1815978,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,477000,1356326,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,250802,- -,1000000,1000000,161510,- -,264845,459652,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,1.0000,1.0000,1.0000,- -,0.3570,0.2531,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,221667,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1220727,302869,279782,1587227,2104268,2273678,8019876,2710769,1418198,1824495,1717709,435706,178051,60522401,527639
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,95950,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1220727,302869,279782,1587227,2104268,2273678,8019876,2710769,1418198,1920445,1717709,435706,178051,60522401,527639
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,33861,67722,5071,187376,226,184,- -,- -
10,Operating Expenses,- -,302869,279782,1587227,2104268,2273678,8019876,2744630,1485920,2147183,1905085,435932,178235,60522401,527639
11,COGS and Expenses,1220727,302869,279782,1587227,2104268,2273678,8019876,2744630,1485920,2624183,3261411,435932,178235,60522401,527639
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,9425,30868,27621,- -,- -,- -,- -,10549,57134,139357,920256,1750,350,350
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,33861,67722,5071,258552,226,184,- -,- -
15,EBITDA,-1220727,-302869,-279782,-1336425,-2104268,-2220774,-7019876,-2909259,-1418198,-2122267,-1367095,-435706,-178051,-60513606,-527639
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-5.3286,-Infinity,-2.2208,-7.0199,-18.0129,-Infinity,-2.8608,-0.7528,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-1220727,-302869,-279782,-1336425,-2104268,-1273678,-7019876,-2583120,-2212620,-1882338,-1445433,-435932,-178235,60522401,527639
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-5.3286,-Infinity,-1.2737,-7.0199,-15.9936,-Infinity,-2.5374,-0.7960,-Infinity,-Infinity,Infinity,Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-947096,- -,-360000,-431749,-302134,-319571,-964509,-1750,-120996230,-947765
20,Income Before Tax,- -,- -,- -,- -,- -,-2220774,-7019876,-2943120,-2644369,-2184472,-1765004,-1400441,-179985,-60473829,-420126
