,https://roic.ai/company/VSTA,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,989683000,997628000,947419000
2,COGS,- -,447049000,378003000,396829000
3,Gross Profit,- -,542634000,619625000,550590000
4,Gross Profit Ratio,- -,0.5483,0.6211,0.5811
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,276427000,406352000,430279000
7,Selling and Marketing Exp.,- -,184592000,165169000,164439000
8,"Selling, General and Administrative Exp.",- -,461019000,571521000,594718000
9,Other Expenses,- -,-5136000,-4283000,-5554000
10,Operating Expenses,- -,455883000,567238000,589164000
11,COGS and Expenses,- -,902932000,945241000,985993000
12,Interest Income ,- -,1703000,16907000,35640000
13,Interest Expense (Gain),- -,174935000,98507000,120183000
14,Depreciation and Amortization,- -,164932000,174088000,211156000
15,EBITDA,- -,249552000,201542000,175496000
16,EBITDA ratio,- -,0.2522,0.2020,0.1852
17,Operating Income,- -,82454000,- -,-38574000
18,Operating Income ratio,- -,0.0833,- -,-0.0407
19,Total Other Income Expenses (Gains),- -,-172769000,-123440000,-117269000
20,Income Before Tax,- -,-90315000,-71053000,-155843000
21,Income Before Tax Ratio,- -,-0.0913,-0.0712,-0.1645
22,Income Tax expense (Gain),- -,-29607000,-25404000,-37089000
23,Net Income,- -,-60708000,-45649000,-118754000
24,Net Income ratio,- -,-0.0613,-0.0458,-0.1253
25,EPS,- -,-0.73,-0.55,-1.13
26,EPS Diluted,- -,-0.73,-0.55,-1.10
27,Weighted Average Shares Outstanding,- -,83011585,83011585,104899000
28,Weighted Average Shares Outstanding Diluted,- -,83011585,83011585,107486000
29,SEC Link,undefined,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,102231000,43287000,311156000,309893000
32,Short-Term Investments,- -,- -,491102000,166349000
33,Cash and Short-Term Investments,102231000,43287000,802258000,476242000
34,Net Receivables,364845000,479009000,520893000,541455000
35,Inventory,262182000,222236000,249632000,242363000
36,Other Current Assets,8767000,22644000,27461000,40069000
37,Total Current Assets,738025000,767176000,1600244000,1300129000
38,PP&E,58306000,184961000,192006000,185682000
39,Goodwill,3286263000,3286263000,3307805000,- -
40,Intangible Assets,1800674000,1699122000,1616921000,- -
41,Intangible Assets,5086937000,4985385000,4924726000,5538367000
42,Investments,- -,- -,- -,- -
43,Tax Assets,87971000,57340000,88546000,130405000
44,Other Non-Current Assets,168452000,172932000,172748000,178824000
45,Total Non-Current Assets,5401666000,5400618000,5378026000,6033278000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,6139691000,6167794000,6978270000,7333407000
48,Accounts Payable,444290000,430832000,279454000,285289000
49,Short-Term Debt,339859000,477240000,542029000,308127000
50,Tax Payable,8857000,19651000,1761000,16666000
51,Deferred Revenue,76001000,49328000,47169000,46037000
52,Other Current Liabilities,114518000,136326000,227608000,138799000
53,Total Current Liabilities,974668000,1093726000,1096260000,778252000
54,Long-Term Debt,1318608000,1346613000,445299000,683641000
55,Deferred Revenue,13287000,9196000,6538000,128000
56,Deferred Tax Liabilities,554565000,609007000,613933000,646850000
57,Other Non-Current Liabilities,10062000,9169000,30923000,559327000
58,Total Non-Current Liabilities,1896522000,1973985000,1096693000,1889946000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,19911000,153714000,174101000,160542000
61,Total Liabilities,2871190000,3067711000,2192953000,2668198000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,4820815000,4820815000
64,Retained Earnings,- -,- -,-74460000,-193214000
65,Other Comprehensive Income/Loss,- -,- -,38962000,61488000
66,Other Total Stockholders Equity,- -,- -,- -,-23880000
67,Total Stockholders Equity,3268501000,3100083000,4785317000,4665209000
68,Total Liabilities And Stockholders Equity,6139691000,6167794000,6978270000,7333407000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,6139691000,6167794000,6978270000,7333407000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,- -,-60708000,-45649000,-155843000
74,Depreciation and Amortization,- -,164932000,174088000,211156000
75,Deferred Income Tax,- -,- -,-2092000,-1986000
76,Stock Based Compensation,- -,1372000,39648000,8158000
77,Change in Working Capital,- -,-70877000,50160000,-182523000
78,Accounts Receivable,- -,-73386000,-123412000,-25408000
79,Inventory,- -,29754000,-20812000,-14038000
80,Accounts Payable,- -,-9235000,42620000,-16124000
81,Other Working Capital,- -,4159000,115320000,-103202000
82,Other Non-Cash Items,- -,-27487000,-1380000,101001000
83,Cash Provided by Operating Activities,- -,7232000,214775000,-20037000
84,CAPEX,- -,-50269000,-44435000,-76788000
85,Acquisitions Net,- -,- -,-23147000,-186218000
86,Purchases of Investments,- -,- -,-474195000,- -
87,Sales/Maturities of Investments,- -,- -,- -,351472000
88,Other Investing Activites,- -,-37461000,-42793000,-55878000
89,Cash Used for Investing Activites,- -,-50269000,-541777000,88466000
90,Debt Repayment,- -,-24021000,-941800000,-520623000
91,Common Stock Issued,- -,- -,1836317000,497000000
92,Common Stock Repurchased,- -,- -,- -,-23880000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,- -,8114000,-300332000,-22189000
95,Cash Used/Provided by Financing Activities,- -,-15907000,594185000,-69692000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,- -,-58944000,267869000,-1263000
98,Cash at the End of Period,- -,43287000,311156000,309893000
99,Cash at the Beginning of Period,- -,102231000,43287000,311156000
100,Free Cash Flow,- -,-43037000,170340000,-96825000
101,SEC Link,undefined,- -,- -,- -
102,Forex Rate,undefined,0.2488,0.1925,0.1795
