,https://roic.ai/company/GTCH,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,5000,148281,10000,- -,100000,120000,90000,165000,9192350,14507870,19277060,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,8651800,13377760,18259960,- -,- -
3,Gross Profit,- -,5000,148281,- -,- -,- -,- -,- -,- -,540550,1130110,1017100,- -,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,0.0588,0.0779,0.0528,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2500,396759,1530000,420000,200000,364710,144270,1528180,3794530,16689960,129286260,2041996,293628000000
7,Selling and Marketing Exp.,- -,- -,36610,- -,- -,- -,- -,- -,- -,- -,- -,- -,310840,837614000000
8,"Selling, General and Administrative Exp.",- -,2500,433369,1530000,420000,200000,364710,144270,1528180,3794530,16689960,129286260,2352836,1131242000000
9,Other Expenses,- -,- -,106458,-2679,-101556,1569,-5,-998,-4,-5,1159304,- -,5600000,17524272000000
10,Operating Expenses,- -,2500,539827,1527321,318444,201569,364705,143272,1528176,3794525,17849264,129286260,7952836,18655514000000
11,COGS and Expenses,- -,2500,539827,1530000,420000,200000,364710,144270,1528180,16497150,59916800,194952190,7952836,- -
12,Interest Income ,- -,- -,- -,36844,4519,40893,48789,1935,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,48108,165298,68681,132853,61664,43779,45988,3356726,9549630,13036910,7147399,2022584000000
14,Depreciation and Amortization,- -,- -,105458,57911,23087,3383,1641,1347,1347,359502,1256862,465361,46363,824238
15,EBITDA,- -,2500,-286088,-516791,-390000,-153764,-232265,-50994,-1538895,-6571062,-40963178,-173002849,-7726473,-18475513175762
16,EBITDA ratio,- -,0.5000,-1.9294,-51.6791,-Infinity,-1.5376,-1.9355,-0.5666,-9.3266,-0.7148,-2.8235,-8.9745,-Infinity,-Infinity
17,Operating Income,- -,2500,-391546,-1516705,-418444,-101569,-244705,-53272,-1363176,-7304794,-45805500,-177050691,-7772836,-18475514000000
18,Operating Income ratio,- -,0.5000,-2.6406,-151.6705,-Infinity,-1.0157,-2.0392,-0.5919,-8.2617,-0.7947,-3.1573,-9.1845,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-48108,776705,-171556,-188431,-50865,-42848,-223054,-2982496,-5572770,-10354949,-11206839,-15454919000000
20,Income Before Tax,- -,2500,-439654,-740000,-590000,-290000,-295570,-96120,-1586230,-10287290,-51378270,-187405640,-18979675,-33930433000000
