,https://roic.ai/company/ARQT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,3411000,17940000,36522000,115308000,145558000
6,General and Administrative Exp.,695000,1795000,6610000,21337000,60971000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",695000,1795000,6610000,21337000,60971000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,4106000,19735000,43132000,136645000,206529000
11,COGS and Expenses,4106000,19735000,43132000,136645000,206529000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,195000,122000,454000
15,EBITDA,-4106000,-19735000,-42937000,-136523000,-206075000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-4106000,-19735000,-43132000,-136645000,-206529000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-872000,480000,1136000,967000,173000
20,Income Before Tax,-4978000,-19255000,-41996000,-135678000,-206356000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-4978000,-19255000,-41996000,-135678000,-206356000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.28,-1.10,-1.20,-3.80,-5.79
26,EPS Diluted,-0.28,-1.10,-1.20,-3.80,-5.79
27,Weighted Average Shares Outstanding,18035450,17502114,35064406,35668152,35668152
28,Weighted Average Shares Outstanding Diluted,18035450,17502114,35064406,35668152,35668152
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1787306/000178730620000005/0001787306-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1787306/000162828021002272/0001628280-21-002272-index.htm,https://www.sec.gov/Archives/edgar/data/1787306/000178730622000009/0001787306-22-000009-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,3418000,39394000,63336000,65082000,96449000
32,Short-Term Investments,- -,11546000,37929000,219359000,290610000
33,Cash and Short-Term Investments,3418000,50940000,101265000,284441000,387059000
34,Net Receivables,- -,- -,- -,510000,362000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,401000,158000,5209000,7875000,15352000
37,Total Current Assets,3819000,51098000,106474000,292826000,402773000
38,PP&E,- -,- -,491000,5365000,5301000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,47000,78000,78000
45,Total Non-Current Assets,- -,- -,538000,5443000,5379000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,3819000,51098000,107012000,298269000,408152000
48,Accounts Payable,537000,1801000,1405000,7140000,7353000
49,Short-Term Debt,- -,- -,178000,- -,433000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,155000,872000,3654000,15462000,25540000
53,Total Current Liabilities,692000,2673000,5237000,22602000,33326000
54,Long-Term Debt,- -,- -,- -,- -,77124000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8120000,72412000,166804000,5046000,25000
58,Total Non-Current Liabilities,8120000,72412000,166804000,5046000,77149000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,307000,4964000,5207000
61,Total Liabilities,8812000,75085000,172041000,27648000,110475000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4000,5000
64,Retained Earnings,-5021000,-24276000,-66272000,-201950000,-408306000
65,Other Comprehensive Income/Loss,- -,- -,-1000,-2000,-255000
66,Other Total Stockholders Equity,28000,289000,1243000,472569000,706233000
67,Total Stockholders Equity,-4993000,-23987000,-65029000,270621000,297677000
68,Total Liabilities And Stockholders Equity,3819000,51098000,107012000,298269000,408152000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3819000,51098000,107012000,298269000,408152000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1787306/000178730620000005/0001787306-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1787306/000162828021002272/0001628280-21-002272-index.htm,https://www.sec.gov/Archives/edgar/data/1787306/000178730622000009/0001787306-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-4978000,-19255000,-41996000,-135678000,-206356000
74,Depreciation and Amortization,- -,- -,195000,122000,454000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,27000,151000,824000,7943000,23892000
77,Change in Working Capital,279000,45298000,52812000,168987000,3620000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,537000,1264000,-458000,5674000,245000
81,Other Working Capital,3127000,48425000,101237000,270224000,- -
82,Other Non-Cash Items,897000,-40279000,-54671000,-154407000,3763000
83,Cash Provided by Operating Activities,-3775000,-14085000,-42836000,-113033000,-174627000
84,CAPEX,- -,- -,-295000,-321000,-995000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-11532000,-60830000,-279103000,-292508000
87,Sales/Maturities of Investments,- -,- -,34800000,97600000,217550000
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-11532000,-26325000,-181824000,-75953000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,297002000,207490000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,7119000,61593000,93103000,1143000,74457000
95,Cash Used/Provided by Financing Activities,7119000,61593000,93103000,298145000,281947000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,3344000,35976000,23942000,3288000,31367000
98,Cash at the End of Period,3418000,39394000,63336000,66624000,97991000
99,Cash at the Beginning of Period,74000,3418000,39394000,63336000,66624000
100,Free Cash Flow,-3775000,-14085000,-43131000,-113354000,-175622000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1787306/000178730620000005/0001787306-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1787306/000162828021002272/0001628280-21-002272-index.htm,https://www.sec.gov/Archives/edgar/data/1787306/000178730622000009/0001787306-22-000009-index.htm
102,false,,,,,
