,https://roic.ai/company/BNED,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1778200000,1743200000,1763200000,1747900000,1772998000,1808029000,1874362000,2203617000,2034643000,1851063000,1433890000
2,COGS,1399100000,1348700000,1358600000,1311200000,1329425000,1354680000,1415301000,1646384000,1506917000,1408514000,1181229000
3,Gross Profit,379100000,394500000,404600000,436700000,443573000,453349000,459061000,557233000,527726000,442549000,252661000
4,Gross Profit Ratio,0.2132,0.2263,0.2295,0.2498,0.2502,0.2507,0.2449,0.2529,0.2594,0.2391,0.1762
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,287900000,283200000,302900000,330400000,359504000,- -,1698000,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,379095000,433746000,423880000,404472000,- -
8,"Selling, General and Administrative Exp.",287900000,283200000,302900000,330400000,359504000,- -,380793000,433746000,423880000,404472000,- -
9,Other Expenses,43100000,45400000,46900000,48000000,50509000,427909000,64713000,386190000,131500000,80860000,391247000
10,Operating Expenses,331000000,328600000,349800000,378400000,410013000,427909000,445506000,819936000,555380000,485332000,391247000
11,COGS and Expenses,1730100000,1677300000,1708400000,1689600000,1739438000,1782589000,1860807000,2466320000,2062297000,1893846000,1572476000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-10600000,-5700000,-4900000,-400000,-210000,1872000,-3464000,-10306000,-9780000,-7445000,8087000
14,Depreciation and Amortization,- -,45343000,46849000,48014000,50509000,52690000,53318000,65586000,65865000,61860000,52967000
15,EBITDA,26900000,99843000,91949000,105514000,83649000,57313000,59945000,-217729000,18651000,4187000,-123209000
16,EBITDA ratio,0.0151,0.0573,0.0521,0.0604,0.0472,0.0317,0.0320,-0.0988,0.0092,0.0023,-0.0859
