,https://roic.ai/company/WTT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3200000,4400000,4000000,5000000,8600000,16000000,22500000,27300000,6800000,6848557,18450518,19041838,20747707,19724240,22105207,38770644,53763249,56602050,51031140,22828328,24564226,26823440,29594544,33825073,40337368,33109106,31326727,46078000,52788000,48921000,41748000,49245000
2,COGS,- -,2400000,1500000,2100000,2700000,4100000,5600000,7800000,2300000,1754677,14893359,8675257,10863879,9464878,10321916,17883574,24493208,25064409,26496918,12199396,13008747,14356736,14817747,17696723,21293675,18281232,18164973,26817000,28621000,26632000,20781000,24158000
3,Gross Profit,- -,2000000,2500000,2900000,5900000,11900000,16900000,19500000,4500000,5093880,3557159,10366581,9883828,10259362,11783291,20887070,29270041,31537641,24534222,10628932,11555479,12466704,14776797,16128350,19043693,14827874,13161754,19261000,24167000,22289000,20967000,25087000
4,Gross Profit Ratio,- -,0.4545,0.6250,0.5800,0.6860,0.7438,0.7511,0.7143,0.6618,0.7438,0.1928,0.5444,0.4764,0.5201,0.5331,0.5387,0.5444,0.5572,0.4808,0.4656,0.4704,0.4648,0.4993,0.4768,0.4721,0.4478,0.4201,0.4180,0.4578,0.4556,0.5022,0.5094
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8758858,7294817,2066018,2174798,2260949,2524030,2645070,3379920,3957274,4046106,4395000,4909000,5917000,6389000,5550000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,5400000,7100000,2700000,2384782,- -,5598151,- -,- -,- -,- -,- -,- -,8660841,5328027,4217134,3859083,4891833,6429278,5497579,4963756,6467426,11104000,10306000,10174000,9907000,11869000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10977490,4158836,4358024,4496825,4603316,4858239,5487192,5159805,5196331,6960000,7595000,7677000,6955000,7169000
8,"Selling, General and Administrative Exp.",- -,1000000,1200000,1600000,2400000,4100000,5400000,7100000,2700000,2384782,- -,5598151,7184913,8125284,9461819,16527603,25082645,19616094,19638331,9486863,8575158,8355908,9495149,11287517,10984771,10123561,11663757,18064000,17901000,17851000,16862000,19038000
9,Other Expenses,- -,100000,100000,100000,100000,100000,200000,300000,500000,266648,489809,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
