,https://roic.ai/company/BG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7950000000,9667000000,11484000000,14074000000,22165000000,25168000000,24275000000,26274000000,37842000000,52574000000,41926000000,45707000000,58743000000,60991000000,61347000000,57161000000,43455000000,42679000000,45794000000,45743000000,41140000000,41404000000,59152000000
2,COGS,7332000000,8935000000,10507000000,12743000000,20860000000,23282000000,22704000000,24703000000,35327000000,48538000000,40722000000,43196000000,56015000000,58418000000,58587000000,54540000000,40762000000,40269000000,44030000000,43477000000,40598000000,38619000000,55789000000
3,Gross Profit,618000000,732000000,977000000,1331000000,1305000000,1886000000,1571000000,1571000000,2515000000,4036000000,1204000000,2511000000,2728000000,2573000000,2760000000,2621000000,2693000000,2410000000,1764000000,2266000000,542000000,2785000000,3363000000
4,Gross Profit Ratio,0.0777,0.0757,0.0851,0.0946,0.0589,0.0749,0.0647,0.0598,0.0665,0.0768,0.0287,0.0549,0.0464,0.0422,0.0450,0.0459,0.0620,0.0565,0.0385,0.0495,0.0132,0.0673,0.0569
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,321000000,387000000,436000000,592000000,691000000,871000000,956000000,978000000,1359000000,1613000000,1342000000,1558000000,1553000000,1563000000,1559000000,1691000000,1435000000,1286000000,1445000000,1423000000,1351000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",321000000,387000000,436000000,592000000,691000000,871000000,956000000,978000000,1359000000,1613000000,1342000000,1558000000,1553000000,1563000000,1559000000,1691000000,1435000000,1286000000,1445000000,1423000000,1351000000,- -,1234000000
9,Other Expenses,- -,300000000,-14000000,- -,-109000000,111000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358000000,- -
10,Operating Expenses,321000000,687000000,422000000,592000000,582000000,982000000,956000000,978000000,1359000000,1613000000,1342000000,1558000000,1553000000,1563000000,1559000000,1691000000,1435000000,1286000000,1445000000,1423000000,1351000000,1358000000,1234000000
11,COGS and Expenses,7653000000,9622000000,10929000000,13335000000,21442000000,24264000000,23660000000,25681000000,36686000000,50151000000,42064000000,44754000000,57568000000,59981000000,60146000000,56231000000,42197000000,41555000000,45475000000,44900000000,41949000000,39977000000,57023000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000000,122000000,69000000,102000000,53000000,76000000,87000000,43000000,51000000,38000000,31000000,31000000,22000000,48000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,361000000,283000000,298000000,302000000,294000000,363000000,347000000,258000000,234000000,263000000,339000000,339000000,265000000,243000000
14,Depreciation and Amortization,- -,149000000,167000000,171000000,184000000,212000000,278000000,324000000,385000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,424000000
15,EBITDA,-32000000,173000000,369000000,530000000,796000000,970000000,726000000,809000000,1473000000,1670000000,534000000,3341000000,1288000000,352000000,1573000000,1111000000,1345000000,1199000000,479000000,785000000,-855000000,2093000000,3143000000
16,EBITDA ratio,-0.0040,0.0179,0.0321,0.0377,0.0359,0.0385,0.0299,0.0308,0.0389,0.0318,0.0127,0.0731,0.0219,0.0058,0.0256,0.0194,0.0310,0.0281,0.0105,0.0172,-0.0208,0.0506,0.0531
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
