,https://roic.ai/company/MED,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,16504000,14361000,15901000,4651000,3898000,5022000,12345000,25379000,27340000,40129000,74086000,83779000,105445000,165618000,257552000,298189000,356706000,356886000,285285000,272773000,274534000,301563000,501003000,713672000,934842000,1526087000
2,COGS,9216000,9670000,10097000,2305000,1724000,2211000,3687000,6825000,6746000,10161000,18237000,21464000,25332000,40293000,65083000,73693000,88671000,89040000,76078000,71458000,68870000,73751000,121104000,176814000,237027000,398490000
3,Gross Profit,7288000,4691000,5804000,2346000,2174000,2811000,8658000,18554000,20594000,29968000,55849000,62315000,80113000,125325000,192469000,224496000,268035000,267846000,209207000,201315000,205664000,227812000,379899000,536858000,697815000,1127597000
4,Gross Profit Ratio,0.4416,0.3266,0.3650,0.5044,0.5577,0.5597,0.7013,0.7311,0.7533,0.7468,0.7538,0.7438,0.7598,0.7567,0.7473,0.7529,0.7514,0.7505,0.7333,0.7380,0.7491,0.7554,0.7583,0.7522,0.7465,0.7389
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6455000,7829000,6575000,4179000,1689000,2066000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563656000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6455000,7829000,6575000,4179000,1689000,2066000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563656000,911356000
9,Other Expenses,388000,- -,- -,232000,- -,- -,6906000,14956000,17590000,25894000,47737000,56600000,71914000,105959000,160829000,197114000,244773000,234256000,178961000,172631000,178805000,188180000,310836000,445819000,- -,- -
10,Operating Expenses,6843000,7829000,6575000,4411000,1689000,2066000,6906000,14956000,17590000,25894000,47737000,56600000,71914000,105959000,160829000,197114000,244773000,234256000,178961000,172631000,178805000,188180000,310836000,445819000,563656000,911356000
11,COGS and Expenses,16059000,17499000,16672000,6716000,3413000,4277000,10593000,21781000,24336000,36055000,65974000,78064000,97246000,146252000,225912000,270807000,333444000,323296000,255039000,244089000,247675000,261931000,431940000,622633000,800683000,1309846000
