,https://roic.ai/company/BMRA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1700000,1900000,1400000,1200000,8200000,10400000,7800000,8000000,8300000,9200000,9500000,9200000,9400000,8700000,8033708,8939522,8598054,9059938,9168833,9273980,7184992,5748319,4926505,4934771,5075222,4899375,6081131,6472960,5120451,4962373,5139816,5791670,5564185,5200682,6692711,7199027
2,COGS,1200000,800000,1000000,800000,4000000,6700000,4800000,4800000,4300000,4800000,5100000,5200000,5300000,5100000,5402305,6129900,6062462,6161485,6252417,6188898,4779615,3502607,2790883,2964908,3514455,3373786,3783955,4045099,3451243,3420567,3615774,3769879,3809785,3908668,4910935,6702046
3,Gross Profit,500000,1100000,400000,400000,4200000,3700000,3000000,3200000,4000000,4400000,4400000,4000000,4100000,3600000,2631403,2809622,2535592,2898453,2916416,3085082,2405377,2245712,2135622,1969863,1560767,1525589,2297176,2427861,1669208,1541806,1524042,2021791,1754400,1292014,1781776,496981
4,Gross Profit Ratio,0.2941,0.5789,0.2857,0.3333,0.5122,0.3558,0.3846,0.4000,0.4819,0.4783,0.4632,0.4348,0.4362,0.4138,0.3275,0.3143,0.2949,0.3199,0.3181,0.3327,0.3348,0.3907,0.4335,0.3992,0.3075,0.3114,0.3778,0.3751,0.3260,0.3107,0.2965,0.3491,0.3153,0.2484,0.2662,0.0690
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,300000,600000,500000,898122,322121,159758,262841,273981,274288,239004,256101,259085,278308,455171,420571,347128,459086,589866,733640,780333,1130635,1398368,1679098,1910209,2410506
6,General and Administrative Exp.,2400000,2300000,1900000,1200000,3700000,4800000,3600000,3000000,3400000,3300000,3100000,2900000,3100000,3100000,5700963,3171085,2841255,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2400000,2300000,1900000,1200000,3700000,4800000,3600000,3000000,3400000,3300000,3100000,2900000,3100000,3100000,5700963,3171085,2841255,2845495,2958573,3045558,2263463,1468821,1367048,1443896,1470116,1237279,1445049,1454767,1525936,1478761,1570661,1845789,1837787,2025706,2274415,4608950
9,Other Expenses,200000,100000,100000,100000,500000,800000,800000,500000,400000,400000,300000,200000,200000,300000,222325,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2600000,2400000,2000000,1300000,4200000,5600000,4400000,3500000,3800000,4000000,3700000,3400000,3900000,3900000,6821410,3493206,3001013,3108336,3232554,3319846,2502467,1724922,1626133,1722204,1925287,1657850,1792177,1913853,2115802,2212401,2350994,2976424,3236155,3704804,4184624,7019456
11,COGS and Expenses,3800000,3200000,3000000,2100000,8200000,12300000,9200000,8300000,8100000,8800000,8800000,8600000,9200000,9000000,12223715,9623106,9063475,9269821,9484971,9508744,7282082,5227529,4417016,4687112,5439742,5031636,5576132,5958952,5567045,5632968,5966768,6746303,7045940,7613472,9095559,13721502
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29867,14713,7367,- -,10708,17183,21906,24123,46354,47764,44014,71193,66863
