,https://roic.ai/company/MNSO,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,9394911000,8978986000,9071659000
2,COGS,- -,6883931000,6246488000,6640973000
3,Gross Profit,- -,2510980000,2732498000,2430686000
4,Gross Profit Ratio,- -,0.2673,0.3043,0.2679
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,593205000,796435000,810829000
7,Selling and Marketing Exp.,- -,818318000,1190477000,1206782000
8,"Selling, General and Administrative Exp.",- -,1411523000,1986912000,2017611000
9,Other Expenses,- -,-19353000,-45538000,-59108000
10,Operating Expenses,- -,1392170000,1941374000,1958503000
11,COGS and Expenses,- -,8276101000,8187862000,8599476000
12,Interest Income ,- -,7311000,25608000,40433000
13,Interest Expense (Gain),- -,25209000,31338000,28362000
14,Depreciation and Amortization,- -,191778000,268669000,265019000
15,EBITDA,- -,205923000,248689000,-908374000
16,EBITDA ratio,- -,0.0219,0.0277,-0.1001
17,Operating Income,- -,1016682000,766581000,401035000
18,Operating Income ratio,- -,0.1082,0.0854,0.0442
19,Total Other Income Expenses (Gains),- -,-727678000,-685763000,-1617227000
20,Income Before Tax,- -,289004000,80818000,-1216192000
21,Income Before Tax Ratio,- -,0.0308,0.0090,-0.1341
22,Income Tax expense (Gain),- -,279583000,210949000,213255000
23,Net Income,- -,-290647000,-262267000,-1415010000
24,Net Income ratio,- -,-0.0309,-0.0292,-0.1560
25,EPS,- -,-0.90,-0.75,-4.62
26,EPS Diluted,- -,-0.90,-0.75,-4.62
27,Weighted Average Shares Outstanding,- -,303975402,303975402,306391588
28,Weighted Average Shares Outstanding Diluted,- -,303975402,303975402,306391588
29,SEC Link,undefined,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,228106000,1546280000,2853980000,6771653000
32,Short-Term Investments,- -,356265000,- -,102968000
33,Cash and Short-Term Investments,228106000,1902545000,2853980000,6874621000
34,Net Receivables,1755040000,741899000,600505000,680041000
35,Inventory,1089474000,1308957000,1395674000,1496061000
36,Other Current Assets,4656000,558318000,136440000,148364000
37,Total Current Assets,3077276000,4511719000,4986599000,9199087000
38,PP&E,515271000,576713000,590929000,766203000
39,Goodwill,- -,- -,- -,19640000
40,Intangible Assets,31478000,49876000,69091000,61005000
41,Intangible Assets,31478000,49876000,69091000,80645000
42,Investments,- -,- -,- -,352062000
43,Tax Assets,21335000,87807000,183520000,168552000
44,Other Non-Current Assets,- -,- -,6112000,138481000
45,Total Non-Current Assets,568084000,714396000,849652000,1505943000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,3645360000,5226115000,5836251000,10705030000
48,Accounts Payable,2349077000,591342000,483278000,624688000
49,Short-Term Debt,136347000,189487000,625262000,334937000
50,Tax Payable,45465000,100838000,86235000,86390000
51,Deferred Revenue,160931000,243873000,218287000,272979000
52,Other Current Liabilities,45465000,2221277000,1982816000,2250251000
53,Total Current Liabilities,2691820000,3245979000,3309643000,3482855000
54,Long-Term Debt,345560000,315143000,394101000,490069000
55,Deferred Revenue,43367000,77673000,74226000,79952000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1701294000,2381327000,- -
58,Total Non-Current Liabilities,388927000,2094110000,2849654000,570021000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,460679000,496570000,602974000,804412000
61,Total Liabilities,3080747000,5340089000,6159297000,4052876000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,69000,92000
64,Retained Earnings,146336000,-525756000,-1125055000,-2558291000
65,Other Comprehensive Income/Loss,46477000,259923000,625984000,928005000
66,Other Total Stockholders Equity,- -,- -,162373000,8289160000
67,Total Stockholders Equity,563085000,-124789000,-336629000,6658966000
68,Total Liabilities And Stockholders Equity,3643832000,5215300000,5822668000,10711842000
69,Minority Interest,1528000,10815000,13583000,-6812000
70,Total Liabilities & Equity,3645360000,5226115000,5836251000,10705030000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,- -,-290647000,-262267000,-1415010000
74,Depreciation and Amortization,- -,191778000,268669000,265019000
75,Deferred Income Tax,- -,279583000,210949000,213255000
76,Stock Based Compensation,- -,122058000,364380000,281319000
77,Change in Working Capital,- -,313469000,-183814000,277213000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,-392824000,-86717000,-93197000
80,Accounts Payable,- -,- -,- -,- -
81,Other Working Capital,- -,112786000,-27172000,63794000
