,https://roic.ai/company/SREV,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,100280000,110676000,152935000,205501000,243703000,272482000,272180000,252203000,252887000,239127000,238340000,216135000,194601000,195704000
2,COGS,56965000,58877000,90048000,113406000,136321000,162449000,194009000,171369000,165069000,163709000,164693000,153155000,137041000,140002000
3,Gross Profit,43315000,51799000,62887000,92095000,107382000,110033000,78171000,80834000,87818000,75418000,73647000,62980000,57560000,55702000
4,Gross Profit Ratio,0.4319,0.4680,0.4112,0.4481,0.4406,0.4038,0.2872,0.3205,0.3473,0.3154,0.3090,0.2914,0.2958,0.2846
5,Research and Development Exp.,1160000,2054000,7188000,13073000,19255000,23855000,25802000,16480000,8344000,5729000,6436000,4848000,5602000,5183000
6,General and Administrative Exp.,10571000,13777000,19378000,33647000,41135000,44913000,47808000,46299000,52995000,53087000,47288000,43208000,41970000,45051000
7,Selling and Marketing Exp.,20486000,23182000,35119000,48520000,56925000,58826000,59988000,44086000,41972000,33001000,35600000,30009000,24999000,17056000
8,"Selling, General and Administrative Exp.",31057000,36959000,54497000,82167000,98060000,103739000,107796000,90385000,94967000,86088000,82888000,73217000,66969000,62107000
9,Other Expenses,857000,68000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542000,- -
10,Operating Expenses,33074000,39081000,61685000,95240000,117315000,127594000,133598000,106865000,103311000,91817000,89324000,78065000,74113000,67290000
11,COGS and Expenses,90039000,97958000,151733000,208646000,253636000,290043000,327607000,278234000,268380000,255526000,254017000,231220000,211154000,207292000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2209000,1116000,1271000,503000,236000,3754000,9886000,10393000,11030000,9886000,7396000,1226000,608000,471000
14,Depreciation and Amortization,3356000,3527000,6137000,9372000,10003000,11652000,13219000,13736000,16052000,22588000,16495000,23164000,13925000,24066000
15,EBITDA,11539000,16884000,6988000,5603000,-468000,-6575000,-71752000,-14880000,-1615000,981000,-544000,6150000,-4717000,10094000
16,EBITDA ratio,0.1151,0.1526,0.0457,0.0273,-0.0019,-0.0241,-0.2636,-0.0590,-0.0064,0.0041,-0.0023,0.0285,-0.0242,0.0516
17,Operating Income,10241000,12718000,1202000,-3145000,-9933000,-17561000,-83849000,-29693000,-15493000,-23707000,-15886000,-17014000,-16553000,-12659000
18,Operating Income ratio,0.1021,0.1149,0.0079,-0.0153,-0.0408,-0.0644,-0.3081,-0.1177,-0.0613,-0.0991,-0.0667,-0.0787,-0.0851,-0.0647
19,Total Other Income Expenses (Gains),-4267000,-477000,-1622000,-1127000,-774000,-4420000,-11008000,-9316000,-13204000,-7786000,-8549000,-1226000,-1279000,-1784000
