,https://roic.ai/company/ATRA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,20340000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,4859000,15446000,41618000,56514000,81206000,167457000,216097000,244650000,282001000
6,General and Administrative Exp.,- -,3756000,12710000,16830000,24728000,40326000,69654000,79584000,64402000,78801000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3756000,12710000,16830000,24728000,40326000,69654000,79584000,64402000,78801000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,8615000,28156000,58448000,81242000,121532000,237111000,295681000,309052000,360802000
11,COGS and Expenses,- -,8615000,28156000,58448000,81242000,121532000,237111000,295681000,309052000,360802000
12,Interest Income ,- -,12000,125000,1218000,2203000,2027000,6368000,4717000,2447000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,4000,6000,48000,383000,956000,3732000,7070000,8332000,9345000
15,EBITDA,- -,-8611000,-28150000,-58400000,-80859000,-120576000,-233379000,-288611000,-300720000,-330750000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.2611
17,Operating Income,- -,-8615000,-28156000,-58448000,-81242000,-121532000,-237111000,-295681000,-309052000,-340462000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.7385
19,Total Other Income Expenses (Gains),- -,12000,125000,1218000,2203000,2027000,6368000,4717000,2447000,367000
20,Income Before Tax,- -,-8603000,-28031000,-57230000,-79039000,-119505000,-230743000,-290964000,-306605000,-340095000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.7205
22,Income Tax expense (Gain),- -,170000,-25000,-9000,10000,-14000,-44000,12000,15000,46000
23,Net Income,- -,-8773000,-28006000,-57221000,-79049000,-119491000,-230699000,-290976000,-306620000,-340141000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.7228
25,EPS,- -,-1.28,-5.62,-2.24,-2.75,-4.00,-5.27,-5.67,-4.15,-3.63
26,EPS Diluted,- -,-1.28,-5.62,-2.24,-2.75,-4.00,-5.27,-5.67,-4.15,-3.63
27,Weighted Average Shares Outstanding,- -,6870743,4985540,25583000,28732000,29863000,43811000,51308000,73973000,93670000
28,Weighted Average Shares Outstanding Diluted,- -,6870743,4985540,25583000,28732000,29863000,43811000,51308000,73973000,93670000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1604464/000156459015001038/atra-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1604464/000156459016014061/0001564590-16-014061-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459017003792/0001564590-17-003792-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459018003390/0001564590-18-003390-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459019004275/0001564590-19-004275-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459020007027/0001564590-20-007027-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459021009854/0001564590-21-009854-index.htm,https://www.sec.gov/Archives/edgar/data/1604464/000156459022007633/0001564590-22-007633-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,4207000,51615000,21897000,23746000,47968000,79223000,60698000,74317000,200404000,106084000
32,Short-Term Investments,- -,- -,82219000,296736000,207714000,86873000,248933000,184792000,300255000,264984000
33,Cash and Short-Term Investments,4207000,51615000,104116000,320482000,255682000,166096000,309631000,259109000,500659000,371068000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,1250000,986000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,35000,193000,1910000,4115000,4871000,6094000,11858000,13883000,21364000,12567000
37,Total Current Assets,4242000,51808000,106026000,324597000,260553000,172190000,321489000,272992000,523273000,384621000
38,PP&E,9000,8000,48000,270000,3259000,44129000,68576000,68183000,62820000,79939000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,39000,12000,48000,108000,102000,1460000,1774000,1767000,2027000,3567000
45,Total Non-Current Assets,48000,20000,96000,378000,3361000,45589000,70350000,69950000,64847000,83506000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4290000,51828000,106122000,324975000,263914000,217779000,391839000,342942000,588120000,468127000
48,Accounts Payable,121000,606000,440000,1445000,2778000,14711000,3719000,7963000,7118000,17368000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1581000,1985000,- -
50,Tax Payable,7000,155000,1000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,33455000,40760000
52,Other Current Liabilities,1181000,918000,2284000,8264000,6897000,12935000,36260000,27199000,40343000,47658000
53,Total Current Liabilities,1302000,1524000,2724000,9709000,9675000,27646000,39979000,36743000,82901000,105786000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,13041000,25518000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,27795000,55708000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6715000,61321000,216000,166000,503000,12269000,13003000,15418000,2044000,1501000
58,Total Non-Current Liabilities,6715000,61321000,216000,166000,503000,12269000,13003000,15418000,42880000,82727000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,15717000,15026000,25518000
61,Total Liabilities,8017000,62845000,2940000,9875000,10178000,39915000,52982000,52161000,125781000,188513000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,3000,3000,3000,5000,6000,8000,9000
64,Retained Earnings,-4110000,-12883000,-40889000,-98110000,-177159000,-296650000,-527349000,-817961000,-1124581000,-1464722000
65,Other Comprehensive Income/Loss,- -,-3823000,-100000,-518000,-183000,-151000,-340000,220000,296000,-368000
66,Other Total Stockholders Equity,382000,5688000,144169000,413725000,431075000,474662000,866541000,1108516000,1586616000,- -
67,Total Stockholders Equity,-3727000,-11017000,103182000,315100000,253736000,177864000,338857000,290781000,462339000,279614000
68,Total Liabilities And Stockholders Equity,4290000,51828000,106122000,324975000,263914000,217779000,391839000,342942000,588120000,468127000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4290000,51828000,106122000,324975000,263914000,217779000,391839000,342942000,588120000,468127000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604464/000156459015001038/atra-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1604464/000156459016014061/0001564590-16-014061-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459017003792/0001564590-17-003792-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459018003390/0001564590-18-003390-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459019004275/0001564590-19-004275-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459020007027/0001564590-20-007027-index.html,https://www.sec.gov/Archives/edgar/data/1604464/000156459021009854/0001564590-21-009854-index.htm,https://www.sec.gov/Archives/edgar/data/1604464/000156459022007633/0001564590-22-007633-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-8773000,-28006000,-57221000,-79049000,-119491000,-230699000,-290976000,-306620000,-340141000
74,Depreciation and Amortization,- -,4000,6000,48000,383000,956000,3732000,7070000,8332000,9345000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1713000,10101000,10251000,16784000,23100000,33817000,51696000,51351000,53865000
77,Change in Working Capital,- -,1094000,53018000,211586000,-64010000,-106334000,136966000,-45261000,204123000,-161537000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1250000,264000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,485000,-164000,1005000,981000,2163000,-1958000,4213000,-815000,9067000
81,Other Working Capital,- -,50284000,103302000,314888000,250878000,144544000,281510000,236249000,440372000,278835000
82,Other Non-Cash Items,- -,-4000,-51747000,-201820000,65867000,114267000,-123588000,41845000,-137945000,217946000
83,Cash Provided by Operating Activities,- -,-5966000,-16628000,-37156000,-60025000,-87502000,-179772000,-235626000,-180759000,-220522000
84,CAPEX,- -,-3000,-46000,-290000,-3020000,-20232000,-35925000,-5733000,-4513000,-10580000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-95525000,-379776000,-304928000,-176459000,-466489000,-270230000,-425868000,-301129000
87,Sales/Maturities of Investments,- -,- -,12208000,160133000,391689000,296600000,306125000,336261000,309653000,333967000
88,Other Investing Activites,- -,- -,- -,-194000,- -,-1200000,- -,161000,- -,- -
89,Cash Used for Investing Activites,- -,-3000,-83363000,-220127000,83741000,98709000,-196289000,60459000,-120728000,22258000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-528000,-486000,-389000,-1244000
91,Common Stock Issued,- -,- -,56455000,263434000,- -,19156000,340876000,188617000,422969000,98697000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,53377000,13818000,-4208000,506000,892000,17188000,655000,4994000,6491000
95,Cash Used/Provided by Financing Activities,- -,53377000,70273000,259226000,506000,20048000,357536000,188786000,427574000,103944000
96,Effect of Forex Changes on Cash,- -,- -,- -,-94000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,47408000,-29718000,1849000,24222000,31255000,-18525000,13619000,126087000,-94320000
98,Cash at the End of Period,- -,51615000,21897000,23746000,47968000,79223000,62092000,75711000,201798000,107478000
