,https://roic.ai/company/BIOS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,213900000,283200000,242300000,451100000,377400000,369800000,456600000,576600000,588800000,630500000,1073200000,1152500000,1197700000,1401900000,1329500000,1638600000,- -,662600000,842200000,984100000,982200000,935600000,817200000,708900000,- -,- -,- -
2,COGS,213400000,278100000,239000000,421400000,347100000,334600000,403200000,506000000,520200000,562400000,957000000,1032900000,1060700000,1259700000,1171700000,1378200000,- -,437700000,570400000,723000000,721300000,670000000,547900000,465900000,- -,- -,- -
3,Gross Profit,500000,5100000,3300000,29700000,30300000,35200000,53400000,70600000,68600000,68100000,116200000,119600000,137000000,142200000,157800000,260400000,- -,224900000,271800000,261100000,260900000,265600000,269300000,243000000,- -,- -,- -
4,Gross Profit Ratio,0.0023,0.0180,0.0136,0.0658,0.0803,0.0952,0.1170,0.1224,0.1165,0.1080,0.1083,0.1038,0.1144,0.1014,0.1187,0.1589,- -,0.3394,0.3227,0.2653,0.2656,0.2839,0.3295,0.3428,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,8000000,11600000,19100000,23100000,28000000,33900000,38500000,45900000,50600000,52800000,109300000,129200000,125300000,129100000,140600000,226300000,- -,198500000,254000000,319400000,83600000,66000000,63300000,47300000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8000000,11600000,19100000,23100000,28000000,33900000,38500000,45900000,50600000,52800000,109300000,129200000,125300000,129100000,140600000,226300000,- -,198500000,254000000,319400000,83600000,66000000,63300000,47300000,- -,- -,- -
9,Other Expenses,- -,26600000,0,4000000,7100000,1500000,-200000,500000,1900000,3000000,36100000,6600000,2900000,96600000,1800000,27900000,4800000,13100000,40700000,35100000,465000000,197700000,220800000,189600000,- -,- -,- -
10,Operating Expenses,8000000,38200000,19100000,27100000,35100000,35400000,38300000,46400000,52500000,55800000,145400000,135800000,128200000,225700000,142400000,254200000,4800000,211600000,294700000,354500000,548600000,263700000,284100000,236900000,- -,- -,- -
11,COGS and Expenses,221400000,316300000,258100000,448500000,382200000,370000000,441500000,552400000,572700000,618200000,1102400000,1168700000,1188900000,1485400000,1314100000,1632400000,4800000,649300000,865100000,1077500000,1269900000,933700000,832000000,702800000,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),700000,1400000,2300000,1700000,1000000,800000,-100000,-800000,-800000,-800000,-400000,-3000000,-3300000,-2700000,-1900000,-27600000,28306000,26067000,28197000,-38500000,-37300000,-38200000,-52100000,-57400000,- -,- -,- -
14,Depreciation and Amortization,370000,780000,1090000,1690000,3220000,4880000,6360000,6060000,5080000,5030000,9920000,10860000,7090000,6400000,5030000,12330000,15880000,- -,- -,- -,22740000,21550000,27730000,23600000,- -,- -,- -
15,EBITDA,-5730000,-29620000,-10110000,7690000,420000,3980000,21360000,28660000,19480000,15730000,-19980000,-11440000,9390000,-82500000,16630000,-36670000,11080000,86367000,-39003000,-174600000,-335760000,-56150000,-24970000,-84900000,- -,- -,- -
16,EBITDA ratio,-0.0268,-0.1046,-0.0417,0.0170,0.0011,0.0108,0.0468,0.0497,0.0331,0.0249,-0.0186,-0.0099,0.0078,-0.0588,0.0125,-0.0224,Infinity,0.1303,-0.0463,-0.1774,-0.3418,-0.0600,-0.0306,-0.1198,- -,- -,- -
17,Operating Income,-7500000,-33200000,-15800000,2600000,-4800000,-200000,15200000,24100000,16000000,12300000,-29200000,-16200000,8900000,-83500000,15500000,6200000,-4800000,13300000,-22900000,-93500000,-287600000,1900000,-14800000,6100000,- -,- -,- -
18,Operating Income ratio,-0.0351,-0.1172,-0.0652,0.0058,-0.0127,-0.0005,0.0333,0.0418,0.0272,0.0195,-0.0272,-0.0141,0.0074,-0.0596,0.0117,0.0038,-Infinity,0.0201,-0.0272,-0.0950,-0.2928,0.0020,-0.0181,0.0086,- -,- -,- -
19,Total Other Income Expenses (Gains),700000,1400000,2300000,1700000,1000000,-1500000,-100000,-700000,-800000,-800000,-400000,-3100000,-3300000,-2700000,-2000000,-27600000,- -,-26100000,-28200000,-38500000,-37400000,-34300000,-52600000,-57100000,- -,- -,- -
20,Income Before Tax,-6800000,-31800000,-13500000,4300000,-3800000,-1700000,15100000,23400000,15200000,11500000,-29600000,-19300000,5600000,-86200000,13500000,-21400000,-4800000,-12800000,-51100000,-132000000,-325000000,-32400000,-67400000,-51000000,- -,- -,- -
21,Income Before Tax Ratio,-0.0318,-0.1123,-0.0557,0.0095,-0.0101,-0.0046,0.0331,0.0406,0.0258,0.0182,-0.0276,-0.0167,0.0047,-0.0615,0.0102,-0.0131,-Infinity,-0.0193,-0.0607,-0.1341,-0.3309,-0.0346,-0.0825,-0.0719,- -,- -,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,100000,900000,4700000,6100000,4500000,-5700000,19000000,2300000,-12200000,-40600000,47700000,- -,-4400000,2500000,11400000,-21500000,2000000,63600000,600000,- -,- -,- -
23,Net Income,-6800000,-31800000,-13500000,4300000,-3800000,-1800000,14200000,18700000,9100000,7000000,-23800000,-38300000,3300000,-74000000,54100000,-69100000,-4800000,64700000,-69700000,-147500000,-299700000,-41500000,-64200000,-51700000,- -,- -,- -
24,Net Income ratio,-0.0318,-0.1123,-0.0557,0.0095,-0.0101,-0.0049,0.0311,0.0324,0.0155,0.0111,-0.0222,-0.0332,0.0028,-0.0528,0.0407,-0.0422,-Infinity,0.0976,-0.0828,-0.1499,-0.3051,-0.0444,-0.0786,-0.0729,- -,- -,- -
25,EPS,-1.45,-3.31,-1.07,0.26,-0.20,-0.09,0.64,0.79,0.40,0.31,-0.70,-1.03,0.09,-1.93,1.36,-1.37,-0.09,1.15,-1.08,-2.15,-4.36,-0.44,-0.52,-0.40,- -,- -,- -
26,EPS Diluted,-1.45,-3.31,-1.07,0.26,-0.20,-0.09,0.64,0.79,0.40,0.31,-0.70,-1.03,0.09,-1.93,1.36,-1.37,-0.09,1.15,-1.08,-2.15,-4.36,-0.44,-0.52,-0.40,- -,- -,- -
27,Weighted Average Shares Outstanding,4700000,9600000,12600000,16300000,18700000,19900000,22300000,23600000,22600000,22700000,34100000,37300000,38500000,38400000,39700000,50400000,55200000,56200000,64600000,68500000,68700000,93700000,123800000,127900000,- -,- -,597792000
28,Weighted Average Shares Outstanding Diluted,4700000,9600000,12600000,16300000,18700000,19900000,22300000,23600000,22600000,22700000,34100000,37300000,38500000,38400000,39700000,50400000,55200000,56200000,64600000,68500000,68700000,93700000,123800000,127900000,- -,- -,597792000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1856653/000119312522073378/0001193125-22-073378-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1800000,1800000,9600000,4500000,15300000,1300000,12500000,5800000,9400000,3000000,1500000,- -,- -,- -,- -,- -,- -,62100000,1000000,700000,15600000,9600000,39500000,14500000,- -,- -,635542
32,Short-Term Investments,- -,28100000,19200000,11700000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1800000,29900000,28800000,16200000,20300000,1300000,12500000,5800000,9400000,3000000,1500000,- -,- -,- -,- -,- -,- -,62100000,1000000,700000,15600000,9600000,39500000,14500000,- -,- -,635542
34,Net Receivables,14800000,18600000,23700000,64700000,62900000,56800000,70100000,75500000,60900000,65400000,118800000,135100000,129000000,158600000,151100000,193700000,225400000,129100000,187300000,140800000,108400000,111800000,85500000,114900000,- -,- -,- -
35,Inventory,- -,- -,- -,1200000,800000,2600000,3700000,9300000,8600000,11900000,25900000,33500000,33600000,45200000,51300000,66500000,56700000,34000000,34300000,37200000,43000000,36200000,38000000,26700000,- -,- -,- -
36,Other Current Assets,500000,1200000,900000,900000,1400000,1700000,1400000,2100000,2100000,4900000,13200000,2100000,1400000,2800000,16900000,16700000,10400000,10200000,14400000,9500000,20000000,18500000,24700000,18600000,- -,- -,366744
37,Total Current Assets,17100000,49700000,53400000,83000000,85400000,62400000,87700000,92700000,81000000,85200000,159400000,170700000,164000000,206600000,219300000,276900000,292500000,235400000,237000000,188200000,187000000,176100000,187700000,174700000,- -,- -,1002286
