,https://roic.ai/company/NWPP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,22050000,25347000,30360000,34772000,37264000,40205000,37687000,45789000,30864000,28829000,29004000,29017000,32616000,29510000,31215000,31461000,37191000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37191000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10276000,12141000,14294000,16969000,16652000,15007000,19403000,21807000,19190000,16396000,14814000,15999000,16684000,17622000,17015000,16259000,- -
7,Selling and Marketing Exp.,352000,381000,437000,477000,433000,412000,445000,472000,411000,463000,407000,449000,351000,437000,315000,216000,- -
8,"Selling, General and Administrative Exp.",10628000,12522000,14731000,17446000,17085000,15419000,19848000,22279000,19601000,16859000,15221000,16448000,17035000,18059000,17330000,16475000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6976000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6976000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,30423000,41125000,51267000,52154000,50303000,48083000,41670000,46539000,29948000,26515000,25523000,24208000,25852000,28317000,30799000,29895000,29700000
13,Interest Expense (Gain),11279000,19393000,25738000,23095000,18563000,13898000,9606000,6460000,4743000,4056000,3054000,2620000,3213000,4265000,5979000,4893000,2701000
14,Depreciation and Amortization,1922000,2300000,2598000,3196000,2951000,2846000,2663000,2570000,2383000,2224000,2092000,2398000,2547000,2626000,2311000,2189000,2097000
15,EBITDA,17411000,25958000,31182000,32944000,16090000,10346000,2575000,5111000,8539000,6515000,7827000,5967000,8998000,7959000,10871000,11075000,13750000
16,EBITDA ratio,0.7896,1.0241,1.0271,0.9474,0.4318,0.2573,0.0683,0.1116,0.2767,0.2260,0.2699,0.2056,0.2759,0.2697,0.3483,0.3520,0.3697
17,Operating Income,4210000,4265000,2846000,6653000,-5424000,-6398000,- -,9001000,1413000,235000,2681000,949000,- -,- -,- -,- -,- -
18,Operating Income ratio,0.1909,0.1683,0.0937,0.1913,-0.1456,-0.1591,- -,0.1966,0.0458,0.0082,0.0924,0.0327,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-12920000,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,4210000,4265000,2846000,6653000,-5424000,-6398000,-9694000,-3919000,1413000,235000,2681000,949000,3238000,1068000,2581000,3993000,8952000
21,Income Before Tax Ratio,0.1909,0.1683,0.0937,0.1913,-0.1456,-0.1591,-0.2572,-0.0856,0.0458,0.0082,0.0924,0.0327,0.0993,0.0362,0.0827,0.1269,0.2407
