,https://roic.ai/company/SGBI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,429400,567007,571742,- -,23228,45212,137257,372015,207176,31526,17977,5563,14949,105487,133470,127469,48009,67653,77152,88001,28915,65585
2,COGS,-1289889,395282,364182,- -,16438,44051,118018,256805,45724,17139,7950,6601,3337,10692,793,532,293,693,62,- -,- -,- -
3,Gross Profit,1719289,171725,207560,- -,6790,1161,19239,115210,161452,14387,10027,-1038,11612,94795,132677,126937,47716,66960,77090,88001,28915,- -
4,Gross Profit Ratio,4.0039,0.3029,0.3630,- -,0.2923,0.0257,0.1402,0.3097,0.7793,0.4564,0.5578,-0.1866,0.7768,0.8986,0.9941,0.9958,0.9939,0.9898,0.9992,1.0000,1.0000,- -
5,Research and Development Exp.,183878,946959,1287193,846657,886962,426831,111608,155886,213614,195581,111567,313671,104413,65010,543071,204987,37780,16530,23003,27226,8311,8266
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262132,398410,200789,207641
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262132,398410,200789,207641
9,Other Expenses,4622775,3168337,3884105,- -,-903178,547560,646825,687424,667908,601365,940370,1429954,3617843,1273733,906882,674285,370840,367229,- -,- -,1209,816
10,Operating Expenses,4806653,4115296,5171298,- -,-16216,974391,758433,843310,881522,796946,1051937,1743625,3722256,1338743,1449953,879272,408620,383759,285135,425636,210309,216723
11,COGS and Expenses,3516764,4510578,5535480,2351953,222,1018442,876451,1100115,927246,814085,1059887,1750226,3725593,1349435,1450746,879804,408913,384452,285197,425636,210309,216723
12,Interest Income ,- -,- -,- -,- -,- -,704,96,90,3500,11699,- -,- -,- -,25419,49,36,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,3498,12087,23676,137591,1545901,- -,- -,225,4573,8683,6109,69835,9211,8307,11686,14098,17987
14,Depreciation and Amortization,1723817,591022,855750,309024,86621,66894,36876,21540,3961,3311,1929,1227,692,865,468,- -,- -,- -,- -,- -,-10696,-18284
15,EBITDA,-1026062,-3036839,-3941758,-2154343,-1487896,-634220,-682523,-676346,-712609,-766720,-970958,-1526191,-3490762,-2090056,-1419613,-698594,-352436,-299769,-193503,-311890,-189339,-199187
16,EBITDA ratio,-2.3895,-5.3559,-6.8943,-Infinity,-64.0561,-14.0277,-4.9726,-1.8181,-3.4396,-24.3202,-54.0111,-274.3468,-233.5114,-19.8134,-10.6362,-5.4805,-7.3410,-4.4310,-2.5081,-3.5442,-6.5481,-3.0371
17,Operating Income,-3087364,-3943571,-4963738,-2351953,23006,-973230,-739194,-728100,-720070,-782559,-1041910,-1744663,-3710644,-1243948,-1317276,-752335,-360904,-316799,-208045,-337635,-181394,-151138
18,Operating Income ratio,-7.1899,-6.9551,-8.6818,-Infinity,0.9904,-21.5259,-5.3855,-1.9572,-3.4756,-24.8227,-57.9579,-313.6191,-248.2202,-11.7924,-9.8695,-5.9021,-7.5174,-4.6827,-2.6966,-3.8367,-6.2734,-2.3045
19,Total Other Income Expenses (Gains),198624,38886,95290,111414,23006,271412,19699,6538,- -,829,715,140040,165774,-1019737,-254434,-6073,-85456,-12807,-7758,-4879,-17132,-52572
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-721562,- -,- -,-1041195,-1604623,-3544870,-2263685,-1571710,-758408,-446360,-329606,-215803,-342514,-198526,-203710
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-1.9396,- -,- -,-57.9182,-288.4456,-237.1309,-21.4594,-11.7758,-5.9497,-9.2974,-4.8720,-2.7971,-3.8922,-6.8658,-3.1060
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2749879,-3627861,-4797508,-2310623,-1574517,-704612,-731486,-721562,-854161,-2315932,-972887,-1527418,-3491679,-2095494,-1428764,-704703,-422271,-308980,-201810,-323576,-192741,-198890
24,Net Income ratio,-6.4040,-6.3983,-8.3910,-Infinity,-67.7853,-15.5846,-5.3293,-1.9396,-4.1229,-73.4610,-54.1184,-274.5673,-233.5727,-19.8650,-10.7048,-5.5284,-8.7957,-4.5671,-2.6157,-3.6770,-6.6658,-3.0326
25,EPS,-0.08,-0.09,-0.12,-0.06,-0.04,-0.02,-0.02,-0.01,-0.02,-0.04,-0.01,-0.02,-0.03,-0.02,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
26,EPS Diluted,-0.08,-0.09,-0.12,-0.06,-0.04,-0.02,-0.02,-0.01,-0.02,-0.04,-0.01,-0.02,-0.03,-0.02,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,34476465,40514363,40622703,40655363,40655363,44312968,48751875,50000000,50000000,59280627,75889831,93923235,116691252,128549355,137031429,145643889,154807880,178461623,188204782,197127973,201746752,204191664
28,Weighted Average Shares Outstanding Diluted,34476465,40514363,40622703,40655363,40655363,44312968,48751875,50000000,50000000,59280627,75889831,93923235,116691252,128549355,137031429,145643889,154807880,178461623,188204782,197127973,201746752,204191664
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104280/000109309408000052/0001093094-08-000052-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104280/000155116313000116/0001551163-13-000116-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116314000276/0001551163-14-000276-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116315000227/0001551163-15-000227-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116316000496/0001551163-16-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116317000171/0001551163-17-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116318000148/0001551163-18-000148-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000144586619001219/0001445866-19-001219-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116320000082/0001551163-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000109690621002362/0001096906-21-002362-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,956531,310959,9497,24548,18497,229717,12353,24238,122619,238639,47764,98148,17672,70074,56990,20943,27453,15282,29768
32,Short-Term Investments,- -,- -,- -,799068,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,1755599,310959,9497,24548,18497,229717,12353,24238,122619,238639,47764,98148,17672,70074,56990,20943,27453,15282,29768
34,Net Receivables,- -,- -,- -,182820,132586,4300,16601,36387,538080,5150,155,459,872195,431719,98121,17102,10053,10121,58312,42048,20053,24878
35,Inventory,- -,- -,- -,- -,- -,7063,14720,88353,127109,29818,16186,2836,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,91416,42937,17421,15060,16890,28627,3717,11550,19263,15621,43046,64320,37325,30292,26662,22774,9470,13361,12020
37,Total Current Assets,- -,- -,- -,2029835,486482,38281,70929,160127,923533,51038,52129,145177,1126455,522529,260589,72099,110419,93773,102029,78971,48696,66666
38,PP&E,- -,- -,- -,160117,100509,33608,11708,4530,7021,3184,1069,2197,1270,449,- -,- -,- -,- -,- -,- -,76632,67456
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,19804,1020,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,19804,1020,2490,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,15000,90814,41269,100089,261374,45329,40175,43541,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,179921,116529,126912,52977,104619,268395,48513,41244,45738,1270,449,- -,50000,- -,- -,- -,- -,76632,67456
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2209756,603011,165193,123906,264746,1191928,99551,93373,190915,1127725,522978,260589,122099,110419,93773,102029,78971,125328,134122
48,Accounts Payable,- -,- -,- -,125816,85723,- -,- -,- -,- -,117375,33459,231822,14041,171728,189342,142787,200446,188855,189739,164145,119246,127311
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197509,149094,153227,244346,478357,629880,764911
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,165031,507610,675564,2270219,283181,242174,- -,154310,54908,63971,121637,8445,12214,19088,28458,42359,62485
53,Total Current Liabilities,- -,- -,- -,125816,85723,165031,507610,675564,2270219,400556,275633,231822,168351,226636,253313,461933,357985,354296,453173,670960,791485,954707
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63721,54740
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63721,54740
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75033,67143
61,Total Liabilities,- -,- -,- -,125816,85723,165031,507610,675564,2270219,400556,275633,231822,168351,226636,253313,461933,357985,354296,453173,670960,855206,1009447
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,18345491,18345491,18746100,18969358,18969358,18969358,- -,- -,- -,- -,30315527,- -,- -,- -,- -,32864356,32967499,33027676,33088176
64,Retained Earnings,- -,- -,- -,-18754257,-20328774,-21033386,-21764872,-22486434,-23340595,-25939701,-26912588,-28440006,-31931685,-34027179,-35455943,-36160646,-36669318,-36978298,-37180108,-37503684,-37696425,-37895315
65,Other Comprehensive Income/Loss,- -,- -,- -,-810409,-878012,- -,- -,- -,-1226056,-1232347,-1234462,-1235689,-1236616,-1237437,-1237886,-1237886,-1237886,-1237886,-1237886,- -,91907,89670
66,Other Total Stockholders Equity,- -,- -,- -,3303115,3378583,2287448,2411810,3106258,4519002,26871043,27964790,29634788,34326379,5612326,37210946,37622244,38247273,38563922,5824748,4585388,4493941,4493941
67,Total Stockholders Equity,- -,- -,- -,2083940,517288,162,-383704,-410818,-1078291,-301005,-113952,104606,1158078,663237,517117,223712,340069,347738,271110,49203,-82901,-223528
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2209756,603011,165193,123906,264746,1191928,99551,161681,336428,1326429,889873,770430,685645,698054,702034,724283,720163,772305,785919
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68308,-145513,-198704,-366895,-509841,-563546,-587635,-608261,-622254,-641192,-646977,-651797
70,Total Liabilities & Equity,- -,- -,- -,2209756,603011,165193,123906,264746,1191928,99551,93373,190915,1127725,522978,260589,122099,110419,93773,102029,78971,125328,134122
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104280/000109309408000052/0001093094-08-000052-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104280/000155116313000116/0001551163-13-000116-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116314000276/0001551163-14-000276-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116315000227/0001551163-15-000227-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116316000496/0001551163-16-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116317000171/0001551163-17-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116318000148/0001551163-18-000148-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000144586619001219/0001445866-19-001219-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116320000082/0001551163-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000109690621002362/0001096906-21-002362-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2749879,-3627861,-4797508,-2310623,-1574517,-704612,-731486,-721562,-854161,-2315932,-972887,-1527418,-3491679,-2095494,-1428764,-704703,-422271,-308980,-201810,-323576,-192741,-198890
74,Depreciation and Amortization,1723817,591022,855750,309024,86621,66894,36876,21540,3961,3311,1929,1227,692,865,468,- -,- -,- -,- -,- -,-10696,-18284
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265565,302359,52422,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-13066,- -,- -,1904019,-1503260,-527509,-309931,-78756,-831249,997168,126014,136859,1044749,-662211,-288617,-397110,142268,-12957,-90621,-240845,-150800,-145252
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-12301,-19786,31366,-6335,-212,-262,427,-1003,-2719,1682,-6989,48,-48628,18411,19432,-6773
79,Inventory,32346,9669,18309,16362,- -,-7063,-7657,-73633,-38756,-19043,11048,15278,2637,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33459,-33320,6902,- -,- -,- -,- -,- -,5619,-13968,8371,23917
81,Other Working Capital,- -,- -,- -,1904019,400759,-126750,-436681,-515437,-1346686,-349518,-223504,-86645,958104,295893,7276,-389834,-247566,-260523,-351144,-591989,-742789,-888041
82,Other Non-Cash Items,-80557,1024489,1118585,-1897821,1526880,750634,721605,22853,540527,528960,161816,434126,1723308,1649669,654320,447100,-114754,-1166,38670,247503,185851,216579
83,Cash Provided by Operating Activities,-1119685,-2012350,-2823173,-1995401,-1464276,-414593,-282936,-755925,-1140922,-786493,-683128,-955206,-722930,-841606,-760234,-602291,-394757,-323103,-253761,-316918,-168386,-145847
84,CAPEX,-222641,-234626,-198905,-48163,-7995,-1470,-7530,-20328,-6452,- -,- -,-2113,- -,- -,- -,- -,- -,- -,- -,- -,-3098,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-241460,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-4394972,-4846151,-1684600,-26997,- -,- -,- -,- -,- -,- -,-8508,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1369177,996179,5877557,3678031,818400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6941,- -,- -,- -,- -,- -
88,Other Investing Activites,81490,- -,- -,20000,-8098,1631,- -,-6218,- -,- -,- -,- -,-691737,-880463,6826,30078,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,1228026,-3633419,832501,1965268,775310,1631,-7530,-20328,-6452,- -,- -,-10621,-691737,-880463,-234634,30078,6941,- -,- -,- -,-3098,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-667801,- -,- -,- -,- -,- -,-18865,- -,-26300,- -,- -,-636582,- -,- -
91,Common Stock Issued,8187870,321367,- -,- -,- -,350789,87500,- -,- -,72522,315849,909951,1555046,1366442,942925,319503,432956,307590,154489,84491,15415,60500
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-118166,- -,- -,- -,- -,- -,- -,-18224,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,- -,- -,- -,- -,24132,147990,75754,2879506,512141,13457,- -,18865,- -,- -,141464,22210,- -,90113,878606,143766,101515
95,Cash Used/Provided by Financing Activities,8287870,321367,- -,- -,- -,256755,235490,75754,2211705,584663,329306,909951,1555687,1366442,924060,460967,428866,307590,244602,326515,159181,162015
96,Effect of Forex Changes on Cash,-47746,-310272,468218,154534,43394,-145255,70027,694448,-853111,-15534,365707,154257,-25000,164310,121192,30770,11352,2428,-26888,-3087,132,-1682
97,Net Change In Cash,8348465,-5634674,-1522454,124401,-645572,-301462,15051,-6051,211220,-217364,11885,98381,116020,-190875,50384,-80476,52402,-13084,-36047,6510,-12171,14486
98,Cash at the End of Period,8653966,2354584,832130,956531,310959,9497,24548,18497,229717,12353,24238,122619,238639,47764,98148,17672,70074,56990,20943,27453,15282,29768
99,Cash at the Beginning of Period,305501,7989258,2354584,832130,956531,310959,9497,24548,18497,229717,12353,24238,122619,238639,47764,98148,17672,70074,56990,20943,27453,15282
100,Free Cash Flow,-1342326,-2246976,-3022078,-2043564,-1472271,-416063,-290466,-776253,-1147374,-786493,-683128,-957319,-722930,-841606,-760234,-602291,-394757,-323103,-253761,-316918,-171484,-145847
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104280/000109309408000052/0001093094-08-000052-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104280/000155116313000116/0001551163-13-000116-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116314000276/0001551163-14-000276-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116315000227/0001551163-15-000227-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000155116316000496/0001551163-16-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116317000171/0001551163-17-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116318000148/0001551163-18-000148-index.html,https://www.sec.gov/Archives/edgar/data/1104280/000144586619001219/0001445866-19-001219-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000155116320000082/0001551163-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1104280/000109690621002362/0001096906-21-002362-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
