,https://roic.ai/company/AQUA,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1060966000,1137196000,1247424000,1339541000,1444441000,1429456000,1464429000
2,COGS,768549000,804131000,847673000,934808000,1018479000,979653000,1007077000
3,Gross Profit,292417000,333065000,399751000,404733000,425962000,449803000,457352000
4,Gross Profit Ratio,0.2756,0.2929,0.3205,0.3021,0.2949,0.3147,0.3123
5,Research and Development Exp.,25909000,22897000,19990000,15877000,15300000,13198000,13445000
6,General and Administrative Exp.,147663000,144771000,169617000,193816000,217013000,192597000,206455000
7,Selling and Marketing Exp.,124429000,135208000,142441000,136009000,138936000,136167000,143110000
8,"Selling, General and Administrative Exp.",272092000,279979000,312058000,329825000,355949000,328764000,349565000
9,Other Expenses,-74000,-6966000,-1501000,-7815000,-4959000,-60607000,-4975000
10,Operating Expenses,297927000,295910000,330547000,337887000,366290000,281355000,358035000
11,COGS and Expenses,1066476000,1100041000,1178220000,1272695000,1384769000,1261008000,1365112000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),34060000,42518000,55377000,57580000,58556000,46682000,37575000
14,Depreciation and Amortization,58139000,69289000,77886000,85860000,98236000,107268000,113664000
15,EBITDA,54053000,105052000,142843000,150957000,156856000,274970000,212801000
16,EBITDA ratio,0.0509,0.0924,0.1145,0.1127,0.1086,0.1924,0.1453
17,Operating Income,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-32636000,-42518000,-55377000,-57580000,-58556000,-46682000,-37575000
20,Income Before Tax,-38146000,-5363000,13827000,9266000,1116000,121766000,61742000
21,Income Before Tax Ratio,-0.0360,-0.0047,0.0111,0.0069,0.0008,0.0852,0.0422
22,Income Tax expense (Gain),47905000,-18394000,7417000,1382000,9587000,7371000,10080000
23,Net Income,-86051000,11639000,2163000,6135000,-9523000,113649000,51482000
24,Net Income ratio,-0.0811,0.0102,0.0017,0.0046,-0.0066,0.0795,0.0352
25,EPS,-0.82,-0.03,0.02,0.05,-0.08,0.97,0.43
26,EPS Diluted,-0.82,-0.03,0.02,0.05,-0.08,0.94,0.42
27,Weighted Average Shares Outstanding,104821000,112587000,113282257,113944000,119037500,116700000,119600000
28,Weighted Average Shares Outstanding Diluted,104821000,114494000,113282257,120165000,119037500,121100000,122900000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604643/000104746917007435/0001047469-17-007435-index.htm,https://www.sec.gov/Archives/edgar/data/1604643/000160464318000015/0001604643-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1604643/000160464319000032/0001604643-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1604643/000160464320000035/0001604643-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1604643/000160464321000094/0001604643-21-000094-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,169027000,50362000,59254000,82365000,109881000,193001000,146244000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,169027000,50362000,59254000,82365000,109881000,193001000,146244000
34,Net Receivables,204151000,239327000,312893000,324353000,331052000,341617000,351840000
35,Inventory,92611000,112392000,120047000,134988000,137164000,142379000,158503000
36,Other Current Assets,15684000,16255000,20046000,23854000,59196000,18715000,21871000
37,Total Current Assets,481473000,418336000,512240000,565560000,637293000,695712000,678458000
38,PP&E,235828000,256765000,280043000,320023000,333584000,410426000,420509000
39,Goodwill,113583000,267643000,321913000,411346000,392890000,397205000,407376000
40,Intangible Assets,180137000,323478000,333746000,340408000,314767000,309967000,290075000
41,Intangible Assets,293720000,591121000,655659000,751754000,707657000,707172000,697451000
42,Investments,6873000,- -,- -,- -,- -,- -,- -
43,Tax Assets,7000,- -,2968000,2438000,2790000,3639000,8285000
44,Other Non-Current Assets,21970000,30009000,22399000,23842000,56524000,27509000,64188000
45,Total Non-Current Assets,558398000,877895000,961069000,1098057000,1100555000,1148746000,1190433000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1039871000,1296231000,1473309000,1663617000,1737848000,1844458000,1868891000
48,Accounts Payable,78305000,102379000,114932000,141140000,144247000,153890000,164535000
49,Short-Term Debt,11651000,36255000,21102000,23791000,31277000,38468000,38184000
50,Tax Payable,15032000,12760000,14675000,19354000,9751000,10879000,8866000
51,Deferred Revenue,35616000,22175000,27124000,17652000,39051000,26259000,55883000
