,https://roic.ai/company/ACAD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4312000,3714000,6275600,7378400,4604300,10956300,8133000,7555000,1590000,6399000,42135000,2067000,4907000,1145000,120000,61000,17331000,124901000,223807000,339076000,441755000,484145000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4406000,13060000,18330000,19598000,20550000,19141000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,1590000,6399000,42135000,2067000,- -,- -,- -,- -,12925000,111841000,205477000,319478000,421205000,465004000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.7458,0.8954,0.9181,0.9422,0.9535,0.9605
5,Research and Development Exp.,9728000,13090000,14920700,16935000,23454000,30848000,49398000,57942000,56750000,41585000,20579000,17309000,18794000,26722000,60602000,73869000,99284000,149189000,187163000,240385000,319130000,239415000
6,General and Administrative Exp.,2999000,3756000,3980800,4183400,7245600,15914600,11349000,12267000,11818000,10282000,6462000,7610000,6999000,12720000,32748000,90804000,186456000,255062000,265758000,325638000,388661000,396028000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2999000,3756000,3980800,4183400,7245600,15914600,11349000,12267000,11818000,10282000,6462000,7610000,6999000,12720000,32748000,90804000,186456000,255062000,265758000,325638000,388661000,396028000
9,Other Expenses,2854000,2147000,- -,- -,- -,- -,-3560000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,15581000,18993000,18901500,21118400,30699600,46762600,57187000,70209000,68568000,51867000,27041000,24919000,25793000,39442000,93350000,164673000,285740000,404251000,452921000,566023000,707791000,635443000
11,COGS and Expenses,15581000,18993000,18901500,21118400,30699600,46762600,57187000,70209000,68568000,51867000,27041000,24919000,25793000,39442000,93350000,164673000,290146000,417311000,471251000,585621000,728341000,654584000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,2915000,409000,- -,- -,37000,349000,755000,499000,2763000,4126000,5348000,11165000,6610000,591000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,181000,86000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11165000,6610000,591000
14,Depreciation and Amortization,- -,- -,1402800,1343600,1305600,1025600,-146000,768000,1043000,1111000,607000,285000,109000,79000,206000,647000,1828000,2713000,3005000,2766000,2932000,3344000
15,EBITDA,-10194000,-14406000,-11465400,-12749000,-24611500,-33109500,-45194000,-55622000,-63020000,-43948000,15746000,-22480000,-20740000,-37869000,-92269000,-163466000,-268224000,-285571000,-240931000,-220452000,-271431000,-163584000
16,EBITDA ratio,-2.3641,-3.8788,-1.8270,-1.7279,-5.3453,-3.0220,-5.5569,-7.3623,-39.6352,-6.8679,0.3737,-10.8757,-4.2266,-33.0734,-768.9083,-2679.7705,-15.4765,-2.2864,-1.0765,-0.6502,-0.6144,-0.3379
17,Operating Income,-11269000,-15279000,-12625900,-13740000,-26095300,-35806300,-49054000,-62654000,-66978000,-45468000,15094000,-22852000,-20886000,-38297000,-93230000,-164612000,-272815000,-292410000,-247444000,-246545000,-286586000,-170439000
18,Operating Income ratio,-2.6134,-4.1139,-2.0119,-1.8622,-5.6676,-3.2681,-6.0315,-8.2931,-42.1245,-7.1055,0.3582,-11.0556,-4.2564,-33.4472,-776.9167,-2698.5574,-15.7414,-2.3411,-1.1056,-0.7271,-0.6487,-0.3520
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,3560000,- -,- -,- -,- -,- -,37000,349000,755000,499000,2763000,4126000,3508000,12162000,5613000,2920000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20849000,-37948000,-92475000,-164113000,-270052000,-288284000,-243936000,-234383000,-280973000,-167519000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4.2488,-33.1424,-770.6250,-2690.3770,-15.5820,-2.3081,-1.0899,-0.6912,-0.6360,-0.3460
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000,1341000,1119000,1256000,876000,611000,351000
23,Net Income,-10194000,-14406000,-12868200,-14092600,-25917100,-34135100,-45048000,-56390000,-64244000,-45145000,15139000,-22765000,-20849000,-37948000,-92475000,-164443000,-271393000,-289403000,-245192000,-235259000,-281584000,-167870000
24,Net Income ratio,-2.3641,-3.8788,-2.0505,-1.9100,-5.6289,-3.1156,-5.5389,-7.4639,-40.4050,-7.0550,0.3593,-11.0135,-4.2488,-33.1424,-770.6250,-2695.7869,-15.6594,-2.3171,-1.0956,-0.6938,-0.6374,-0.3467
25,EPS,-1.91,-2.99,-2.24,-1.24,-1.67,-1.55,-1.61,-1.60,-1.73,-1.20,0.39,-0.44,-0.38,-0.44,-0.95,-1.63,-2.34,-2.36,-1.94,-1.60,-1.79,-1.07
26,EPS Diluted,-1.91,-2.99,-2.24,-1.24,-1.67,-1.55,-1.61,-1.60,-1.73,-1.20,0.39,-0.44,-0.38,-0.44,-0.95,-1.63,-2.34,-2.36,-1.94,-1.60,-1.79,-1.07
27,Weighted Average Shares Outstanding,1070000,1208000,1452005,1459214,10353351,22014443,27923000,35211000,37113000,37476000,38593000,52183000,55116000,85715000,97248000,100630000,115858000,122600000,126583000,147199000,157331000,157331000
28,Weighted Average Shares Outstanding Diluted,1070000,1208000,1452005,11365000,10353351,22014443,27923000,35211000,37113000,37476000,38720000,52183000,55116000,85715000,97248000,100630000,115858000,122600000,126583000,147199000,157331000,157331000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070494/000119312505055069/0001193125-05-055069-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312506055097/0001193125-06-055097-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312507050871/0001193125-07-050871-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312508047838/0001193125-08-047838-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312509049516/0001193125-09-049516-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312510051371/0001193125-10-051371-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312511062277/0001193125-11-062277-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312512098990/0001193125-12-098990-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312513103111/0001193125-13-103111-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312514073040/0001193125-14-073040-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312515066078/0001193125-15-066078-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000119312516483533/0001193125-16-483533-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459017002866/0001564590-17-002866-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459018003526/0001564590-18-003526-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459019004596/0001564590-19-004596-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459020006889/0001564590-20-006889-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000156459021008372/0001564590-21-008372-index.htm,https://www.sec.gov/Archives/edgar/data/1070494/000095017022002392/0000950170-22-002392-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4453600,6308100,8301700,9796100,15480000,16987000,21171000,18122000,6849000,6889000,57899000,11707000,61854000,102138000,163620000,69418000,134758000,189680000,326028000,147435000
32,Short-Term Investments,- -,- -,7985600,20905900,27625700,33204900,67775000,109871000,38912000,28938000,30238000,24159000,50068000,174083000,260632000,112994000,365416000,271924000,338762000,507749000,305930000,373271000
33,Cash and Short-Term Investments,- -,- -,12439200,27214000,35927400,43001000,83255000,126858000,60083000,47060000,37087000,31048000,107967000,185790000,322486000,215132000,529036000,341342000,473520000,697429000,631958000,520706000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,964000,1638000,7140000,18430000,27789000,37874000,50282000,65344000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4175000,5248000,4070000,6341000,9682000,7881000
36,Other Current Assets,- -,- -,811500,1058200,1890700,17123700,2528000,4395000,2299000,1413000,762000,901000,581000,2570000,1168000,2219000,7546000,8457000,20727000,18606000,25694000,23892000
37,Total Current Assets,- -,- -,13250700,28272200,37818100,60124700,85783000,131253000,62382000,48473000,37849000,31949000,108548000,188360000,324618000,218989000,547897000,373477000,526106000,760250000,717616000,617823000
38,PP&E,- -,- -,2419300,3117000,2546900,2283100,3505000,3048000,2103000,1062000,426000,151000,42000,579000,553000,2203000,3081000,2662000,3309000,12704000,56444000,66315000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7015000,5538000,4062000,2585000,1108000,- -
