,https://roic.ai/company/ULCC,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1604000000,1714000000,- -,2156000000,2508000000,1250000000,2060000000
2,COGS,1131000000,1190000000,- -,1783000000,2005000000,1640000000,2262000000
3,Gross Profit,473000000,524000000,- -,373000000,503000000,-390000000,-202000000
4,Gross Profit Ratio,0.2949,0.3057,- -,0.1730,0.2006,-0.3120,-0.0981
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,79000000,72000000,- -,110000000,130000000,78000000,109000000
8,"Selling, General and Administrative Exp.",79000000,72000000,- -,110000000,130000000,78000000,109000000
9,Other Expenses,118000000,135000000,- -,171000000,64000000,-103000000,-194000000
10,Operating Expenses,197000000,207000000,- -,281000000,194000000,-25000000,-85000000
11,COGS and Expenses,1328000000,1397000000,- -,2064000000,2199000000,1615000000,2177000000
12,Interest Income ,- -,2000000,- -,17000000,16000000,5000000,2000000
13,Interest Expense (Gain),5000000,3000000,- -,4000000,- -,12000000,29000000
14,Depreciation and Amortization,54000000,75000000,- -,78000000,46000000,33000000,38000000
15,EBITDA,287000000,394000000,- -,187000000,371000000,-327000000,-77000000
16,EBITDA ratio,0.1789,0.2299,- -,0.0867,0.1479,-0.2616,-0.0374
17,Operating Income,233000000,317000000,- -,92000000,309000000,-365000000,-117000000
18,Operating Income ratio,0.1453,0.1849,- -,0.0427,0.1232,-0.2920,-0.0568
19,Total Other Income Expenses (Gains),-5000000,-1000000,- -,13000000,16000000,-7000000,-27000000
20,Income Before Tax,228000000,316000000,- -,105000000,325000000,-372000000,-144000000
21,Income Before Tax Ratio,0.1421,0.1844,- -,0.0487,0.1296,-0.2976,-0.0699
22,Income Tax expense (Gain),82000000,116000000,- -,25000000,74000000,-147000000,-42000000
23,Net Income,146000000,200000000,- -,80000000,251000000,-225000000,-102000000
24,Net Income ratio,0.0910,0.1167,- -,0.0371,0.1001,-0.1800,-0.0495
25,EPS,0.68,0.93,- -,0.37,1.17,-1.05,-0.48
26,EPS Diluted,0.68,0.93,- -,0.37,1.17,-1.05,-0.48
27,Weighted Average Shares Outstanding,214260410,214260410,- -,214067484,214260410,214260410,214260410
28,Weighted Average Shares Outstanding Diluted,214260410,214260410,- -,215924392,214260410,214260410,214260410
29,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1670076/000167007622000016/0001670076-22-000016-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,419000000,612000000,- -,- -,768000000,378000000,918000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,419000000,612000000,- -,- -,768000000,378000000,918000000
34,Net Receivables,76000000,47000000,- -,- -,101000000,215000000,50000000
35,Inventory,10000000,19000000,- -,- -,20000000,18000000,- -
36,Other Current Assets,30000000,44000000,- -,- -,55000000,39000000,69000000
37,Total Current Assets,535000000,722000000,- -,- -,944000000,650000000,1037000000
38,PP&E,265000000,276000000,- -,- -,2442000000,2426000000,2612000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,37000000,35000000,- -,- -,30000000,29000000,29000000
41,Intangible Assets,37000000,35000000,- -,- -,30000000,29000000,29000000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,291000000,308000000,- -,- -,448000000,449000000,557000000
45,Total Non-Current Assets,593000000,619000000,- -,- -,2920000000,2904000000,3198000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1128000000,1341000000,- -,- -,3864000000,3554000000,4235000000
48,Accounts Payable,25000000,46000000,- -,- -,71000000,71000000,86000000
