,https://roic.ai/company/SWCH,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,265870000,318352000,378275000,405860000,462310000,511547000,592045000
2,COGS,141060000,168844000,198230000,224413000,242679000,279475000,339637000
3,Gross Profit,124810000,149508000,180045000,181447000,219631000,232072000,252408000
4,Gross Profit Ratio,0.4694,0.4696,0.4760,0.4471,0.4751,0.4537,0.4263
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,27018000,160569000,126768000,142704000,136659000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,27018000,160569000,126768000,142704000,136659000,161380000
9,Other Expenses,45251000,71420000,649000,- -,- -,- -,- -
10,Operating Expenses,45251000,98438000,161218000,126768000,142704000,136659000,161380000
11,COGS and Expenses,186311000,267282000,359448000,351181000,385383000,416134000,501017000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7682000,10836000,25079000,26370000,29236000,29774000,47642000
14,Depreciation and Amortization,55355000,66591000,89124000,109133000,121789000,144054000,- -
15,EBITDA,136509000,108795000,98014000,141498000,162655000,193897000,55712000
16,EBITDA ratio,0.5134,0.3417,0.2591,0.3486,0.3518,0.3790,0.0941
17,Operating Income,79559000,51070000,18827000,54679000,76927000,95413000,56028000
18,Operating Income ratio,0.2992,0.1604,0.0498,0.1347,0.1664,0.1865,0.0946
19,Total Other Income Expenses (Gains),-6087000,-19702000,-28388000,-23418000,-42672000,-52508000,-38619000
20,Income Before Tax,73472000,31368000,-9561000,31261000,34255000,42905000,17409000
21,Income Before Tax Ratio,0.2763,0.0985,-0.0253,0.0770,0.0741,0.0839,0.0294
22,Income Tax expense (Gain),- -,- -,-981000,1943000,2713000,4530000,2658000
23,Net Income,73472000,31368000,-15208000,4052000,8917000,15539000,5412000
24,Net Income ratio,0.2763,0.0985,-0.0402,0.0100,0.0193,0.0304,0.0091
25,EPS,2.35,0.05,-1.88,0.09,0.12,0.15,0.05
26,EPS Diluted,2.35,0.05,-1.88,0.09,0.11,0.14,0.02
27,Weighted Average Shares Outstanding,31250000,31250000,8073908,45682000,76501000,105822000,105822000
28,Weighted Average Shares Outstanding Diluted,31250000,31250000,8073908,45753000,78077000,243501000,243501000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1710583/000171058318000034/0001710583-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058319000010/0001710583-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058320000007/0001710583-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058321000013/0001710583-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1710583/000171058322000009/0001710583-22-000009-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,14192000,22713000,264666000,81560000,24721000,90719000,48325000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14192000,22713000,264666000,81560000,24721000,90719000,48325000
34,Net Receivables,8478000,9131000,16386000,17654000,23365000,21723000,18368000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,6038000,5973000,7138000,9113000,10954000,10406000,16779000
37,Total Current Assets,28708000,37817000,288190000,108327000,59040000,122848000,83472000
38,PP&E,598234000,874259000,1133572000,1302770000,1551117000,1737415000,2237059000
39,Goodwill,- -,- -,- -,- -,- -,- -,106350000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,125758000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,232108000
42,Investments,10393000,169000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,28550000,114372000,203201000,295699000
