,https://roic.ai/company/PSX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,112859000000,146849000000,197771000000,179460000000,171596000000,161212000000,98975000000,84279000000,102354000000,111461000000,107293000000,64129000000,111476000000
2,COGS,97253000000,129281000000,176909000000,155396000000,149192000000,136743000000,74477000000,63636000000,80727000000,99286000000,96870000000,59102000000,103707000000
3,Gross Profit,15606000000,17568000000,20862000000,24064000000,22404000000,24469000000,24498000000,20643000000,21627000000,12175000000,10423000000,5027000000,7769000000
4,Gross Profit Ratio,0.1383,0.1196,0.1055,0.1341,0.1306,0.1518,0.2475,0.2449,0.2113,0.1092,0.0971,0.0784,0.0697
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,1409000000,1722000000,1478000000,1663000000,1670000000,1638000000,1695000000,1677000000,1681000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,1409000000,1722000000,1478000000,1663000000,1670000000,1638000000,1695000000,1677000000,1681000000,- -,1744000000
9,Other Expenses,15837000000,16271000000,15217000000,17656000000,18260000000,19376000000,18280000000,17907000000,18094000000,5289000000,5407000000,6519000000,5557000000
10,Operating Expenses,15837000000,16271000000,16626000000,19378000000,19738000000,21039000000,19950000000,19545000000,19789000000,6966000000,7088000000,6519000000,7301000000
11,COGS and Expenses,113090000000,145552000000,193535000000,174774000000,168930000000,157782000000,94427000000,83181000000,100516000000,106252000000,103958000000,65621000000,111008000000
12,Interest Income ,- -,42000000,- -,18000000,20000000,21000000,27000000,18000000,31000000,45000000,43000000,14000000,11000000
13,Interest Expense (Gain),1000000,1000000,17000000,246000000,275000000,267000000,310000000,338000000,438000000,504000000,458000000,521000000,605000000
14,Depreciation and Amortization,879000000,880000000,908000000,913000000,947000000,995000000,1078000000,1168000000,1318000000,1356000000,1341000000,1395000000,1605000000
15,EBITDA,1724000000,2195000000,7544000000,7783000000,6792000000,7678000000,7379000000,3608000000,5169000000,9027000000,5676000000,-3309000000,3671000000
16,EBITDA ratio,0.0153,0.0149,0.0381,0.0434,0.0396,0.0476,0.0746,0.0428,0.0505,0.0810,0.0529,-0.0516,0.0329
17,Operating Income,-231000000,1297000000,4236000000,4686000000,2666000000,3430000000,4548000000,1098000000,1838000000,5209000000,3335000000,-1492000000,468000000
18,Operating Income ratio,-0.0020,0.0088,0.0214,0.0261,0.0155,0.0213,0.0460,0.0130,0.0180,0.0467,0.0311,-0.0233,0.0042
19,Total Other Income Expenses (Gains),1078000000,22000000,2388000000,1945000000,2860000000,2315000000,1496000000,1093000000,1717000000,2236000000,843000000,-3472000000,1272000000
20,Income Before Tax,847000000,1319000000,6624000000,6631000000,5526000000,5745000000,6044000000,2191000000,3555000000,7445000000,4178000000,-4964000000,1740000000
21,Income Before Tax Ratio,0.0075,0.0090,0.0335,0.0369,0.0322,0.0356,0.0611,0.0260,0.0347,0.0668,0.0389,-0.0774,0.0156
22,Income Tax expense (Gain),368000000,579000000,1844000000,2500000000,1844000000,1654000000,1764000000,547000000,-1693000000,1572000000,801000000,-1250000000,146000000
23,Net Income,476000000,735000000,4775000000,4124000000,3726000000,4762000000,4227000000,1555000000,5106000000,5595000000,3076000000,-3975000000,1315000000
24,Net Income ratio,0.0042,0.0050,0.0241,0.0230,0.0217,0.0295,0.0427,0.0185,0.0499,0.0502,0.0287,-0.0620,0.0118
25,EPS,0.74,1.15,7.46,6.55,6.07,8.41,7.78,2.94,9.90,11.87,6.80,-9.06,2.97
26,EPS Diluted,0.74,1.15,7.46,6.48,6.02,8.40,7.73,2.92,9.85,11.80,6.77,-9.06,2.97
27,Weighted Average Shares Outstanding,640000000,640000000,640000000,628835000,612918000,565902000,542355000,527531000,515090000,470708000,451364000,439530000,440028000
28,Weighted Average Shares Outstanding Diluted,640000000,640000000,640000000,636764000,618989000,571504000,546977000,530066000,518508000,474047000,453888000,439530000,440364000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534701/000153470113000006/0001534701-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470114000042/psx-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470115000038/psx-20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470116000119/0001534701-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470117000051/0001534701-17-000051-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470118000065/0001534701-18-000065-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470119000063/0001534701-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470120000070/0001534701-20-000070-index.html,https://www.sec.gov/Archives/edgar/data/1534701/000153470121000074/0001534701-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1534701/000153470122000078/0001534701-22-000078-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,3474000000,5400000000,5207000000,3074000000,2711000000,3119000000,3019000000,1614000000,2514000000,3147000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,3474000000,5400000000,5207000000,3074000000,2711000000,3119000000,3019000000,1614000000,2514000000,3147000000
34,Net Receivables,6842000000,10213000000,10025000000,10403000000,9632000000,7255000000,5173000000,6397000000,7506000000,6173000000,8510000000,6522000000,7470000000
35,Inventory,3842000000,4113000000,3466000000,3430000000,3354000000,3397000000,3477000000,3150000000,3395000000,3543000000,3776000000,3893000000,3394000000
36,Other Current Assets,684000000,378000000,457000000,655000000,851000000,837000000,532000000,422000000,370000000,474000000,495000000,347000000,686000000
37,Total Current Assets,11368000000,14704000000,13948000000,17962000000,19237000000,16696000000,12256000000,12680000000,14390000000,13209000000,14395000000,13276000000,14697000000
