,https://roic.ai/company/STTK,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,22442000,9887000,9934000,- -
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,9934000,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -
5,Research and Development Exp.,24807000,29218000,37483000,56563000
6,General and Administrative Exp.,3783000,5736000,9382000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3783000,5736000,9382000,18723000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,28590000,34954000,46865000,75286000
11,COGS and Expenses,28590000,34954000,46865000,- -
12,Interest Income ,966000,1184000,549000,625000
13,Interest Expense (Gain),2631000,- -,- -,- -
14,Depreciation and Amortization,255000,537000,618000,- -
15,EBITDA,-4502000,-23445000,-35985000,-45269000
16,EBITDA ratio,-0.2006,-2.3713,-3.6224,-Infinity
17,Operating Income,-6148000,-25067000,-36931000,-45269000
18,Operating Income ratio,-0.2740,-2.5353,-3.7176,-Infinity
19,Total Other Income Expenses (Gains),-1240000,1085000,328000,295000
20,Income Before Tax,-7388000,-23982000,-36603000,-44974000
21,Income Before Tax Ratio,-0.3292,-2.4256,-3.6846,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-7388000,-23982000,-36603000,- -
24,Net Income ratio,-0.3292,-2.4256,-3.6846,- -
25,EPS,-0.49,-1.59,-2.36,-1.07
26,EPS Diluted,-0.49,-1.59,-2.36,-1.07
27,Weighted Average Shares Outstanding,15043965,15043965,15506067,42155981
28,Weighted Average Shares Outstanding Diluted,15043965,15043965,15506067,42155981
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1680367/000168036721000008/0001680367-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1680367/000168036722000005/0001680367-22-000005-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,31644000,7013000,157898000,92268000
32,Short-Term Investments,28732000,32074000,177551000,176536000
33,Cash and Short-Term Investments,60376000,39087000,335449000,268804000
34,Net Receivables,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,5258000,3355000,10190000,19462000
37,Total Current Assets,65634000,42442000,345639000,288266000
38,PP&E,2504000,2437000,3000000,9938000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,23000,90000,349000,- -
45,Total Non-Current Assets,2527000,2527000,3349000,- -
46,Other Assets,- -,- -,- -,10319000
47,Total Assets,68161000,44969000,348988000,298585000
