,https://roic.ai/company/LCTX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,100000,100000,100000,100000,100000,100000,300000,1037500,52492,151917,387020,556422,688377,903200,1162015,1046121,1503792,1925168,3680300,4354762,3915327,4434336,5243204,7036000,5923000,3458000,4988000,3515000,773000,4341000
2,COGS,- -,400000,600000,- -,- -,- -,- -,- -,-59540,-75458,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,434271,792659,837052,1107000,358000,168000,302000,412000,385000,1426000
3,Gross Profit,- -,-300000,-500000,- -,- -,- -,- -,- -,1097040,127950,- -,- -,556422,- -,903200,1162015,- -,1503792,1925168,3680300,4354762,3481056,3641677,4406152,5929000,5565000,3290000,4686000,3103000,388000,2915000
4,Gross Profit Ratio,- -,-3.0000,-5.0000,- -,- -,- -,- -,- -,1.0574,2.4375,- -,- -,1.0000,- -,1.0000,1.0000,- -,1.0000,1.0000,1.0000,1.0000,0.8891,0.8212,0.8404,0.8427,0.9396,0.9514,0.9395,0.8828,0.5019,0.6715
5,Research and Development Exp.,- -,- -,- -,800000,1800000,- -,2100000,1700000,4900521,3362841,1685168,1103490,903018,1123261,1525686,1422257,967864,1706214,2968987,7892024,13699691,18116688,26609423,37532624,42604000,36106000,24024000,20955000,17948000,12317000,33914000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,1200000,- -,1896690,1779931,1961342,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10365045,15558674,17556102,29134000,28426000,19922000,24726000,24031000,15571000,18212000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,400000,800000,900000,800000,2100000,1200000,700000,1896690,1779931,1961342,1318159,1260712,1484372,1395925,1491622,1300630,2620210,2476447,5640409,9341502,10365045,15558674,17556102,29134000,28426000,19922000,24726000,24031000,15571000,18212000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,59540,75458,- -,- -,82520,49518,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1053000,- -
10,Operating Expenses,- -,400000,800000,1700000,2600000,- -,3300000,2400000,6856751,5218230,3646510,2421649,2246250,2657151,2921611,2913879,2268494,4326424,5445434,13532433,23041193,28481733,42168097,55088726,71738000,64532000,43946000,45681000,41979000,26835000,52126000
11,COGS and Expenses,- -,800000,1400000,1700000,2600000,2100000,3300000,2400000,6797211,5142772,3646510,2421649,2246250,2657151,2921611,2913879,2268494,4326424,5445434,13532433,23041193,28916004,42960756,55925778,72845000,64890000,44114000,45983000,42391000,27220000,53552000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1090612,- -,78978,157114,- -,965781,1653755,124300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,59540,75458,295605,506746,810584,1048815,6374,26511,-189230,16745,34591,928776,2366531,2833432,3952475,8410341,6334000,4757000,3296000,3273000,3129000,2111000,- -
15,EBITDA,- -,-700000,-1200000,-1500000,-2400000,-2000000,-3000000,-2100000,-5420344,-4849566,-3363220,-2338186,159122,-2036509,-1988899,-1680996,-1627456,-2798369,-3455563,-10131542,-14148969,-18592271,-43211055,-35376930,-45173000,38329000,-16680000,-43063000,-15987000,-19777000,-43270000
16,EBITDA ratio,- -,-7.0000,-12.0000,-15.0000,-24.0000,-20.0000,-30.0000,-7.0000,-5.2244,-92.3868,-22.1385,-6.0415,0.2860,-2.9584,-2.2021,-1.4466,-1.5557,-1.8609,-1.7949,-2.7529,-3.2491,-4.7486,-9.7447,-6.7472,-6.4203,6.4712,-4.8236,-8.6333,-4.5482,-25.5847,-9.9677
17,Operating Income,- -,-700000,-1300000,-1600000,-2500000,-2000000,-3200000,-2100000,-5759711,-5090280,-3494593,-2034629,-1689828,-1968774,-2018411,-1751864,-1222373,-2822632,-3520266,-9852133,-18686431,-25000677,-55985186,-50682574,-65809000,-58967000,-38902000,-41795000,-38876000,-26447000,-49211000
18,Operating Income ratio,- -,-7.0000,-13.0000,-16.0000,-25.0000,-20.0000,-32.0000,-7.0000,-5.5515,-96.9725,-23.0033,-5.2572,-3.0370,-2.8600,-2.2347,-1.5076,-1.1685,-1.8770,-1.8286,-2.6770,-4.2910,-6.3853,-12.6254,-9.6663,-9.3532,-9.9556,-11.2499,-8.3791,-11.0600,-34.2135,-11.3363
19,Total Other Income Expenses (Gains),- -,100000,100000,200000,200000,100000,200000,100000,279827,165256,114344,20649,1038366,32338,23138,44357,16926,7518,30112,-2210774,212821,-305183,-204635,-472137,3159000,77588000,15613000,-5335000,19642000,4523000,5941000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25305860,-56189821,-51154711,-62650000,18621000,-23289000,-47130000,-19234000,-21924000,-43270000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6.4633,-12.6715,-9.7564,-8.9042,3.1438,-6.7348,-9.4487,-5.4720,-28.3622,-9.9677
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3280695,-7375611,-4516000,- -,- -,-346000,-7407000,-1239000,- -
23,Net Income,- -,-700000,-1200000,-1500000,-2400000,-2000000,-3000000,-2100000,-5479884,-4925024,-3658825,-2844932,-1742074,-3085324,-2074251,-1864621,-1438226,-3780895,-5143909,-11184618,-16515500,-21425703,-43882835,-36411660,-46991000,33572000,-19976000,-45990000,-11709000,-20649000,-43270000
24,Net Income ratio,- -,-7.0000,-12.0000,-15.0000,-24.0000,-20.0000,-30.0000,-7.0000,-5.2818,-93.8243,-24.0844,-7.3509,-3.1309,-4.4820,-2.2966,-1.6046,-1.3748,-2.5142,-2.6719,-3.0391,-3.7925,-5.4723,-9.8961,-6.9445,-6.6787,5.6681,-5.7767,-9.2201,-3.3312,-26.7128,-9.9677
25,EPS,- -,-0.18,-0.23,-0.25,-0.30,-0.25,-0.35,-0.21,-0.51,-0.44,-0.32,-0.23,-0.12,-0.18,-0.12,-0.08,-0.06,-0.16,-0.18,-0.28,-0.35,-0.44,-0.81,-0.55,-0.59,0.35,-0.17,-0.36,-0.08,-0.14,-0.26
26,EPS Diluted,- -,-0.18,-0.23,-0.25,-0.30,-0.25,-0.35,-0.21,-0.51,-0.44,-0.32,-0.23,-0.12,-0.18,-0.12,-0.08,-0.06,-0.16,-0.18,-0.28,-0.35,-0.44,-0.81,-0.55,-0.59,0.34,-0.17,-0.36,-0.08,-0.14,-0.26
27,Weighted Average Shares Outstanding,- -,3888889,5217391,6000000,8000000,7827732,8877024,10000000,10688100,11042087,11562108,12368466,14256841,17453509,17903230,22538003,22853278,23749933,29295608,40266311,47486941,49213687,54226219,66466714,79711000,97316000,114476000,126903000,145533000,150044000,164502000
28,Weighted Average Shares Outstanding Diluted,- -,3888889,5217391,6000000,8000000,8333333,8877024,10000000,10688100,11042087,11562108,12368466,14256841,17453509,17903230,22538003,22853278,23749933,29295608,40266311,47486941,49213687,54226219,66466714,79711000,99553000,114476000,126903000,145533000,150044000,164502000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876343/000095013404004255/0000950134-04-004255-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000095013405006565/0000950134-05-006565-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000095013406007395/0000950134-06-007395-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000087634307000014/0000876343-07-000014-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000087634308000014/0000876343-08-000014-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000087634309000009/0000876343-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036110006982/0001140361-10-006982-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036111016533/0001140361-11-016533-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036112015539/0001140361-12-015539-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036113012991/0001140361-13-012991-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036114013083/0001140361-14-013083-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036115011259/0001140361-15-011259-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036116057879/0001140361-16-057879-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000114036117012402/0001140361-17-012402-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315218003416/0001493152-18-003416-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315219003335/0001493152-19-003335-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315220003818/0001493152-20-003818-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315221005814/0001493152-21-005814-index.htm,https://www.sec.gov/Archives/edgar/data/876343/000149315222006520/0001493152-22-006520-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4800000,1500000,700000,3400000,2400000,7800000,- -,5292806,1318338,1652748,1284432,717184,1370762,1833774,561017,9501,12279,12189081,33324924,22211897,4349967,5495478,29486909,42229000,22088000,36838000,23587000,9497000,32585000,55742000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,753000,627000,1337000,7154000,21219000,8977000,- -
33,Cash and Short-Term Investments,- -,4800000,1500000,700000,3400000,2400000,7800000,- -,5292806,1318338,1652748,1284432,717184,1370762,1833774,561017,9501,12279,12189081,33324924,22211897,4349967,5495478,29486909,42982000,22715000,38175000,30741000,30716000,41562000,55742000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1419837,1645000,1157000,3046000,3719000,23940000,4000,50840000
35,Inventory,- -,- -,- -,- -,- -,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38384,45470,51174,55316,178694,266022,1000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,2000000,5100000,100000,300000,300000,- -,107285,122648,109431,97686,289865,122225,97856,57675,132145,96595,138547,2202284,2692303,2774196,2275798,1231789,2609000,1777000,1402000,1898000,2863000,2433000,4967000
37,Total Current Assets,- -,4800000,3500000,5800000,3500000,2900000,8200000,- -,5400091,1440986,1762179,1382118,1007049,1492987,1931630,618692,141646,108874,12366012,35572678,24955374,7179479,7949970,32404557,47237000,25649000,42623000,36358000,57519000,43999000,111549000
