,https://roic.ai/company/YMM,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,2473061000,2580820000
2,COGS,1389864000,1316017000
3,Gross Profit,1083197000,1264803000
4,Gross Profit Ratio,0.4380,0.4901
5,Research and Development Exp.,396692000,413369000
6,General and Administrative Exp.,1189423000,3938565000
7,Selling and Marketing Exp.,403117000,454343000
8,"Selling, General and Administrative Exp.",1592540000,4392908000
9,Other Expenses,114567000,73129000
10,Operating Expenses,2103799000,4879406000
11,COGS and Expenses,3493663000,6195423000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),39996000,8367000
14,Depreciation and Amortization,70708000,63669000
15,EBITDA,-1427622000,-3379100000
16,EBITDA ratio,-0.5773,-1.3093
17,Operating Income,-1020602000,-3614603000
18,Operating Income ratio,-0.4127,-1.4006
19,Total Other Income Expenses (Gains),-535741000,163007000
20,Income Before Tax,-1556343000,-3451596000
21,Income Before Tax Ratio,-0.6293,-1.3374
22,Income Tax expense (Gain),-14676000,19336000
23,Net Income,-1523650000,-3470472000
24,Net Income ratio,-0.6161,-1.3447
25,EPS,-1.40,-3.20
26,EPS Diluted,-1.40,-3.20
27,Weighted Average Shares Outstanding,1085850054,1085850054
28,Weighted Average Shares Outstanding Diluted,1085850054,1085850054
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,3983721000,10060391000
32,Short-Term Investments,6311697000,8731195000
33,Cash and Short-Term Investments,10295418000,18791586000
34,Net Receivables,1974665000,1735561000
35,Inventory,- -,- -
36,Other Current Assets,231272000,156204000
37,Total Current Assets,12501355000,20683351000
38,PP&E,51358000,81984000
39,Goodwill,2780190000,2865071000
40,Intangible Assets,529232000,491279000
41,Intangible Assets,3309422000,3356350000
42,Investments,75394000,64340000
43,Tax Assets,17009000,18966000
44,Other Non-Current Assets,1003865000,928365000
45,Total Non-Current Assets,4457048000,4450005000
46,Other Assets,- -,- -
47,Total Assets,16958403000,25133356000
48,Accounts Payable,17980000,23839000
49,Short-Term Debt,500000000,- -
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,1763392000,1938508000
53,Total Current Liabilities,2281372000,1962347000
54,Long-Term Debt,- -,- -
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,123333000,118783000
57,Other Non-Current Liabilities,21644964000,31535947000
58,Total Non-Current Liabilities,21768297000,31654730000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,24049669000,33617077000
62,Preferred Stock,- -,- -
63,Common Stock,226000,296000
64,Retained Earnings,-9895334000,-13365806000
65,Other Comprehensive Income/Loss,-55912000,-65707000
66,Other Total Stockholders Equity,2859754000,4947496000
67,Total Stockholders Equity,-7091266000,-8483721000
68,Total Liabilities And Stockholders Equity,16958403000,25133356000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,16958403000,25133356000
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,-1523650000,-3470472000
74,Depreciation and Amortization,70708000,63669000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,455634000,3254335000
77,Change in Working Capital,-829129000,366039000
78,Accounts Receivable,-6446000,-16396000
79,Inventory,- -,- -
80,Accounts Payable,-18460000,5859000
81,Other Working Capital,-24338000,-12508000
82,Other Non-Cash Items,902472000,361171000
83,Cash Provided by Operating Activities,-923965000,574742000
84,CAPEX,-10418000,-53064000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,-6555960000,-9511735000
87,Sales/Maturities of Investments,3177061000,6703919000
88,Other Investing Activites,-1882000,169985000
89,Cash Used for Investing Activites,-3391199000,-2690895000
90,Debt Repayment,-1230879000,-1810140000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,-384880000,-557836000
93,Dividends Paid,- -,- -
94,Other Financing Activites,3308984000,10692424000
95,Cash Used/Provided by Financing Activities,1693225000,8324448000
96,Effect of Forex Changes on Cash,19884000,-127770000
97,Net Change In Cash,-2602055000,6080525000
98,Cash at the End of Period,4079643000,10160168000
99,Cash at the Beginning of Period,6681698000,4079643000
100,Free Cash Flow,-934383000,521678000
101,SEC Link,- -,- -
102,Forex Rate,0.1436,0.1532
