,https://roic.ai/company/QSR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1970900000,1146300000,1197300000,4052200000,4145800000,4576100000,5357000000,5603000000,4968000000,4501105865
2,COGS,1152300000,347700000,333400000,2312700000,2181400000,2327900000,2240000000,2353000000,2138000000,2620351053
3,Gross Profit,818600000,798600000,863900000,1739500000,1964400000,2248200000,3117000000,3250000000,2830000000,1880754812
4,Gross Profit Ratio,0.4153,0.6967,0.7215,0.4293,0.4738,0.4913,0.5819,0.5800,0.5696,0.4178
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,224500000,198600000,204000000,290300000,280500000,329000000,1139000000,1208000000,1229000000,382739094
7,Selling and Marketing Exp.,48300000,6200000,2400000,13700000,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",272800000,204800000,206400000,304000000,280500000,329000000,1139000000,1208000000,1229000000,382739094
9,Other Expenses,17600000,11400000,14000000,15200000,21800000,24100000,31000000,15000000,19000000,15686028
10,Operating Expenses,290400000,216200000,220400000,319200000,302300000,353100000,1170000000,1223000000,1248000000,398425123
11,COGS and Expenses,1442700000,563900000,553800000,2631900000,2483700000,2681000000,3410000000,3576000000,3386000000,3018776176
12,Interest Income ,1100000,2600000,3700000,4200000,4100000,26400000,15000000,20000000,9000000,2352904
13,Interest Expense (Gain),209000000,190600000,271200000,445000000,432100000,505900000,521000000,523000000,491000000,377248984
14,Depreciation and Amortization,114200000,65800000,72900000,182000000,172100000,181100000,180000000,185000000,189000000,157644586
15,EBITDA,482900000,578600000,526400000,1164300000,1463700000,1202200000,1551000000,1692000000,1232000000,1278411319
16,EBITDA ratio,0.2450,0.5048,0.4397,0.2873,0.3531,0.2627,0.2895,0.3020,0.2480,0.2840
17,Operating Income,417700000,522200000,182400000,1192200000,1666700000,1735900000,1917000000,2007000000,1422000000,1473702373
18,Operating Income ratio,0.2119,0.4556,0.1523,0.2942,0.4020,0.3793,0.3578,0.3582,0.2862,0.3274
19,Total Other Income Expenses (Gains),-258000000,-200000000,-435500000,-518300000,-466900000,-634200000,-535000000,-555000000,-606000000,-404699534
20,Income Before Tax,159700000,322200000,-253100000,673900000,1199800000,1101700000,1382000000,1452000000,816000000,1069002839
21,Income Before Tax Ratio,0.0810,0.2811,-0.2114,0.1663,0.2894,0.2408,0.2580,0.2591,0.1643,0.2375
22,Income Tax expense (Gain),42000000,88500000,24300000,162200000,243900000,-133600000,238000000,341000000,66000000,86273156
23,Net Income,117700000,233700000,158000000,375100000,615600000,648800000,612000000,643000000,486000000,657244592
24,Net Income ratio,0.0597,0.2039,0.1320,0.0926,0.1485,0.1418,0.1142,0.1148,0.0978,0.1460
25,EPS,0.34,0.67,-1.16,0.51,1.48,2.64,2.46,2.40,1.61,2.13
26,EPS Diluted,0.33,0.65,-2.32,0.50,1.45,2.54,2.42,2.37,1.60,2.11
27,Weighted Average Shares Outstanding,202052741,202052741,343700000,203500000,232900000,237000000,249000000,268000000,302000000,310000000
28,Weighted Average Shares Outstanding Diluted,202052741,202052741,358200000,476000000,470000000,477400000,473000000,469000000,468000000,464000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618756/000119312516481509/0001193125-16-481509-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000119312517048122/0001193125-17-048122-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875618000007/0001618756-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875619000005/0001618756-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875620000004/0001618756-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875621000007/0001618756-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1618756/000161875622000018/0001618756-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,786900000,1803200000,757800000,1460400000,1073400000,913000000,1533000000,1560000000,852535646
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,786900000,1803200000,757800000,1460400000,1073400000,913000000,1533000000,1560000000,852535646
34,Net Receivables,- -,179700000,439900000,422000000,403500000,455900000,452000000,527000000,536000000,429012878
35,Inventory,- -,1200000,100100000,81300000,71800000,78000000,75000000,84000000,96000000,75292937
