,https://roic.ai/company/BOOT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,233203000,345868000,402684000,569020000,629816000,677949000,776854000,845575000,893491000
2,COGS,160556000,232663000,267907000,395817000,439930000,470034000,525420000,569084000,598612000
3,Gross Profit,72647000,113205000,134777000,173203000,189886000,207915000,251434000,276491000,294879000
4,Gross Profit Ratio,0.3115,0.3273,0.3347,0.3044,0.3015,0.3067,0.3237,0.3270,0.3300
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,62609000,91998000,99341000,142078000,152068000,161660000,187112000,202823000,208553000
10,Operating Expenses,62609000,91998000,99341000,142078000,152068000,161660000,187112000,202823000,208553000
11,COGS and Expenses,223165000,324661000,367248000,537895000,591998000,631694000,712532000,771907000,807165000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7415000,11594000,13291000,12923000,14699000,15076000,16331000,13310000,9442000
14,Depreciation and Amortization,5588000,8129000,9207000,14016000,16710000,17128000,18902000,52474000,58379000
15,EBITDA,14475000,28421000,44690000,44250000,54528000,63383000,83229000,126097000,145071000
16,EBITDA ratio,0.0621,0.0822,0.1110,0.0778,0.0866,0.0935,0.1071,0.1491,0.1624
17,Operating Income,8900000,20536000,35436000,30234000,37818000,46255000,64322000,73668000,86326000
18,Operating Income ratio,0.0382,0.0594,0.0880,0.0531,0.0600,0.0682,0.0828,0.0871,0.0966
19,Total Other Income Expenses (Gains),-7394000,-11555000,-13240000,-12923000,-14699000,-15076000,-16326000,-13355000,-9076000
20,Income Before Tax,1506000,8981000,22196000,17311000,23119000,31179000,47996000,60313000,77250000
21,Income Before Tax Ratio,0.0065,0.0260,0.0551,0.0304,0.0367,0.0460,0.0618,0.0713,0.0865
22,Income Tax expense (Gain),826000,3321000,8466000,7443000,8922000,2300000,8974000,12364000,17864000
23,Net Income,646000,5377000,13726000,9868000,14197000,28879000,39022000,47949000,59386000
24,Net Income ratio,0.0028,0.0155,0.0341,0.0173,0.0225,0.0426,0.0502,0.0567,0.0665
25,EPS,0.03,0.22,0.56,0.38,0.54,1.08,1.39,1.68,2.05
26,EPS Diluted,0.03,0.22,0.54,0.37,0.53,1.05,1.35,1.64,2.01
27,Weighted Average Shares Outstanding,24929350,24929350,22126000,26170000,26459000,26744000,28092000,28583000,28930000
28,Weighted Average Shares Outstanding Diluted,24929350,24929350,22888000,26955000,26939000,27528000,28813000,29220000,29477000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1610250/000155837020006925/0001558370-20-006925-index.htm,https://www.sec.gov/Archives/edgar/data/1610250/000155837021007103/0001558370-21-007103-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1190000,1118000,1400000,7195000,8035000,9016000,16614000,69563000,73148000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1190000,1118000,1400000,7195000,8035000,9016000,16614000,69563000,73148000
34,Net Receivables,1109000,2191000,3900000,10000000,10031000,10223000,9629000,17259000,12771000
35,Inventory,67995000,102702000,129300000,176335000,189096000,211472000,240734000,288717000,275760000
36,Other Current Assets,5280000,8685000,10700000,9689000,17141000,10416000,10366000,9112000,12777000
37,Total Current Assets,75574000,114696000,145300000,203219000,224303000,241127000,277343000,384651000,374456000
38,PP&E,10736000,21450000,30100000,76076000,82711000,89208000,98663000,279846000,297271000
39,Goodwill,78033000,93097000,93100000,193095000,193095000,193095000,195858000,197502000,197502000
40,Intangible Assets,58017000,59723000,57100000,64861000,64511000,63383000,62845000,60974000,60885000
41,Intangible Assets,136050000,152820000,150200000,257956000,257606000,256478000,258703000,258476000,258387000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,21100000,12255000,20961000,- -,17202000,19801000,- -
44,Other Non-Current Assets,1922000,2897000,-20600000,-10180000,-20000000,1128000,-15836000,-18063000,3467000
45,Total Non-Current Assets,148708000,177167000,180800000,336107000,341278000,346814000,358732000,540060000,559125000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,224282000,291863000,326100000,539326000,565581000,587941000,636075000,924711000,933581000
48,Accounts Payable,22488000,36029000,44600000,66553000,77482000,89958000,104955000,95334000,104641000
49,Short-Term Debt,20953000,29685000,17943000,50228000,34783000,21527000,617000,164679000,39400000
