,https://roic.ai/company/GSM,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1463878000,1417079000,1316590000,1576037000,1732276000,2242002000,1615222000,1144434000,1778908000
2,COGS,989995000,954728000,818736000,1043412000,1043275000,1446677000,1214397000,943675000,1282224000
3,Gross Profit,473883000,462351000,497854000,532625000,689001000,795325000,400825000,200759000,496684000
4,Gross Profit Ratio,0.3237,0.3263,0.3781,0.3380,0.3977,0.3547,0.2482,0.1754,0.2792
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,217527000,213829000,205869000,296399000,300035000,338862000,285029000,214782000,280917000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",217527000,213829000,205869000,296399000,300035000,338862000,285029000,214782000,280917000
9,Other Expenses,160766000,141859000,184545000,319260000,326146000,359239000,291621000,98432000,177273000
10,Operating Expenses,378293000,355688000,390414000,615659000,626181000,698101000,576650000,313214000,458190000
11,COGS and Expenses,1368288000,1310416000,1331715000,1949117000,1691077000,2142928000,1970808000,1256889000,1740414000
12,Interest Income ,1741000,3763000,425000,74000,224000,72000,68000,16000,- -
13,Interest Expense (Gain),39315000,21688000,23267000,20581000,57804000,47326000,51583000,45114000,- -
14,Depreciation and Amortization,79103000,74752000,67050000,125677000,104529000,119137000,123024000,108189000,97328000
15,EBITDA,171424000,192529000,96991000,-238864000,178630000,230583000,-147535000,-71097000,-2980000
16,EBITDA ratio,0.1171,0.1359,0.0737,-0.1516,0.1031,0.1028,-0.0913,-0.0621,-0.0017
17,Operating Income,98650000,95112000,-15125000,-375593000,39697000,116754000,-355586000,-184350000,40361000
18,Operating Income ratio,0.0674,0.0671,-0.0115,-0.2383,0.0229,0.0521,-0.2201,-0.1611,0.0227
19,Total Other Income Expenses (Gains),-52044000,-16019000,6595000,-29715000,-54694000,-81186000,-56232000,-38070000,-145249000
20,Income Before Tax,46606000,79093000,-8530000,-405308000,-14997000,35568000,-411818000,-222420000,-104888000
21,Income Before Tax Ratio,0.0318,0.0558,-0.0065,-0.2572,-0.0087,0.0159,-0.2550,-0.1943,-0.0590
22,Income Tax expense (Gain),24558000,57652000,49942000,-46695000,16975000,20459000,-41541000,21939000,-4562000
23,Net Income,28448000,38437000,-43268000,-338427000,-678000,43661000,-280601000,-246339000,-95746000
24,Net Income ratio,0.0194,0.0271,-0.0329,-0.2147,-0.0004,0.0195,-0.1737,-0.2152,-0.0538
25,EPS,0.29,0.39,-0.43,-0.79,0.15,0.52,-1.67,-1.13,-0.57
26,EPS Diluted,0.29,0.39,-0.43,-0.79,0.15,0.52,-1.67,-1.13,-0.57
27,Weighted Average Shares Outstanding,98078163,98078163,99699262,171838000,171948000,171406000,169153000,169257000,169257000
28,Weighted Average Shares Outstanding Diluted,98078163,98078163,99699262,171838000,172119000,171530000,169153000,169257000,169257000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,48651000,116666000,196931000,184472000,216647000,94852000,102714000,114391000
32,Short-Term Investments,- -,- -,4112000,4049000,2469000,2523000,5544000,1008000,104000
33,Cash and Short-Term Investments,- -,48651000,120778000,200980000,186941000,219170000,100396000,103722000,114495000
34,Net Receivables,- -,309185000,295477000,241246000,133193000,197626000,339949000,257410000,391574000
35,Inventory,- -,439017000,425372000,316702000,361231000,456970000,354121000,245954000,289797000
36,Other Current Assets,- -,6569000,10134000,102747000,9926000,8813000,23676000,26850000,8408000
37,Total Current Assets,- -,803422000,851761000,861675000,691291000,882579000,818142000,633936000,804274000
38,PP&E,- -,479546000,985340000,798971000,945253000,896652000,740906000,656806000,555485000
39,Goodwill,- -,2642000,426851000,230210000,205287000,202848000,29702000,29702000,29702000
40,Intangible Assets,- -,50449000,71619000,62839000,58658000,51822000,51267000,370602000,101790000
41,Intangible Assets,- -,53091000,498470000,293049000,263945000,254670000,80969000,- -,131492000
42,Investments,- -,1298000,3657000,13280000,86234000,70343000,2618000,5057000,4091000
43,Tax Assets,- -,20606000,191748000,139535000,65142000,77379000,74057000,- -,7010000
44,Other Non-Current Assets,- -,30195000,-139815000,-87209000,-51608000,-57806000,17661000,96044000,22705000
45,Total Non-Current Assets,- -,584736000,1539400000,1157626000,1308966000,1241238000,916211000,757907000,720783000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1388158000,2391161000,2019301000,2000257000,2123817000,1734353000,1391843000,1525057000
48,Accounts Payable,- -,147243000,145383000,154394000,177977000,253584000,196081000,149201000,206000000
49,Short-Term Debt,- -,158861000,195983000,245262000,113281000,84651000,57830000,156562000,139046000
50,Tax Payable,- -,21873000,26485000,13364000,25204000,23134000,25507000,25715000,1775000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,124208000,- -
52,Other Current Liabilities,- -,105792000,151322000,227100000,158938000,160842000,143546000,-35083000,265020000
53,Total Current Liabilities,- -,411896000,492688000,626756000,450196000,499077000,397457000,394888000,610066000
54,Long-Term Debt,- -,244772000,320993000,269325000,409045000,527950000,505374000,418259000,418576000
55,Deferred Revenue,- -,4277000,- -,- -,- -,- -,- -,- -,895000
56,Deferred Tax Liabilities,- -,49631000,- -,- -,- -,- -,- -,- -,25145000
57,Other Non-Current Liabilities,- -,169905000,424330000,356734000,324992000,328563000,347302000,- -,135307000
58,Total Non-Current Liabilities,- -,468585000,745323000,626059000,734037000,856513000,852676000,418259000,579923000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,994154000,- -
60,Capital Lease Obligations,- -,120682000,103197000,5237000,82633000,66471000,25872000,22536000,18358000
61,Total Liabilities,- -,880481000,1238011000,1252815000,1184233000,1355590000,1250133000,970783000,1189989000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,285760000,1288787000,1795000,1796000,1784000,1784000,421060000,- -
64,Retained Earnings,- -,- -,99902000,994001000,995702000,985368000,694757000,- -,- -
65,Other Comprehensive Income/Loss,- -,220543000,-92369000,1103118000,814906000,722782000,763037000,495770000,- -
66,Other Total Stockholders Equity,- -,-16604000,-143170000,-1332428000,-996380000,-941707000,-975358000,-665615000,- -
67,Total Stockholders Equity,- -,489699000,1153150000,766486000,816024000,768227000,484220000,251215000,335068000
68,Total Liabilities And Stockholders Equity,- -,1370180000,2391161000,2019301000,2000257000,2123817000,1734353000,1221998000,1525057000
69,Minority Interest,- -,17978000,- -,- -,- -,- -,- -,169845000,- -
70,Total Liabilities & Equity,- -,1388158000,2391161000,2019301000,2000257000,2123817000,1734353000,1391843000,1525057000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,28448000,38437000,-43268000,-338427000,-678000,43661000,-280601000,-246339000,-95746000
74,Depreciation and Amortization,79103000,74752000,67050000,125677000,104529000,119137000,123024000,108189000,97328000
75,Deferred Income Tax,24558000,59707000,49942000,-46695000,-14821000,24235000,-40528000,21939000,-4562000
76,Stock Based Compensation,- -,- -,- -,- -,2405000,2798000,4879000,2017000,3627000
77,Change in Working Capital,45435000,40171000,132886000,193076000,51507000,-71421000,13399000,144687000,-134790000
78,Accounts Receivable,5910000,550000,60715000,56297000,50168000,-25807000,30933000,71034000,-161434000
79,Inventory,50422000,-30521000,89199000,108207000,-16274000,-101024000,91531000,114585000,-60296000
80,Accounts Payable,-10897000,70142000,-17028000,28572000,17613000,55410000,-70851000,-55405000,64382000
81,Other Working Capital,- -,- -,- -,-27651000,-87687000,-22892000,-45878000,14473000,22558000
82,Other Non-Cash Items,-10849000,-21647000,-61161000,187538000,7433000,-44633000,105600000,123775000,132802000
83,Cash Provided by Operating Activities,166695000,191420000,145449000,121169000,150375000,73777000,-74227000,154268000,-1341000
84,CAPEX,-40012000,-54046000,-73060000,-76033000,-75427000,-109449000,-32629000,-32911000,-27597000
85,Acquisitions Net,- -,- -,77709000,- -,- -,154000,185678000,- -,- -
86,Purchases of Investments,-2280000,-95514000,- -,-9912000,-343000,- -,-1248000,- -,- -
87,Sales/Maturities of Investments,10340000,11000,1681000,110000,- -,- -,- -,- -,- -
88,Other Investing Activites,-9122000,-14407000,7097000,-3360000,141000,20107000,13925000,-1683000,3749000
89,Cash Used for Investing Activites,-32072000,-155293000,17966000,-84281000,-74818000,-85875000,165910000,-31940000,-23848000
90,Debt Repayment,-262993000,-190790000,-139619000,-81237000,-453948000,-106514000,-384853000,-245611000,-682699000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,40000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-20100000,- -,- -,- -
93,Dividends Paid,-27498000,-40116000,-21479000,-54988000,- -,-20642000,- -,- -,- -
94,Other Financing Activites,150690000,179993000,73505000,186142000,340551000,200559000,203881000,132278000,653151000
95,Cash Used/Provided by Financing Activities,-139801000,-50913000,-87593000,49917000,-113397000,53303000,-180972000,-113333000,10452000
96,Effect of Forex Changes on Cash,-4207000,1190000,-7807000,-6489000,25330000,-9030000,-4183000,-613000,-157000
97,Net Change In Cash,-9385000,-13595000,68015000,80316000,-12510000,32175000,-93472000,8382000,-14894000
98,Cash at the End of Period,62246000,48651000,116666000,196982000,184472000,216647000,123175000,131557000,116663000
99,Cash at the Beginning of Period,71631000,62246000,48651000,116666000,196982000,184472000,216647000,123175000,131557000
100,Free Cash Flow,126683000,137374000,72389000,45136000,74948000,-35672000,-106856000,121357000,-28938000
