,https://roic.ai/company/LND,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,659000,45389000,35284000,36745000,79544000,156125000,242121000,151116000,364777000,147787000,171972000,284978000,498682000,544835000,693321000
2,COGS,- -,- -,30061000,35905000,48447000,39725000,136447000,168354000,137443000,160701000,143432000,124096000,129236000,262496000,323442000,201797000
3,Gross Profit,- -,659000,15328000,-621000,-11702000,39819000,19678000,73767000,13673000,204076000,4355000,47876000,155742000,236186000,221393000,491524000
4,Gross Profit Ratio,- -,1.0000,0.3377,-0.0176,-0.3185,0.5006,0.1260,0.3047,0.0905,0.5595,0.0295,0.2784,0.5465,0.4736,0.4063,0.7089
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,12394000,19125000,21216000,22431000,25339000,27765000,24055000,25128000,24333000,22898000,25699000,34945000,38812000,43890000,46852000
7,Selling and Marketing Exp.,- -,- -,657000,1172000,2175000,2991000,4015000,14028000,10239000,9006000,2732000,6676000,10087000,10536000,14300000,27951000
8,"Selling, General and Administrative Exp.",- -,12394000,19782000,22388000,24606000,28330000,31780000,38083000,35367000,33339000,25630000,32375000,45032000,49348000,58190000,74803000
9,Other Expenses,- -,401000,542000,540000,7056000,918000,1127000,8717000,4965000,6236000,5044000,10816000,-98000,1000000,1350000,4603000
10,Operating Expenses,- -,12795000,20324000,22928000,31662000,29248000,32907000,46800000,40332000,39575000,30674000,43191000,44934000,50348000,59540000,79406000
11,COGS and Expenses,- -,12795000,50385000,58833000,80109000,68973000,169354000,215154000,177775000,200276000,174106000,167287000,174170000,312844000,382982000,281203000
12,Interest Income ,- -,286000,330000,2221000,21966000,25738000,38073000,16627000,12119000,13962000,45015000,20261000,14803000,6129000,9015000,9358000
13,Interest Expense (Gain),- -,3547000,6716000,4672000,- -,16460000,44299000,9539000,10854000,13895000,8202000,8963000,28768000,18171000,25248000,28693000
14,Depreciation and Amortization,- -,401000,542000,540000,-3880000,14127000,27398000,27997000,21431000,22222000,21957000,15027000,23222000,23078000,60249000,110004000
15,EBITDA,- -,30727000,26087000,9346000,-20143000,50516000,53280000,63912000,3362000,226688000,43513000,57249000,204247000,241047000,219026000,436828000
16,EBITDA ratio,- -,46.6267,0.5747,0.2649,-0.5482,0.6351,0.3413,0.2640,0.0222,0.6214,0.2944,0.3329,0.7167,0.4834,0.4020,0.6301
17,Operating Income,- -,26790000,18551000,4105000,-27586000,10571000,-13219000,26967000,-27363000,157933000,-25020000,-185000,160813000,186876000,164284000,394119000
18,Operating Income ratio,- -,40.6525,0.4087,0.1163,-0.7507,0.1329,-0.0847,0.1114,-0.1811,0.4330,-0.1693,-0.0011,0.5643,0.3747,0.3015,0.5685
19,Total Other Income Expenses (Gains),- -,- -,- -,-508000,- -,9278000,-6226000,-591000,-1560000,32638000,38374000,33444000,-8556000,12922000,-30755000,-95988000
20,Income Before Tax,- -,26790000,18551000,3597000,-27586000,19849000,-19445000,26376000,-28923000,190571000,13354000,33259000,152257000,199798000,133529000,298131000
21,Income Before Tax Ratio,- -,40.6525,0.4087,0.1019,-0.7507,0.2495,-0.1245,0.1089,-0.1914,0.5224,0.0904,0.1934,0.5343,0.4007,0.2451,0.4300
22,Income Tax expense (Gain),- -,9620000,13288000,3184000,605000,5186000,-12845000,-2351000,-15561000,9761000,2782000,5949000,25919000,22719000,13975000,-19515000
23,Net Income,- -,17159000,5541000,950000,-16868000,14743000,-5572000,28727000,-13362000,180810000,10572000,27310000,126338000,177079000,119554000,317646000
24,Net Income ratio,- -,26.0379,0.1221,0.0269,-0.4591,0.1853,-0.0357,0.1186,-0.0884,0.4957,0.0715,0.1588,0.4433,0.3551,0.2194,0.4582
25,EPS,29.37,29.37,0.09,0.02,-0.27,0.25,-0.10,0.49,-0.23,3.10,0.19,0.48,2.22,3.11,2.01,4.56
26,EPS Diluted,29.37,29.37,0.09,0.02,-0.27,0.25,-0.10,0.49,-0.23,3.10,0.19,0.47,2.22,3.11,2.01,4.45
27,Weighted Average Shares Outstanding,584224,584224,58422400,58422400,58422400,58422000,58422400,58422000,58422400,58233000,54882389,57241000,56909009,56938585,59342481,69642000
28,Weighted Average Shares Outstanding Diluted,584224,584224,58422400,58422400,58422400,58422000,58422400,58445000,58422400,58259000,54882389,57593000,56909009,56938585,59342481,71416000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,501730000,331763000,264370000,206200000,135615000,67464000,75694000,86745000,75620000,54204000,43798000,104314000,106627000,171045000,1059107000
32,Short-Term Investments,- -,- -,- -,14679000,- -,- -,- -,9244000,21532000,273258000,113559000,6972000,11215000,4038000,- -,- -
33,Cash and Short-Term Investments,- -,501730000,331763000,279049000,206200000,135615000,67464000,84938000,108277000,348878000,167763000,50770000,115529000,110665000,171045000,1059107000
