,https://roic.ai/company/XFOR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,3500000,- -,3000000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,3000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,12706000,17831000,28128000,30979000,30163000,41932000,50647000
6,General and Administrative Exp.,2119000,6515000,8005000,18406000,17640000,20942000,24702000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2119000,6515000,8005000,18406000,17640000,20942000,24702000
9,Other Expenses,- -,- -,- -,-3179000,- -,- -,9758000
10,Operating Expenses,14825000,24346000,36133000,46206000,47803000,62874000,85107000
11,COGS and Expenses,12670000,21956000,32265000,46206000,47803000,62874000,- -
12,Interest Income ,- -,- -,214000,809000,1197000,273000,10000
13,Interest Expense (Gain),472000,2515000,2079000,1039000,2147000,2688000,- -
14,Depreciation and Amortization,389000,285000,195000,155000,103000,351000,- -
15,EBITDA,-12358000,-21567000,-31872000,-41827000,-47700000,-58944000,-85107000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-11.9506,-Infinity,-19.6480,-Infinity
17,Operating Income,-14825000,-24346000,-36133000,-45885000,-51703000,-59874000,-85107000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-13.1100,-Infinity,-19.9580,-Infinity
19,Total Other Income Expenses (Gains),1607000,1371000,2256000,2864000,-1104000,-2109000,-3572000
20,Income Before Tax,-13218000,-22975000,-33877000,-43021000,-52807000,-61983000,-88679000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-12.2917,-Infinity,-20.6610,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,148000,17000
23,Net Income,-13218000,-22975000,-33877000,-43021000,-52807000,-62131000,-88696000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-12.2917,-Infinity,-20.7103,-Infinity
25,EPS,-14.26,-47.10,-98.70,-18.06,-4.63,-3.09,-3.99
26,EPS Diluted,-14.26,-47.10,-98.70,-18.06,-4.63,-3.09,-3.99
