,https://roic.ai/company/TGHI,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1550000,1470000,920000,1090000,850000,400000,170000,420000,240000,200000,50000,180000,460000,600000,1260000,1200000,160000,350000,4350000,2830000,630000,10000,- -,- -,10000,- -,9660000,8940000,- -,11710000,9110000,5122000,1532000,44000,714000,787000,170000,174000
2,COGS,780000,860000,920000,800000,820000,540000,240000,120000,10000,50000,30000,100000,200000,330000,640000,590000,150000,360000,3290000,1650000,260000,- -,- -,- -,- -,630000,7780000,7230000,- -,120000,2450000,2252000,2227000,124000,855000,2239000,557000,555000
3,Gross Profit,770000,610000,- -,290000,30000,-140000,-70000,300000,230000,150000,20000,80000,260000,270000,620000,610000,10000,-10000,1060000,1180000,370000,10000,- -,- -,- -,-620000,1880000,1710000,- -,11590000,6660000,2870000,-695000,-80000,-141000,-1452000,-387000,-381000
4,Gross Profit Ratio,0.4968,0.4150,- -,0.2661,0.0353,-0.3500,-0.4118,0.7143,0.9583,0.7500,0.4000,0.4444,0.5652,0.4500,0.4921,0.5083,0.0625,-0.0286,0.2437,0.4170,0.5873,1.0000,- -,- -,- -,-Infinity,0.1946,0.1913,- -,0.9898,0.7311,0.5603,-0.4537,-1.8182,-0.1975,-1.8450,-2.2765,-2.1897
5,Research and Development Exp.,540000,670000,220000,210000,250000,310000,110000,470000,1530000,2180000,3430000,5210000,7650000,8740000,6980000,6340000,4430000,6650000,7110000,900000,- -,- -,- -,660000,330000,130000,40000,- -,- -,- -,- -,- -,579000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,890000,810000,730000,1010000,1300000,1090000,610000,830000,730000,3470000,4610000,7460000,11120000,8960000,12700000,10670000,12880000,21410000,21880000,19020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4570000,6706000,4933000,3326000,3267000,4236000,7139000,3321000,2319000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",890000,810000,730000,1010000,1300000,1090000,610000,830000,730000,3470000,4610000,7460000,11120000,8960000,12700000,10670000,12880000,21410000,21880000,19020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4570000,6706000,4933000,3326000,3267000,4236000,7139000,3321000,2319000
9,Other Expenses,140000,- -,200000,90000,40000,80000,10000,-0,- -,- -,0,- -,- -,0,- -,890000,5100000,390000,800000,6180000,750524,-6458416,918031,2242397,5615332,2694473,5293195,8294581,6127250,884000,166000,146000,5629000,1119000,17000,1000,1000,287000
