,https://roic.ai/company/SGFY,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,337900000,501800000,610000000,- -
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,610000000,379900000
4,Gross Profit Ratio,- -,- -,1.0000,Infinity
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,217300000,269600000,208000000,- -
7,Selling and Marketing Exp.,67900000,168600000,- -,- -
8,"Selling, General and Administrative Exp.",285200000,438200000,208000000,- -
9,Other Expenses,- -,- -,385000000,- -
10,Operating Expenses,- -,- -,593000000,- -
11,COGS and Expenses,345200000,510600000,593000000,- -
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),21400000,21200000,-22000000,- -
14,Depreciation and Amortization,43000000,66000000,62300000,70700000
15,EBITDA,35700000,58800000,26300000,- -
16,EBITDA ratio,0.1057,0.1172,0.0431,- -
17,Operating Income,-7300000,-8800000,17600000,43600000
18,Operating Income ratio,-0.0216,-0.0175,0.0289,Infinity
19,Total Other Income Expenses (Gains),-21400000,-19600000,-30600000,- -
20,Income Before Tax,-28700000,-28400000,-13000000,- -
21,Income Before Tax Ratio,-0.0849,-0.0566,-0.0213,- -
22,Income Tax expense (Gain),200000,100000,- -,- -
23,Net Income,-28900000,-28500000,-14000000,2500000
24,Net Income ratio,-0.0855,-0.0568,-0.0230,Infinity
25,EPS,-0.18,-0.19,-0.09,0.12
26,EPS Diluted,-0.18,-0.19,-0.09,0.11
27,Weighted Average Shares Outstanding,164258449,164258449,165834981,168662126
28,Weighted Average Shares Outstanding Diluted,164258449,164258449,165834981,172064800
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1828182/000182818221000006/0001828182-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1828182/000182818222000018/0001828182-22-000018-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,20400000,27700000,72000000,678000000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,20400000,27700000,72000000,678000000
34,Net Receivables,40900000,206400000,270000000,- -
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,3300000,29400000,47000000,- -
37,Total Current Assets,64600000,263500000,389000000,- -
38,PP&E,7000000,19300000,25000000,- -
39,Goodwill,122500000,578800000,596000000,- -
40,Intangible Assets,406000000,528500000,506000000,- -
41,Intangible Assets,528500000,1107300000,1102000000,- -
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,38800000
44,Other Non-Current Assets,1600000,2300000,- -,- -
45,Total Non-Current Assets,537100000,1128900000,1127000000,- -
46,Other Assets,- -,- -,- -,2127000000
