,https://roic.ai/company/KZIA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,19324458,26746478,58914316,19593262,32928170,16345583,17606619,13504500,17313615,13275212,11147000,9908000,2025000,1513000,1067000,- -,- -,- -,- -,- -,- -,- -,15183000
2,COGS,31758024,7109951,100824923,7587926,7172752,4724314,4646574,5447080,6952563,4087816,2523000,2216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-12433566,19636528,-41910607,12005336,25755418,11621269,12960045,8057420,10361052,9187396,8624000,7692000,2025000,1513000,1112000,87000,89000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-0.6434,0.7342,-0.7114,0.6127,0.7822,0.7110,0.7361,0.5966,0.5984,0.6921,0.7737,0.7763,1.0000,1.0000,1.0422,Infinity,Infinity,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,3595248,5925796,- -,7857909,8222025,8211410,10175773,12018075,16151121,18800192,18788000,8093000,3902000,5403000,256000,2134000,4397000,7028000,2727000,7574000,5045000,8526000,14541000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6671000,10631000,9562000,5789000,2850000,4267000,3843000,5761000,7764000,5598000,3786000,3690000,7022000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6913000,4196000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13584000,14827000,9562000,5789000,2850000,4267000,3843000,5761000,7764000,5598000,3786000,3690000,7022000
9,Other Expenses,2097228,27366191,- -,23147438,28033543,15794913,14957429,18343803,21225537,16216433,27000,- -,- -,- -,- -,- -,-99000,-18000,-137000,-685000,-9000,-22000,-2000
10,Operating Expenses,5692476,33291987,- -,31005347,36255567,24006323,25133203,30361879,37376658,35016625,32399000,22920000,13464000,11192000,3106000,6401000,8141000,12771000,10354000,12487000,8822000,12194000,21561000
11,COGS and Expenses,37450500,40401938,100824923,38593274,43428319,28730637,29779776,35808959,44329221,39104442,34922000,25136000,13464000,11192000,3106000,6401000,8141000,12771000,10354000,12487000,8822000,12194000,21561000
12,Interest Income ,- -,- -,- -,- -,- -,1224345,1314103,1460820,- -,- -,- -,- -,- -,- -,45000,87000,89000,406000,249000,119000,100000,66000,42000
13,Interest Expense (Gain),- -,- -,- -,344583,- -,118716,56394,52557,2358,24040,11000,15000,18000,- -,132000,715000,69000,- -,765000,- -,- -,- -,- -
14,Depreciation and Amortization,1348218,- -,- -,1854353,1881864,1710651,1619678,1389396,976212,353281,282000,198000,83000,25000,336000,572000,575000,643000,1420000,1547000,1084000,1084000,1265000
15,EBITDA,-15729210,-13655460,-42590598,-12419190,-8539626,-10672973,-10552168,-14782044,-19025523,-19870487,-18634000,-12122000,-6396000,1334000,-563000,-5742000,-7477000,-11722000,-8668000,-15494000,-5865000,-10473000,-7641000
