,https://roic.ai/company/STM,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3554400000,4122360000,4019145000,4247752000,5056276000,7813203000,6356896000,5056000000,7238000000,8760000000,8882000000,9854000000,10001000000,9842000000,8510000000,10346000000,9735000000,8493000000,8082000000,7404000000,6897000000,6973000000,8347000000,9664000000,9556000000,10219000000,12761000000
2,COGS,1703600000,2414706000,2457386000,2622943000,3054476000,4216921000,4046999000,3054000000,4672000000,5532000000,5845000000,6331000000,6465000000,6282000000,5884000000,6331000000,6161000000,5710000000,5468000000,4906000000,4565000000,4518000000,5079000000,5803000000,5860000000,6430000000,7435000000
3,Gross Profit,1850800000,1707654000,1561759000,1624809000,2001800000,3596282000,2309897000,2002000000,2566000000,3228000000,3037000000,3523000000,3536000000,3560000000,2626000000,4015000000,3574000000,2783000000,2614000000,2498000000,2332000000,2455000000,3268000000,3861000000,3696000000,3789000000,5326000000
4,Gross Profit Ratio,0.5207,0.4142,0.3886,0.3825,0.3959,0.4603,0.3634,0.3960,0.3545,0.3685,0.3419,0.3575,0.3536,0.3617,0.3086,0.3881,0.3671,0.3277,0.3234,0.3374,0.3381,0.3521,0.3915,0.3995,0.3868,0.3708,0.4174
5,Research and Development Exp.,- -,532294000,610847000,689785000,835964000,1026348000,977931000,-836000000,-1238000000,-1532000000,-1630000000,-1667000000,-1802000000,-2152000000,-2365000000,-2350000000,-2352000000,-2413000000,-1816000000,-1520000000,-1425000000,-1336000000,-1302000000,-1398000000,-1498000000,1548000000,1723000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,-534000000,-785000000,-947000000,-1026000000,-1067000000,-1099000000,-1187000000,-1159000000,-1175000000,-1210000000,-1166000000,-1066000000,-927000000,-897000000,-911000000,-983000000,-1095000000,-1093000000,1121000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",853400000,421012000,454311000,488072000,534178000,703675000,641443000,648000000,785000000,947000000,1026000000,1067000000,1099000000,1187000000,1159000000,1175000000,1210000000,1166000000,1066000000,927000000,897000000,911000000,983000000,1095000000,1093000000,1109000000,1323000000
9,Other Expenses,392400000,-45074000,-23218000,-76458000,108248000,83533000,-326490000,1851000000,2480000000,3054000000,3269000000,3369000000,3510000000,4242000000,4564000000,4610000000,4595000000,4729000000,3584000000,2817000000,2704000000,2573000000,2540000000,2757000000,2877000000,-219000000,- -
10,Operating Expenses,1245800000,908232000,1041940000,1101399000,1478390000,1813556000,1292884000,1663000000,2027000000,2469000000,2665000000,2769000000,2807000000,3277000000,3358000000,3435000000,3453000000,3482000000,2834000000,2224000000,2176000000,2148000000,2221000000,2454000000,2472000000,2438000000,3046000000
11,COGS and Expenses,2949400000,3322938000,3499326000,3724342000,4532866000,6030477000,5339883000,1724000000,2440000000,2987000000,3052000000,3485000000,2384000000,2524000000,2235000000,2792000000,2633000000,846000000,2389000000,2576000000,2243000000,2271000000,2794000000,3310000000,3269000000,8868000000,10481000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000000,59000000,31000000,- -,41000000,18000000,12000000,18000000,20000000,30000000,47000000,55000000,34000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,50000000,34000000,25000000,76000000,23000000,30000000,40000000,40000000,52000000,54000000,54000000,54000000,29000000
14,Depreciation and Amortization,392400000,535908000,608123000,704004000,806789000,1137257000,1398934000,1382000000,1608000000,1837000000,1944000000,1766000000,1413000000,171349000000,243048000000,1240000000,1279000000,1107000000,910000000,811000000,736000000,736000000,650000000,791000000,854000000,923000000,1045000000
15,EBITDA,1027200000,1333090000,1127694000,1235476000,1511255000,2964479000,1717061000,1772000000,1875000000,2370000000,2202000000,2568000000,959000000,170687000000,241602000000,1965000000,1278000000,-1056000000,267000000,993000000,907000000,915000000,1369000000,2042000000,1785000000,2242000000,3405000000
