,https://roic.ai/company/NSFDF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,1,2,833715,- -,57740,56544,1114181,5326280,2955062,3684323,443011,144650,10937575,2684095,3913367,17422151,1447269,470982,- -,11976149,136566
2,COGS,- -,-134715,749495,2573574,243113,- -,6894,5491,5539,781689,215196,1595468,466428,46713,3633645,1632159,431518,5095691,1157185,3657987,2894213,4392267,2872393
3,Gross Profit,- -,134716,-749494,-2573573,590602,- -,50846,51053,1108642,4544591,2739866,2088855,-23417,97937,7303930,1051936,3481849,12326460,290084,-3187005,-2894213,7583882,-2735827
4,Gross Profit Ratio,- -,93015.0000,-499829.0000,-1616586.0000,0.7084,- -,0.8806,0.9029,0.9950,0.8532,0.9272,0.5670,-0.0529,0.6771,0.6678,0.3919,0.8897,0.7075,0.2004,-6.7667,-Infinity,0.6332,-20.0330
5,Research and Development Exp.,387109,394654,552189,666119,240652,- -,- -,3484200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3678803,4241139,4256621,3562943,4773506,4604787,4790108,6130690,6435959,5542317,4385243,3541594,3341010
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3678803,4241139,4256621,3562943,4773506,4604787,4790108,6130690,6435959,5542317,4385243,3541594,3341010
9,Other Expenses,1663433,2483718,3217126,3647694,8893006,2554789,3684269,3967003,4177895,3989438,175985,175900,168157,160478,125015,85484,67162,704943,2104864,- -,- -,- -,- -
10,Operating Expenses,2050542,2878372,3769316,4313814,9133659,2554789,3684269,7451203,4177895,3989438,3854788,4417039,4424778,3723421,4898521,4690271,4857270,6835633,8540823,5542317,4385243,3541594,3341010
11,COGS and Expenses,2050542,2743657,4518811,6887388,9376771,2554789,3691164,7456694,4183434,4771128,4069984,6012507,4891206,3770134,8532166,6322430,5288788,11931324,9698008,9200304,7279456,7933861,6213403
12,Interest Income ,322982,- -,536046,176869,31703,2840,- -,- -,4532,103139,234007,80633,9923,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),22002,- -,28901,243532,111735,- -,638,1715366,1325632,75321,- -,- -,- -,- -,- -,- -,- -,- -,- -,4485,- -,- -,- -
14,Depreciation and Amortization,204943,383095,514666,536376,377466,73483,69640,747670,1284103,206433,171613,173585,164065,160478,125015,85484,67162,704943,2104864,1897576,1790267,1781181,1780806
