,https://roic.ai/company/LGF-A,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,45700000,78700000,184500000,187800000,272600000,264900000,375900000,838100000,945400000,976700000,1361000000,1466400000,1489500000,1582700000,1587600000,2708100000,2630300000,2399640000,2347419000,3201500000,4129100000,3680500000,3890000000,3271500000
2,COGS,35100000,61800000,151600000,104100000,160000000,133900000,181300000,353800000,457000000,435900000,660900000,793800000,778000000,795700000,908400000,1390600000,1369400000,1315775000,1415344000,1903800000,2309700000,2005400000,2137600000,1725900000
3,Gross Profit,10600000,16900000,32900000,83700000,112600000,131000000,194600000,484300000,488400000,540800000,700100000,672600000,711500000,787000000,679200000,1317500000,1260900000,1083865000,932075000,1297700000,1819400000,1675100000,1752400000,1545600000
4,Gross Profit Ratio,0.2319,0.2147,0.1783,0.4457,0.4131,0.4945,0.5177,0.5779,0.5166,0.5537,0.5144,0.4587,0.4777,0.4973,0.4278,0.4865,0.4794,0.4517,0.3971,0.4053,0.4406,0.4551,0.4505,0.4724
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7400000,15700000,21300000,59500000,111000000,116700000,249900000,433500000,469200000,495200000,754700000,806100000,649200000,718600000,652400000,1036200000,994400000,854998000,944021000,1162200000,1352000000,1280900000,1434900000,486600000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,719300000
8,"Selling, General and Administrative Exp.",7400000,15700000,21300000,59500000,111000000,116700000,249900000,433500000,469200000,495200000,754700000,806100000,649200000,718600000,652400000,1036200000,994400000,854998000,944021000,1162200000,1352000000,1280900000,1434900000,1205900000
9,Other Expenses,1193577,62823616,156929186,100134787,2338281,17422000,33141000,3400000,-1943000,2778000,4020000,7677000,75162000,5844000,4253000,8293000,6525000,6586000,13084000,63100000,159000000,163400000,201900000,188500000
10,Operating Expenses,8593577,78523616,178229186,159634787,113338281,134122000,283041000,436900000,467257000,497978000,758720000,813777000,724362000,724444000,656653000,1044493000,1000925000,861584000,957105000,1225300000,1511000000,1444300000,1636800000,1394400000
11,COGS and Expenses,43693577,140323616,329829186,263734787,273338281,268022000,464341000,790700000,924257000,933878000,1419620000,1607577000,1502362000,1520144000,1565053000,2435093000,2370325000,2177359000,2372449000,3129100000,3820700000,3449700000,3774400000,3120300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5785000,1573000,1742000,2752000,4036000,6030000,2790000,1851000,6400000,10400000,12000000,8800000,5800000
