,https://roic.ai/company/ELA,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25900000,45500000,15600000,11300000,14800000,13200000,13200000,13800000,12900000,15800000,21700000,24969467,21116809,22019804,26209342,28642217,35639571,44082906,62966805,105219060,85369679,82567921,149627353,127876610,108541687,70742755,60917739,48326609,61994918,54056343,82024497,113922015,96719259
2,COGS,24200000,43300000,13800000,9800000,13000000,11100000,10900000,10500000,10500000,13300000,17200000,18949742,16039658,16630571,20394019,22743073,29117784,36848382,51730886,91237578,73105758,70769750,128243735,103592557,88780096,58091288,51191895,40018762,50706094,44376620,65768655,90853052,84111097
3,Gross Profit,1700000,2200000,1800000,1500000,1800000,2100000,2300000,3300000,2400000,2500000,4500000,6019725,5077151,5389233,5815323,5899144,6521787,7234524,11235919,13981482,12263921,11798171,21383618,24284053,19761591,12651467,9725844,8307847,11288824,9679723,16255842,23068963,12608162
4,Gross Profit Ratio,0.0656,0.0484,0.1154,0.1327,0.1216,0.1591,0.1742,0.2391,0.1860,0.1582,0.2074,0.2411,0.2404,0.2447,0.2219,0.2060,0.1830,0.1641,0.1784,0.1329,0.1437,0.1429,0.1429,0.1899,0.1821,0.1788,0.1597,0.1719,0.1821,0.1791,0.1982,0.2025,0.1304
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1700000,1900000,1600000,1600000,1300000,1600000,2000000,1800000,1800000,2200000,3600000,5467265,4640769,4645978,4512723,4699107,5349010,5772422,9725448,9841806,10753717,11096407,14977359,24802391,21438488,12670968,11149194,10345557,8983152,8701499,12494510,15553274,7628377
9,Other Expenses,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,200000,387963,427676,202986,160131,148327,145337,139315,253617,484832,410838,494911,429481,696477,729958,382565,535222,403716,320744,286747,520298,728626,- -
