,https://roic.ai/company/BVS,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,319177000,340141000,321161000,130414000
2,COGS,- -,- -,- -,84168000,90935000,87642000,42646000
3,Gross Profit,- -,- -,- -,235009000,249206000,233519000,87768000
4,Gross Profit Ratio,- -,- -,- -,0.7363,0.7327,0.7271,0.6730
5,Research and Development Exp.,- -,- -,- -,8095000,11055000,11202000,7103000
6,General and Administrative Exp.,- -,- -,- -,191672000,198475000,193078000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",148441000,- -,- -,191672000,198475000,193078000,80881000
9,Other Expenses,- -,- -,- -,7876000,7908000,7439000,- -
10,Operating Expenses,- -,- -,- -,207643000,217438000,211719000,87984000
11,COGS and Expenses,- -,- -,- -,291811000,308373000,299361000,130630000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,19171000,21579000,9751000,960000
14,Depreciation and Amortization,33078000,- -,- -,29238000,30316000,28643000,11690000
15,EBITDA,- -,- -,- -,37866000,60322000,55997000,8032000
16,EBITDA ratio,- -,- -,- -,0.1186,0.1773,0.1744,0.0616
17,Operating Income,-16588000,- -,- -,25504000,31193000,21237000,12061000
18,Operating Income ratio,-Infinity,- -,- -,0.0799,0.0917,0.0661,0.0925
19,Total Other Income Expenses (Gains),- -,- -,- -,-19397000,-21504000,-5323000,-16679000
20,Income Before Tax,- -,- -,- -,6107000,9689000,15914000,-4618000
21,Income Before Tax Ratio,- -,- -,- -,0.0191,0.0285,0.0496,-0.0354
22,Income Tax expense (Gain),- -,- -,- -,1664000,1576000,1192000,-4254000
23,Net Income,- -,- -,- -,-12207000,6851000,16411000,-364000
24,Net Income ratio,- -,- -,- -,-0.0382,0.0201,0.0511,-0.0028
25,EPS,-0.69,- -,- -,-0.22,0.12,0.44,-0.01
26,EPS Diluted,-0.69,- -,- -,-0.22,0.12,0.44,-0.01
27,Weighted Average Shares Outstanding,55625326,- -,- -,55625326,55625326,37697158,37697158
28,Weighted Average Shares Outstanding Diluted,55625326,- -,- -,55625326,55625326,37697158,37697158
29,SEC Link,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1665988/000162828021005771/0001628280-21-005771-index.htm,https://www.sec.gov/Archives/edgar/data/1665988/000162828022005816/0001628280-22-005816-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,4950000,- -,- -,42774000,64520000,86839000,43933000
32,Short-Term Investments,- -,- -,- -,- -,- -,19382000,- -
33,Cash and Short-Term Investments,4950000,- -,- -,42774000,64520000,106221000,43933000
34,Net Receivables,54511000,- -,- -,72569000,85128000,88283000,124963000
35,Inventory,35178000,- -,- -,27396000,27326000,29120000,61688000
36,Other Current Assets,4788000,- -,- -,5615000,6059000,-11830000,32519000
37,Total Current Assets,99427000,- -,- -,148354000,183033000,211794000,263103000
38,PP&E,9602000,- -,- -,4759000,19756000,21840000,40171000
39,Goodwill,58694000,- -,- -,49800000,49800000,49800000,147623000
40,Intangible Assets,319152000,- -,- -,237029000,216510000,191650000,695193000
41,Intangible Assets,377846000,- -,- -,286829000,266310000,241450000,842816000
42,Investments,- -,- -,- -,2781000,3308000,19382000,- -
43,Tax Assets,84000,- -,- -,- -,- -,- -,481000
44,Other Non-Current Assets,393000,- -,- -,- -,- -,- -,79291000
45,Total Non-Current Assets,387925000,- -,- -,294369000,289374000,282672000,962759000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,487352000,- -,- -,442723000,472407000,494466000,1225862000
48,Accounts Payable,8368000,- -,- -,8207000,6440000,4422000,16915000
49,Short-Term Debt,37684000,- -,- -,5250000,10000000,15000000,18038000
50,Tax Payable,2656000,- -,- -,2032000,2555000,2434000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,41638000,- -,- -,51971000,72575000,103167000,145906000
53,Total Current Liabilities,87690000,- -,- -,65428000,89015000,122589000,180859000
54,Long-Term Debt,149607000,- -,- -,189578000,187965000,173378000,339644000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,133518000
56,Deferred Tax Liabilities,8780000,- -,- -,3955000,3874000,3362000,133518000
57,Other Non-Current Liabilities,48937000,- -,- -,38495000,45936000,50977000,-95466000
58,Total Non-Current Liabilities,207324000,- -,- -,232028000,237775000,227717000,511214000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,2422000,- -,- -,- -,- -,- -,- -
61,Total Liabilities,295014000,- -,- -,297456000,326790000,350306000,692073000
62,Preferred Stock,168000000,- -,- -,- -,- -,- -,- -
63,Common Stock,113373000,- -,- -,285153000,285147000,285173000,75000
64,Retained Earnings,-91840000,- -,- -,-139821000,-141700000,-144539000,-6602000
65,Other Comprehensive Income/Loss,-650000,- -,- -,-65000,-465000,1607000,179000
66,Other Total Stockholders Equity,3455000,- -,- -,- -,- -,- -,540137000
67,Total Stockholders Equity,192338000,- -,- -,145267000,142982000,142241000,533789000
68,Total Liabilities And Stockholders Equity,487352000,- -,- -,442723000,469772000,492547000,1225862000
69,Minority Interest,- -,- -,- -,- -,2635000,1919000,- -
70,Total Liabilities & Equity,487352000,- -,- -,442723000,472407000,494466000,1225862000
71,SEC Link,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1665988/000162828021005771/0001628280-21-005771-index.htm,https://www.sec.gov/Archives/edgar/data/1665988/000162828022005816/0001628280-22-005816-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,- -,- -,-12207000,6851000,16411000,-364000
74,Depreciation and Amortization,33078000,- -,- -,29238000,30316000,28643000,11690000
75,Deferred Income Tax,-432000,- -,- -,-79000,-348000,-511000,-8053000
76,Stock Based Compensation,- -,- -,- -,14325000,10844000,10103000,6109000
77,Change in Working Capital,-31338000,- -,- -,71189000,11092000,-4813000,-6961000
78,Accounts Receivable,-11266000,- -,- -,-12130000,-14909000,-3941000,- -
79,Inventory,-5729000,- -,- -,3256000,-1427000,-528000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,11737000,- -,- -,82926000,94018000,89205000,82244000
82,Other Non-Cash Items,17612000,- -,- -,-57279000,-18042000,21966000,10696000
83,Cash Provided by Operating Activities,18920000,- -,- -,45187000,40713000,71799000,13117000
