,https://roic.ai/company/SVFD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,460089,351399,522104,- -,- -,- -,- -,426591,175823,232274,438141
2,COGS,- -,- -,- -,- -,- -,- -,- -,111091,144548,43405,135943
3,Gross Profit,460089,351399,522104,- -,- -,- -,- -,315500,31275,188869,302198
4,Gross Profit Ratio,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.7396,0.1779,0.8131,0.6897
5,Research and Development Exp.,698300,689070,714240,- -,- -,- -,- -,357077,615623,-417000,-538684
6,General and Administrative Exp.,296997,294132,217865,- -,- -,- -,- -,317174,994165,-1070109,4266854
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,140727,342058,-51105,-200299
8,"Selling, General and Administrative Exp.",296997,294132,217865,- -,- -,- -,- -,457901,1336223,-1121214,4066555
9,Other Expenses,1983,923,667,- -,- -,- -,- -,19181,10734,- -,- -
10,Operating Expenses,997280,984125,932772,- -,- -,- -,- -,834159,1962580,-1538214,3527871
11,COGS and Expenses,997280,984125,932772,- -,- -,- -,- -,945250,2107128,1581619,3663814
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),69675,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,8693,7368,8442,- -,- -,- -,- -,75591,27351,45205,57195
15,EBITDA,-528498,-688374,-460370,- -,- -,- -,- -,-281302,-1944066,-1561375,-4763385
16,EBITDA ratio,-1.1487,-1.9590,-0.8818,- -,- -,- -,- -,-0.6594,-11.0569,-6.7221,-10.8718
17,Operating Income,-537191,-632726,-410668,- -,- -,- -,- -,-518659,-1931305,-1349345,-3225673
18,Operating Income ratio,-1.1676,-1.8006,-0.7866,- -,- -,- -,- -,-1.2158,-10.9844,-5.8093,-7.3622
19,Total Other Income Expenses (Gains),- -,-63016,-58144,- -,- -,- -,- -,73674,-59098,-257235,-1594907
20,Income Before Tax,- -,-695742,-468812,- -,- -,- -,- -,-444985,-1990403,-1606580,-4820580
21,Income Before Tax Ratio,- -,-1.9799,-0.8979,- -,- -,- -,- -,-1.0431,-11.3205,-6.9167,-11.0023
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-606866,-695742,-468812,- -,- -,- -,- -,-356893,-1971417,-1606580,-4820580
24,Net Income ratio,-1.3190,-1.9799,-0.8979,- -,- -,- -,- -,-0.8366,-11.2125,-6.9167,-11.0023
25,EPS,-7.35,-8.40,-6.30,- -,- -,- -,- -,-0.35,-1.40,-1.05,-3.17
26,EPS Diluted,-7.35,-8.40,-6.30,- -,- -,- -,- -,-0.35,-1.40,-1.05,-3.17
27,Weighted Average Shares Outstanding,78956,81438,87527,- -,- -,- -,- -,952326,1423975,1518664,1518664
28,Weighted Average Shares Outstanding Diluted,78956,81438,87527,- -,- -,- -,- -,952326,1423975,1518664,1518664
29,SEC Link,- -,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1789192/000149315221007020/0001493152-21-007020-index.htm,https://www.sec.gov/Archives/edgar/data/1789192/000149315222008526/0001493152-22-008526-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,22446,33484,13082,- -,- -,- -,- -,439806,290815,242900,6750938
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
