,https://roic.ai/company/AVNT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1261200000,1887800000,2654600000,2498200000,1964500000,2161500000,2450600000,2622400000,2642700000,2738700000,2060700000,2621900000,2863500000,2992600000,3771200000,3835500000,3377600000,3339800000,3229900000,3533400000,2862700000,3242100000,4818800000
2,COGS,1028900000,1598800000,2223000000,2098200000,1664700000,1837500000,2153500000,2282700000,2337300000,2442100000,1720200000,2193000000,2400800000,2428300000,3109000000,3127600000,2696100000,2633600000,2510900000,2788500000,2205500000,2457800000,3719200000
3,Gross Profit,232300000,289000000,431600000,400000000,299800000,324000000,297100000,339700000,305400000,296600000,340500000,428900000,462700000,564300000,662200000,707900000,681500000,706200000,719000000,744900000,657200000,784300000,1099600000
4,Gross Profit Ratio,0.1842,0.1531,0.1626,0.1601,0.1526,0.1499,0.1212,0.1295,0.1156,0.1083,0.1652,0.1636,0.1616,0.1886,0.1756,0.1846,0.2018,0.2114,0.2226,0.2108,0.2296,0.2419,0.2282
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,97400000,191500000,304200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540500000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,54500000,- -
8,"Selling, General and Administrative Exp.",97400000,191500000,304200000,302600000,243800000,201200000,178200000,201300000,241800000,287100000,272300000,296600000,381700000,420600000,457600000,552800000,430600000,424300000,441500000,471200000,500400000,595000000,718400000
9,Other Expenses,35200000,23200000,138600000,58500000,60000000,3200000,-21400000,-51800000,29700000,- -,- -,42000000,-152000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,132600000,214700000,442800000,361100000,303800000,204400000,156800000,149500000,271500000,287100000,272300000,338600000,229700000,420600000,457600000,552800000,430600000,424300000,441500000,471200000,500400000,595000000,718400000
11,COGS and Expenses,1161500000,1813500000,2665800000,2459300000,1968500000,2041900000,2310300000,2432200000,2608800000,2729200000,1992500000,2531600000,2630500000,2848900000,3566600000,3680400000,3126700000,3057900000,2952400000,3259700000,2705900000,3052800000,4437600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,40600000,34300000,31500000,33700000,50800000,63500000,62200000,64100000,59800000,60800000,62800000,59500000,74600000,75300000
14,Depreciation and Amortization,44400000,57400000,91300000,72500000,51400000,50900000,50700000,57100000,57400000,68000000,64800000,55200000,57500000,69800000,109800000,123900000,115700000,105900000,98300000,91500000,87500000,115000000,145900000
15,EBITDA,216900000,83500000,19600000,8400000,-187400000,88000000,104200000,174300000,25000000,-62500000,153600000,197700000,289900000,233700000,475200000,276500000,347400000,388200000,140100000,350500000,769300000,326400000,526000000
16,EBITDA ratio,0.1720,0.0442,0.0074,0.0034,-0.0954,0.0407,0.0425,0.0665,0.0095,-0.0228,0.0745,0.0754,0.1012,0.0781,0.1260,0.0721,0.1029,0.1162,0.0434,0.0992,0.2687,0.1007,0.1092
17,Operating Income,99700000,64800000,-17100000,38900000,-4000000,119600000,140300000,190200000,33900000,-129300000,98400000,174300000,233000000,167100000,231500000,155100000,250900000,281900000,277500000,273700000,156800000,189300000,381200000
18,Operating Income ratio,0.0791,0.0343,-0.0064,0.0156,-0.0020,0.0553,0.0573,0.0725,0.0128,-0.0472,0.0478,0.0665,0.0814,0.0558,0.0614,0.0404,0.0743,0.0844,0.0859,0.0775,0.0548,0.0584,0.0791
19,Total Other Income Expenses (Gains),74300000,-38700000,-54600000,-50700000,-79000000,-87400000,-71500000,-70300000,-66300000,-41800000,-43900000,-63300000,-34300000,-54100000,-80500000,-66700000,-83200000,-59600000,-65200000,-76500000,-47400000,-50300000,-76600000
20,Income Before Tax,174000000,26100000,-71700000,-11800000,-83000000,32200000,68800000,119900000,-32400000,-171100000,54500000,111000000,198700000,113000000,151000000,88400000,167700000,222300000,212300000,197200000,109400000,139000000,304600000
21,Income Before Tax Ratio,0.1380,0.0138,-0.0270,-0.0047,-0.0422,0.0149,0.0281,0.0457,-0.0123,-0.0625,0.0264,0.0423,0.0694,0.0378,0.0400,0.0230,0.0497,0.0666,0.0657,0.0558,0.0382,0.0429,0.0632
22,Income Tax expense (Gain),67800000,10200000,-25600000,-5200000,12300000,13600000,6600000,-6000000,-43800000,101800000,-13300000,-51600000,26100000,41200000,58100000,11200000,23000000,57300000,38700000,36400000,33700000,5200000,74000000
23,Net Income,104700000,15900000,-46100000,-58900000,-251100000,23500000,46900000,123200000,11400000,-272900000,67800000,162600000,172600000,71900000,243800000,79200000,144600000,165200000,-57700000,159800000,588600000,131600000,230800000
24,Net Income ratio,0.0830,0.0084,-0.0174,-0.0236,-0.1278,0.0109,0.0191,0.0470,0.0043,-0.0996,0.0329,0.0620,0.0603,0.0240,0.0646,0.0206,0.0428,0.0495,-0.0179,0.0452,0.2056,0.0406,0.0479
25,EPS,2.25,0.26,-0.51,-0.65,-2.76,0.26,0.51,1.33,0.12,-2.94,0.54,1.75,1.87,0.81,2.55,0.86,1.65,1.97,-0.71,2.01,7.62,1.46,2.56
