,https://roic.ai/company/TCMFF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3172665340,3182981670,3226000000,3048741400,3987880500,3768326750,4527345950,5715704130,7425681600,9078002190,10608000000,12226000000,14659000000,18553000000,22117000000,27287000000,33341000000,40496000000,53240000000,65186000000,168046000000,237024000000,301596000000,- -
2,COGS,807938380,775022490,896000000,1488338300,2877331500,2651025200,2972650000,3701425780,4503198000,4965960240,5648000000,6099000000,2584000000,3160000000,5859000000,8180000000,10405000000,11902000000,15201000000,17289000000,43609000000,62907000000,75567000000,- -
3,Gross Profit,2364726960,2407959180,2330000000,1560403100,1110549000,1117301550,1554695950,2014278350,2922483600,4112041950,4960000000,6127000000,12075000000,15393000000,16258000000,19107000000,22936000000,28594000000,38039000000,47897000000,124437000000,174117000000,226029000000,- -
4,Gross Profit Ratio,0.7453,0.7565,0.7223,0.5118,0.2785,0.2965,0.3434,0.3524,0.3936,0.4530,0.4676,0.5011,0.8237,0.8297,0.7351,0.7002,0.6879,0.7061,0.7145,0.7348,0.7405,0.7346,0.7494,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1583777800,- -,368000000,449000000,4258000000,4940000000,3814000000,4859000000,6493000000,8476000000,11392000000,14635000000,33369000000,48523000000,60478000000,91823000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,226691600,- -,2551000000,2916000000,1141000000,2114000000,2609000000,2859000000,3286000000,4007000000,4723000000,4849000000,11210000000,14612000000,17252000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1810469400,- -,2919000000,3365000000,5399000000,7054000000,6423000000,7718000000,9779000000,12483000000,16115000000,19484000000,44579000000,63135000000,77730000000,- -
9,Other Expenses,1547890360,1662033780,1699000000,1149033200,1315832300,1008797200,1361473700,2935091310,202184400,2391601410,- -,- -,3288000000,4212000000,5512000000,6314000000,7193000000,9081000000,12425000000,14855000000,56720000000,88466000000,119554000000,- -
10,Operating Expenses,1547890360,1662033780,1699000000,1149033200,1315832300,1008797200,1361473700,2935091310,2012653800,2391601410,2919000000,3365000000,8687000000,11266000000,11935000000,14032000000,16972000000,21564000000,28540000000,34339000000,101299000000,151601000000,197284000000,- -
11,COGS and Expenses,2355828740,2437056270,2595000000,2637371500,4193163800,3659822400,4334123700,6636517090,6515851800,7357561650,8567000000,9464000000,11271000000,14426000000,17794000000,22212000000,27377000000,33466000000,43741000000,51628000000,144908000000,214508000000,272851000000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,158000000,234000000,383000000,743000000,440000000,203000000,374000000,768000000,1898000000,2842000000,- -,- -
13,Interest Expense (Gain),214957000,236976300,300000000,229206100,848055600,665688850,752080450,672435780,349227600,270985140,- -,173000000,184000000,140000000,111000000,111000000,198000000,757000000,1895000000,1344000000,5146000000,12520000000,15723000000,- -
14,Depreciation and Amortization,777944380,763023690,833000000,830747000,2089851300,1885629650,1658738700,1499350050,1387720200,1414794510,1289000000,1138000000,1712000000,1556000000,2612000000,2873000000,3243000000,4438000000,6198000000,6928000000,33021000000,57214000000,82218000000,- -
15,EBITDA,1574784980,1504949490,1489000000,1158041300,-2719162400,2900291950,1765754100,3625701030,1963639400,2861098920,2785000000,3513000000,4907000000,5604000000,6871000000,7978000000,9081000000,10290000000,13662000000,19804000000,40623000000,79508000000,100477000000,- -
16,EBITDA ratio,0.4964,0.4728,0.4616,0.3798,-0.6819,0.7696,0.3900,0.6343,0.2644,0.3152,0.2625,0.2873,0.3347,0.3021,0.3107,0.2924,0.2724,0.2541,0.2566,0.3038,0.2417,0.3354,0.3332,- -
17,Operating Income,816836600,745925400,631000000,412370800,-201918000,108504350,404280400,502812340,909829800,1635363810,2041000000,2762000000,3162000000,3857000000,3966000000,4518000000,5443000000,6229000000,7843000000,12112000000,21257000000,15795000000,20294000000,-2787000000
18,Operating Income ratio,0.2575,0.2343,0.1956,0.1353,-0.0506,0.0288,0.0893,0.0880,0.1225,0.1801,0.1924,0.2259,0.2157,0.2079,0.1793,0.1656,0.1633,0.1538,0.1473,0.1858,0.1265,0.0666,0.0673,-Infinity
19,Total Other Income Expenses (Gains),-234953000,-240975900,-275000000,-314282600,-5455151300,258064400,-1052318100,960189830,-661694400,-538819290,-533000000,-545000000,-137000000,80000000,229000000,528000000,253000000,-1102000000,-2244000000,-486000000,-18559000000,-5513000000,-17147000000,- -
20,Income Before Tax,581883600,504949500,356000000,98088200,-5657069300,366568750,-648037700,1463002170,248135400,1096544520,1508000000,2217000000,3025000000,3937000000,4195000000,5046000000,5696000000,5127000000,5599000000,11626000000,2698000000,10282000000,3147000000,- -
21,Income Before Tax Ratio,0.1834,0.1586,0.1104,0.0322,-1.4186,0.0973,-0.1431,0.2560,0.0334,0.1208,0.1422,0.1813,0.2064,0.2122,0.1897,0.1849,0.1708,0.1266,0.1052,0.1784,0.0161,0.0434,0.0104,- -
22,Income Tax expense (Gain),207958400,146985300,85000000,51045900,-1295640500,-5865100,26753850,121159600,-18380400,293042070,535000000,797000000,1076000000,1395000000,1463000000,1792000000,1967000000,1692000000,1594000000,3902000000,-2838000000,14170000000,8251000000,- -
23,Net Income,373925200,357964200,271000000,47042300,-4361428800,354838550,-671818900,1332755600,245072000,882277200,961000000,1405000000,1935000000,2513000000,2685000000,3202000000,3673000000,3403000000,3975000000,7630000000,5294000000,-4396000000,-5715000000,- -
24,Net Income ratio,0.1179,0.1125,0.0840,0.0154,-1.0937,0.0942,-0.1484,0.2332,0.0330,0.0972,0.0906,0.1149,0.1320,0.1354,0.1214,0.1173,0.1102,0.0840,0.0747,0.1170,0.0315,-0.0185,-0.0189,- -
25,EPS,0.38,0.36,0.28,0.00,-4.42,0.36,-0.68,1.36,0.25,0.90,0.98,1.43,1.85,2.46,2.73,3.27,3.79,3.51,4.10,4.21,2.46,-2.04,-2.65,4.02
26,EPS Diluted,0.38,0.36,0.28,0.00,-4.42,0.36,-0.68,1.36,0.25,0.90,0.98,1.43,1.85,2.46,2.73,3.27,3.79,3.51,4.10,4.21,2.46,-2.04,-2.65,4.02
27,Weighted Average Shares Outstanding,984091399,994256640,984380980,984380980,986660292,985647024,987917679,979081043,981197797,980000980,984380978,984380978,984324324,984380978,984380978,978939079,969159605,969159605,969159605,1810826263,2153688011,2153688011,2153688011,2153688011
28,Weighted Average Shares Outstanding Diluted,984091399,994256640,984380980,984380980,986660292,985647024,987917679,984380980,984380980,984380980,984380980,984380978,984324324,984380978,984380978,978939079,969159605,969159605,969159605,1810826263,2153688011,2153688011,2153688011,2153688011
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,87497800,23460400,32699150,45434850,30634000,44113860,36000000,62000000,1385000000,2818000000,3160000000,5224000000,825000000,870000000,3945000000,2831000000,6891000000,25582000000,18527000000,19849000000
