,https://roic.ai/company/CAAP,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,1187090000,1366336000,1575153000,1426145000,1558640000,607356000,706900000
2,COGS,- -,759155000,859074000,1029983000,971425000,1138425000,653583000,622300000
3,Gross Profit,- -,427935000,507262000,545170000,454720000,420215000,-46227000,84600000
4,Gross Profit Ratio,- -,0.3605,0.3713,0.3461,0.3188,0.2696,-0.0761,0.1197
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,104832000,105724000,186561000,162674000,158356000,57215000,60700000
7,Selling and Marketing Exp.,- -,3249000,2229000,- -,- -,- -,1564000,900000
8,"Selling, General and Administrative Exp.",- -,108081000,107953000,186561000,162674000,158356000,58779000,61600000
9,Other Expenses,- -,43658000,51130000,-14879000,-16486000,-35545000,-17057000,9739000
10,Operating Expenses,- -,151739000,159083000,171682000,146188000,122811000,41722000,71339000
11,COGS and Expenses,- -,910894000,1018157000,1304126000,1213502000,1423493000,695305000,693639000
12,Interest Income ,- -,12366000,19009000,39229000,27205000,31329000,17587000,17600000
13,Interest Expense (Gain),- -,69228000,118219000,-151056000,-164676000,-104101000,99018000,125500000
14,Depreciation and Amortization,- -,72247000,122882000,138130000,175829000,182270000,200788000,160633000
15,EBITDA,- -,291934000,331219000,97490000,32379000,104347000,32458000,237489000
16,EBITDA ratio,- -,0.2459,0.2424,0.0619,0.0227,0.0669,0.0534,0.3360
17,Operating Income,- -,273622000,331813000,369149000,298974000,223635000,-163698000,13193000
18,Operating Income ratio,- -,0.2305,0.2428,0.2344,0.2096,0.1435,-0.2695,0.0187
19,Total Other Income Expenses (Gains),- -,-222349000,-236736000,-255333000,-295472000,-212376000,-212490000,-103862000
20,Income Before Tax,- -,51273000,95077000,113816000,3502000,11259000,-376188000,-90669000
21,Income Before Tax Ratio,- -,0.0432,0.0696,0.0723,0.0025,0.0072,-0.6194,-0.1283
22,Income Tax expense (Gain),- -,44969000,56359000,46925000,14101000,17079000,-14295000,69111000
23,Net Income,- -,105490000,33759000,63491000,7125000,9099000,-253053000,-117755000
24,Net Income ratio,- -,0.0889,0.0247,0.0403,0.0050,0.0058,-0.4166,-0.1666
25,EPS,- -,0.71,0.23,0.40,0.04,0.06,-1.58,- -
26,EPS Diluted,- -,0.71,0.23,0.40,0.04,0.06,-1.58,- -
27,Weighted Average Shares Outstanding,- -,148118000,148117500,160022262,178125000,160022262,160612262,- -
28,Weighted Average Shares Outstanding Diluted,- -,148118000,148117500,160022262,178125000,160022262,160612262,- -
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1717393/000114420419020967/tv517979_20f.htm,https://www.sec.gov/Archives/edgar/data/1717393/000110465920044659/tm206795d1_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,254901000,184239000,212988000,221601000,244865000,195696000,281031000,375783000
32,Short-Term Investments,48822000,43168000,33936000,39796000,80979000,83754000,65402000,75299000
33,Cash and Short-Term Investments,303723000,227407000,246924000,261397000,325844000,279450000,346433000,451082000
34,Net Receivables,474677000,136345000,148025000,184135000,185064000,203753000,154173000,163578000
35,Inventory,22300000,8224000,7664000,8564000,9769000,11302000,8015000,11520000
36,Other Current Assets,12332000,22746000,104512000,125382000,12065000,13138000,11372000,137000
37,Total Current Assets,813032000,394722000,507125000,579478000,532742000,507643000,519993000,626317000
38,PP&E,191261000,71689000,65984000,74483000,74299000,87992000,94281000,88382000
39,Goodwill,50433000,56401000,55707000,56736000,56501000,55506000,5733000,- -
40,Intangible Assets,- -,2554302000,2769480000,2761618000,2877041000,2946615000,2610751000,- -
41,Intangible Assets,1454351000,2610703000,2825187000,2818354000,2933542000,3002121000,2616484000,2742971000
42,Investments,169660000,14450000,10927000,13435000,10886000,9929000,5336000,21537000
43,Tax Assets,38557000,47643000,99258000,135327000,153486000,147475000,73038000,68867000
44,Other Non-Current Assets,165923000,132420000,118795000,180137000,140323000,127083000,96519000,72557000
45,Total Non-Current Assets,2019752000,2876905000,3120151000,3221736000,3312536000,3374600000,2885658000,2994314000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2832784000,3271627000,3627276000,3801214000,3845278000,3882243000,3405651000,3620631000
48,Accounts Payable,173488000,121156000,113539000,127812000,114641000,148757000,150852000,116242000
49,Short-Term Debt,280530000,127250000,141569000,372790000,98907000,178267000,219887000,425031000
50,Tax Payable,72989000,30613000,89090000,54774000,35966000,28112000,24035000,16188000
51,Deferred Revenue,10072000,15048000,13941000,6124000,6030000,4848000,4522000,- -
52,Other Current Liabilities,214115000,218582000,393727000,225296000,230973000,230430000,177293000,301014000
53,Total Current Liabilities,678205000,482036000,662776000,732022000,450551000,562302000,552554000,842287000
54,Long-Term Debt,484654000,960316000,965672000,1113655000,1027751000,1033221000,1128407000,1026821000
