,https://roic.ai/company/TVTX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,28203205,99892000,133591000,154937000,164246000,175338000,198321000,227490000
2,COGS,- -,- -,- -,- -,570979,2185000,4554000,3605000,5527000,5234000,6126000,6784000
3,Gross Profit,- -,- -,- -,- -,27632226,97707000,129037000,151332000,158719000,170104000,192195000,220706000
4,Gross Profit Ratio,- -,- -,- -,- -,0.9798,0.9781,0.9659,0.9767,0.9663,0.9701,0.9691,0.9702
5,Research and Development Exp.,- -,- -,- -,7084009,47795223,50426000,70853000,78168000,123757000,140963000,131773000,210328000
6,General and Administrative Exp.,- -,12689,30257017,16888064,59644696,79541000,98015000,103958000,103654000,128951000,135799000,149883000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,12689,30257017,16888064,59644696,79541000,98015000,103958000,103654000,128951000,135799000,149883000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,12689,30257017,23972073,107439919,129967000,168868000,182126000,227411000,269914000,267572000,360211000
11,COGS and Expenses,- -,12689,30257017,23972073,108010898,132152000,173422000,185731000,232938000,275148000,273698000,366995000
12,Interest Income ,- -,- -,21830,- -,- -,- -,- -,- -,5499000,10055000,5003000,1993000
13,Interest Expense (Gain),- -,10333,105917,- -,- -,7748000,- -,1188000,9810000,18828000,19050000,20141000
14,Depreciation and Amortization,- -,- -,124885,215993,5401038,13392000,16135000,17804000,18668000,20408000,24579000,26617000
15,EBITDA,- -,-12689,-30110302,-14026763,-107996572,126607000,-41447000,-39371000,-73389000,-107212000,-145161000,-132924000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-3.8292,1.2674,-0.3103,-0.2541,-0.4468,-0.6115,-0.7319,-0.5843
17,Operating Income,- -,- -,- -,-23972073,-79807693,-50748000,-58214000,-53791000,-80040000,-137361000,-176163000,-161765000
18,Operating Income ratio,- -,- -,- -,-Infinity,-2.8297,-0.5080,-0.4358,-0.3472,-0.4873,-0.7834,-0.8883,-0.7111
19,Total Other Income Expenses (Gains),- -,-10333,-86839,-9775661,-33589917,156215000,632000,-4572000,-21827000,-9087000,-12627000,-17917000
20,Income Before Tax,- -,-23022,-30343856,-33747734,-113397610,105467000,-57582000,-58363000,-101867000,-146448000,-188790000,-179682000
