,https://roic.ai/company/ALLO,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,38489000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,151860000,144535000,192987000,220176000
6,General and Administrative Exp.,- -,40982000,57473000,65256000,74105000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,40982000,57473000,65256000,74105000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,- -,192842000,202008000,258243000,294281000
11,COGS and Expenses,- -,192842000,202008000,258243000,294281000
12,Interest Income ,- -,5789000,17351000,9164000,1714000
13,Interest Expense (Gain),- -,3358000,- -,- -,- -
14,Depreciation and Amortization,- -,1500000,5027000,7586000,10454000
15,EBITDA,- -,-206764000,-196981000,-242635000,-246551000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-6.4058
17,Operating Income,- -,-192842000,-202008000,-258243000,-255792000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-6.6458
19,Total Other Income Expenses (Gains),- -,-18780000,17083000,8022000,-1213000
20,Income Before Tax,- -,-211622000,-184925000,-250221000,-257005000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-6.6774
22,Income Tax expense (Gain),- -,-117000,-331000,- -,- -
23,Net Income,- -,-211505000,-184594000,-250221000,-257005000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-6.6774
25,EPS,- -,-7.31,-1.83,-2.08,-2.14
26,EPS Diluted,- -,-7.31,-1.83,-2.08,-2.14
27,Weighted Average Shares Outstanding,- -,28948386,101061149,120370177,120370177
28,Weighted Average Shares Outstanding Diluted,- -,28948386,101061149,120370177,120370177
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1737287/000173728720000012/0001737287-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1737287/000173728721000009/0001737287-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1737287/000173728722000013/0001737287-22-000013-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,92432000,175126000,183351000,173314000
32,Short-Term Investments,- -,366952000,355407000,644559000,283988000
33,Cash and Short-Term Investments,- -,459384000,530533000,827910000,457302000
34,Net Receivables,- -,3108000,2403000,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,5490000,11640000,17220000,14021000
37,Total Current Assets,- -,467982000,544576000,845130000,471323000
38,PP&E,- -,41610000,56449000,160135000,181020000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,754000,151000,- -,- -
41,Intangible Assets,- -,754000,151000,- -,- -
42,Investments,- -,261966000,63214000,207946000,370184000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1543000,53412000,14618000,16107000
45,Total Non-Current Assets,- -,305873000,173226000,382699000,567311000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,773855000,717802000,1227829000,1038634000
48,Accounts Payable,- -,12338000,9250000,10390000,10255000
49,Short-Term Debt,- -,- -,- -,2974000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,38992000,423000
52,Other Current Liabilities,2000,17121000,23829000,41964000,37496000
53,Total Current Liabilities,2000,29459000,33079000,94320000,48174000
54,Long-Term Debt,- -,34456000,- -,50809000,69929000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,6776000,55700000,3083000,4125000
58,Total Non-Current Liabilities,- -,41232000,55700000,53892000,74054000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,34456000,51349000,53783000,69929000
61,Total Liabilities,2000,70691000,88779000,148212000,122228000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,26000,121000,124000,140000,142000
64,Retained Earnings,-23000,-211528000,-396122000,-646343000,-903348000
65,Other Comprehensive Income/Loss,- -,306000,1145000,268000,-2567000
66,Other Total Stockholders Equity,- -,- -,1023876000,1725552000,1822179000
67,Total Stockholders Equity,-2000,703164000,629023000,1079617000,916406000
68,Total Liabilities And Stockholders Equity,- -,773855000,717802000,1227829000,1038634000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,773855000,717802000,1227829000,1038634000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1737287/000173728720000012/0001737287-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1737287/000173728721000009/0001737287-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1737287/000173728722000013/0001737287-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,-211505000,-184594000,-250221000,-257005000
74,Depreciation and Amortization,- -,1500000,5027000,7586000,10454000
75,Deferred Income Tax,- -,-117000,-331000,- -,- -
76,Stock Based Compensation,- -,18566000,46063000,65261000,80818000
77,Change in Working Capital,- -,12096000,72974000,239313000,-32089000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,8800000,-985000,615000,-767000
81,Other Working Capital,- -,438523000,511497000,750810000,-38569000
82,Other Non-Cash Items,- -,134807000,-76489000,-177032000,13010000
83,Cash Provided by Operating Activities,- -,-44653000,-137350000,-115093000,-184812000
84,CAPEX,- -,-3234000,-50791000,-65958000,-21446000
85,Acquisitions Net,- -,- -,-5075000,- -,-17710000
86,Purchases of Investments,- -,-649307000,-252628000,-1037591000,-525583000
87,Sales/Maturities of Investments,- -,21841000,472578000,598426000,728394000
88,Other Investing Activites,- -,-2098000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-632798000,164084000,-505123000,163655000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,343689000,54219000,621933000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,427493000,4741000,11658000,11963000
95,Cash Used/Provided by Financing Activities,- -,771182000,58960000,633591000,11963000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,771182000,85694000,13375000,-9194000
98,Cash at the End of Period,- -,93731000,179425000,192800000,183606000
99,Cash at the Beginning of Period,- -,- -,93731000,179425000,192800000
100,Free Cash Flow,- -,-47887000,-188141000,-181051000,-206258000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1737287/000173728720000012/0001737287-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1737287/000173728721000009/0001737287-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1737287/000173728722000013/0001737287-22-000013-index.htm
102,false,,,,,
