,https://roic.ai/company/WKEY,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,2287151,10962491,43078000,34280000,22652000,14779000
2,COGS,820168,6536718,22386000,18319000,13196000,9314000
3,Gross Profit,1466983,4425773,20692000,15961000,9456000,5465000
4,Gross Profit Ratio,0.6414,0.4037,0.4803,0.4656,0.4174,0.3698
5,Research and Development Exp.,645122,1438535,7386000,5306000,6422000,6012000
6,General and Administrative Exp.,6011490,22843043,22088000,14232000,15789000,10673000
7,Selling and Marketing Exp.,1340387,16439630,6254000,5772000,7929000,7355000
8,"Selling, General and Administrative Exp.",7351877,39282673,28342000,20004000,23718000,18028000
9,Other Expenses,- -,-48731,-1526000,-289000,-180000,-43000
10,Operating Expenses,7996999,40672477,34202000,25021000,29960000,23997000
11,COGS and Expenses,8817167,47209195,56588000,43340000,43156000,33311000
12,Interest Income ,7,29361,2000,- -,- -,16000
13,Interest Expense (Gain),- -,947380,1501000,394000,1385000,1143000
14,Depreciation and Amortization,1980120,1189323,5021000,3484000,1355000,1592000
15,EBITDA,-4176198,-33805242,-18782000,-12347000,10940000,-25915000
16,EBITDA ratio,-1.8259,-3.0837,-0.4360,-0.3602,0.4830,-1.7535
17,Operating Income,-6530016,-36182822,-13510000,-9060000,-20504000,-18532000
18,Operating Income ratio,-2.8551,-3.3006,-0.3136,-0.2643,-0.9052,-1.2539
19,Total Other Income Expenses (Gains),138820,-318297,-12277000,-795000,-2513000,-10366000
20,Income Before Tax,-6391196,-36501119,-25787000,-9855000,-23017000,-28898000
21,Income Before Tax Ratio,-2.7944,-3.3296,-0.5986,-0.2875,-1.0161,-1.9553
22,Income Tax expense (Gain),300,-16081,-1037000,53000,13000,9000
23,Net Income,-6156618,-35925864,-24267000,-16278000,8187000,-28659000
24,Net Income ratio,-2.6918,-3.2772,-0.5633,-0.4749,0.3614,-1.9392
25,EPS,-0.56,-7.85,-4.10,-2.40,1.15,-3.97
26,EPS Diluted,-0.56,-7.85,-4.10,-2.40,1.15,-3.82
27,Weighted Average Shares Outstanding,10938076,4574788,5901126,6780932,7215800,7215800
28,Weighted Average Shares Outstanding Diluted,10938076,4574788,5901126,6780932,7495692,7495692
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,261747,5221310,12214000,9146000,12121000,19650000
32,Short-Term Investments,- -,- -,- -,- -,9000,9190000
33,Cash and Short-Term Investments,261747,5221310,12214000,9146000,12130000,28840000
34,Net Receivables,426682,8154130,8601000,8486000,5234000,3699000
35,Inventory,3201,2983478,3463000,4186000,2787000,2474000
36,Other Current Assets,44808,977452,1792000,10300000,3433000,3650000
37,Total Current Assets,736438,17336370,26070000,32118000,23584000,38663000
38,PP&E,16567,3413535,3966000,2370000,4870000,3748000
39,Goodwill,- -,8316882,16503000,8317000,8317000,8317000
40,Intangible Assets,21971,2121077,15097000,1132000,13098000,9000
41,Intangible Assets,21971,10437959,31600000,9449000,- -,8326000
42,Investments,- -,- -,592000,7857000,7756000,301000
43,Tax Assets,- -,- -,4773000,2549000,- -,1315000
44,Other Non-Current Assets,57151,2443845,154000,24110000,13694000,528000
45,Total Non-Current Assets,95689,16295339,41085000,46335000,26320000,14218000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,832127,33631709,67155000,78453000,49904000,52881000
48,Accounts Payable,957999,6313690,8876000,6995000,7477000,4608000
49,Short-Term Debt,- -,8917651,180000,6797000,7989000,10468000
50,Tax Payable,80027,88028,983000,522000,782000,452000
51,Deferred Revenue,431855,1162013,5709000,233000,2906000,669000
52,Other Current Liabilities,4697216,9187150,8951000,20850000,1778000,9232000
53,Total Current Liabilities,6087070,25580504,23716000,34875000,20150000,24977000
54,Long-Term Debt,- -,- -,20434000,23940000,- -,4356000
55,Deferred Revenue,- -,- -,2710000,9000,- -,19000
56,Deferred Tax Liabilities,- -,- -,1476000,4000,- -,38000
57,Other Non-Current Liabilities,2958114,6139261,5213000,15650000,- -,9065000
58,Total Non-Current Liabilities,2958114,6139261,29833000,39603000,- -,13478000
59,Other Liabilities,- -,- -,- -,- -,9310000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,3051000,2688000
61,Total Liabilities,9045184,31719765,53549000,74478000,29460000,38455000
62,Preferred Stock,- -,- -,4880000,- -,- -,- -
63,Common Stock,794002,1156196,1661000,1872000,1875000,2890000
64,Retained Earnings,-119765205,-155691069,-180554000,-197348000,-189161000,-217820000
65,Other Comprehensive Income/Loss,70054,-1900943,-650000,100000,-1453000,6940000
66,Other Total Stockholders Equity,110795292,159430819,189152000,200234000,210754000,224259000
67,Total Stockholders Equity,-8105857,2995003,14489000,4858000,22015000,16269000
68,Total Liabilities And Stockholders Equity,939327,34714768,68038000,79336000,51475000,54724000
69,Minority Interest,-107200,-1083059,-883000,-883000,-1571000,-1843000
70,Total Liabilities & Equity,832127,33631709,67155000,78453000,49904000,52881000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-6156618,-35925864,-24267000,-16278000,8187000,-28659000
74,Depreciation and Amortization,1980120,1189323,5021000,3484000,1355000,1592000
75,Deferred Income Tax,- -,-21173,-1115000,-152000,- -,9000
76,Stock Based Compensation,651854,24806819,2232000,1660000,- -,393000
77,Change in Working Capital,-608647,513306,8771000,-650000,197000,5251000
78,Accounts Receivable,- -,- -,- -,- -,1346000,- -
79,Inventory,821,1227958,-480000,-722000,- -,313000
80,Accounts Payable,261941,-2808478,1509000,-126000,-1765000,2386000
81,Other Working Capital,251804,-4081607,4849000,5820000,- -,1843000
82,Other Non-Cash Items,-491592,-1494523,4426000,3444000,-9739000,8864000
83,Cash Provided by Operating Activities,-4624883,-10932112,-4932000,-8492000,- -,-12550000
84,CAPEX,- -,-87180,-669000,-1244000,-293000,-52000
85,Acquisitions Net,- -,-1432874,-11629000,- -,40919000,- -
86,Purchases of Investments,- -,- -,- -,- -,-1025000,-3845000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,3027677,-1495581,-553000,-4244000,-2975000,-52000
89,Cash Used for Investing Activites,3027677,-3015635,-12851000,-4244000,36626000,-3897000
90,Debt Repayment,- -,- -,-550000,-106000,-20741000,-2344000
91,Common Stock Issued,1431989,7860317,5039000,2904000,- -,2194000
92,Common Stock Repurchased,- -,- -,- -,-900000,-1025000,-1135000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10229742,21021000,9978000,4482000,22767000
95,Cash Used/Provided by Financing Activities,1431989,18090059,25510000,11876000,-17284000,21482000
96,Effect of Forex Changes on Cash,- -,817251,-734000,-200000,41000,82000
97,Net Change In Cash,-165217,4959563,6993000,-1060000,5492000,5117000
98,Cash at the End of Period,261747,5221310,12214000,11154000,- -,21763000
99,Cash at the Beginning of Period,426964,261747,5221000,12214000,- -,16646000
100,Free Cash Flow,-4624883,-11019292,-5601000,-9736000,- -,-12602000
