,https://roic.ai/company/GRP-UN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,662374135,877518480,986199736,1055495482,1026480686,909919798,1009941519,786922037,942548245,384634384,358417338,186790929,181115000,203247000,207410000,216299000,223401000,222638000,247483000,273678000,- -,393488000
2,COGS,- -,- -,- -,793449693,810156601,699394700,771433284,567856428,676512045,143896670,90669505,3145701,5694000,5574000,6876000,7062000,7638000,9300000,30942000,35364000,- -,60812000
3,Gross Profit,- -,- -,- -,262045788,216324086,210525098,238508235,219065609,266036200,240737714,267747833,183645228,175421000,197673000,200534000,209237000,215763000,213338000,216541000,238314000,- -,332676000
4,Gross Profit Ratio,- -,- -,- -,0.2483,0.2107,0.2314,0.2362,0.2784,0.2823,0.6259,0.7470,0.9832,0.9686,0.9726,0.9668,0.9674,0.9658,0.9582,0.8750,0.8708,- -,0.8455
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,104558555,55570644,76536244,- -,30930000,24834000,28061000,28317000,27960000,26066000,29404000,31419000,- -,37770000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,104558555,55570644,76536244,- -,30930000,24834000,28061000,28317000,27960000,26066000,29404000,31419000,- -,37770000
9,Other Expenses,643921288,825414566,970078802,186674683,267980340,242054376,350504495,219701809,106663965,59028168,151406221,92459718,42773000,454000,621000,720000,707000,6201000,300000,906000,- -,1950000
10,Operating Expenses,643921288,825414566,970078802,186674683,267980340,242054376,350504495,219701809,211222520,114598812,227942465,92459718,73703000,25288000,28682000,29037000,28667000,32267000,29704000,32325000,- -,39720000
11,COGS and Expenses,643921288,825414566,970078802,980124376,1078136940,941449076,1121937779,787558237,887734565,258495483,318611970,95605419,79397000,30862000,35558000,36099000,36305000,41567000,60646000,67689000,- -,100532000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,45516390,370059,728994,520000,322000,420000,286000,318000,540000,2638000,9613000,- -,3109000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,55619334,19879194,16819691,16989440,16391000,20318000,23940000,18836000,19712000,19792000,18544000,27772000,- -,39393000
14,Depreciation and Amortization,44664107,58481385,53570621,82968315,87114324,89321638,97554587,82375090,107636348,50610531,50445070,44064318,42773000,454000,621000,720000,707000,335000,300000,906000,- -,1320000
15,EBITDA,59288731,140723072,85225272,-11739585,96166191,118980331,179543825,134356117,136563221,28027726,48691789,215342173,144946000,134468000,103266000,249046000,347369000,391247000,536651000,453424000,- -,1591217000
16,EBITDA ratio,0.0895,0.1604,0.0864,-0.0111,0.0937,0.1308,0.1778,0.1707,0.1449,0.0729,0.1359,1.1529,0.8003,0.6616,0.4979,1.1514,1.5549,1.7573,2.1684,1.6568,- -,4.0439
17,Operating Income,18452847,52103913,16120934,75371107,-51656254,-31529278,-111996259,-636201,-154425130,6473172,-40311449,55568946,85803000,149308000,147885000,161454000,187096000,180852000,216541000,238314000,- -,292956000
18,Operating Income ratio,0.0279,0.0594,0.0163,0.0714,-0.0503,-0.0347,-0.1109,-0.0008,-0.1638,0.0168,-0.1125,0.2975,0.4737,0.7346,0.7130,0.7464,0.8375,0.8123,0.8750,0.8708,- -,0.7445
19,Total Other Income Expenses (Gains),15855713,34380400,7221360,-227079708,12893025,11980526,140339280,5678944,36164372,-56825070,21738478,89848,-21000,-35377000,-75733000,70242000,141221000,190314000,301467000,186628000,- -,1257883000
20,Income Before Tax,34308560,86484314,23342294,-151708601,-38763229,-19548752,28343021,5042742,-118260758,-50351898,-18572971,55658794,85782000,113931000,72152000,231696000,328317000,371166000,518008000,424942000,- -,1550839000
21,Income Before Tax Ratio,0.0518,0.0986,0.0237,-0.1437,-0.0378,-0.0215,0.0281,0.0064,-0.1255,-0.1309,-0.0518,0.2980,0.4736,0.5606,0.3479,1.0712,1.4696,1.6671,2.0931,1.5527,- -,3.9413
22,Income Tax expense (Gain),-11036320,29375215,15045681,-52766722,19269906,22040534,12205330,12852660,-22778589,1818813,33447351,-4780322,14445000,-31335000,8492000,36156000,47625000,13418000,52651000,42667000,- -,240567000
23,Net Income,25660944,52866472,16608971,-41941178,-10218040,7618160,69783909,39128367,-3913872,-44280812,-52020322,159068737,71337000,145031000,70213000,193334000,279325000,357702000,465156000,382079000,- -,1309937000
24,Net Income ratio,0.0387,0.0602,0.0168,-0.0397,-0.0100,0.0084,0.0691,0.0497,-0.0042,-0.1151,-0.1451,0.8516,0.3939,0.7136,0.3385,0.8938,1.2503,1.6067,1.8795,1.3961,- -,3.3290
25,EPS,0.56,1.15,0.36,-1.34,-0.22,0.16,1.45,0.81,-0.09,-0.95,-1.11,3.39,1.52,3.09,1.49,4.11,5.93,7.63,10.18,7.07,6.97,21.23
26,EPS Diluted,0.56,1.15,0.36,-1.34,-0.22,0.16,1.45,0.81,-0.09,-0.95,-1.11,3.39,1.52,3.09,1.49,4.11,5.93,7.63,10.18,7.07,6.97,21.23
27,Weighted Average Shares Outstanding,46130321,46130321,46130321,48130000,48157000,48260000,48301000,48073000,46708000,46708000,46708000,46888000,46855000,46925000,47017000,47017000,47066000,46903000,45685229,54052212,61688189,61688189
28,Weighted Average Shares Outstanding Diluted,46130321,46130321,46130321,48130000,48190000,48319000,48355000,48083000,46708000,46708000,46708000,46970000,46876000,46949000,47017000,47097000,47066000,46903000,45685229,54052212,61688189,61688189
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,61467504,70325717,149386276,168437156,348248908,182877805,291697179,144374791,177409392,141529177,85420665,57132097,51073000,95520000,116233000,119155000,246215000,69019000,658246000,298677000,831280000,402513000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,61467504,70325717,149386276,168437156,348248908,182877805,291697179,144374791,177409392,141529177,85420665,57132097,51073000,95520000,116233000,119155000,246215000,69019000,658246000,298677000,831280000,402513000
