,https://roic.ai/company/HSTO,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,799050,35376800,33586000,21717000,2059000,1032000
2,COGS,- -,- -,- -,- -,- -,- -,- -,968000,220000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,1091000,812000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.5299,0.7868
5,Research and Development Exp.,6947439,14908843,16297617,20293630,43220450,41368000,23527000,6219000,8473000
6,General and Administrative Exp.,4650807,7379339,7833085,10337180,9706830,10495000,10196000,6586000,7796000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4650807,7379339,7833085,10337180,9706830,10495000,10196000,6586000,7796000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,220000
10,Operating Expenses,11598246,22288182,24130702,30630810,52927280,51863000,33723000,12805000,16489000
11,COGS and Expenses,11598246,22288182,24130702,30630810,52927280,51863000,33723000,13773000,16709000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),462570,70000,70000,70000,662395,696000,- -,- -,- -
14,Depreciation and Amortization,10446,-538900,67860,105840,108300,91000,145000,98000,- -
15,EBITDA,-15606046,-22858791,-23752291,-29557600,-16625715,-17223000,-11240000,-18671000,-15009000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-36.9909,-0.4700,-0.5128,-0.5176,-9.0680,-14.5436
17,Operating Income,-15616492,-22319891,-24148626,-29831760,-17550480,-18277000,-3319000,-18858000,-15457000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-37.3340,-0.4961,-0.5442,-0.1528,-9.1588,-14.9777
19,Total Other Income Expenses (Gains),- -,- -,- -,98320,154070,267000,-8066000,41000,448000
20,Income Before Tax,-15616492,-22319891,-24148626,-29733440,-17396410,-18010000,-11385000,-18817000,-15009000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-37.2110,-0.4917,-0.5362,-0.5242,-9.1389,-14.5436
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-15616492,-22319891,-24148626,-29733440,-17396410,-18010000,-11385000,-18769000,-15009000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-37.2110,-0.4917,-0.5362,-0.5242,-9.1156,-14.5436
25,EPS,-2.12,-1.44,-1.30,-13.13,-6.09,-5.93,-0.25,-2.08,-3.90
26,EPS Diluted,-2.12,-1.44,-1.30,-13.13,-6.09,-5.93,-0.25,-2.08,-3.90
27,Weighted Average Shares Outstanding,7358201,15478999,18617537,2264990,2858660,3037000,11813875,9018376,3836471
28,Weighted Average Shares Outstanding Diluted,7358201,15478999,18617537,2264990,2858660,3037000,11813875,9018376,3836471
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1383701/000119312514121420/0001193125-14-121420-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000119312515091168/0001193125-15-091168-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459016014564/0001564590-16-014564-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459017004617/0001564590-17-004617-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459018004914/0001564590-18-004914-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459019007030/0001564590-19-007030-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459020010122/0001564590-20-010122-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459021012536/0001564590-21-012536-index.htm,https://www.sec.gov/Archives/edgar/data/1383701/000156459022009664/0001564590-22-009664-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,4158953,9912674,13876090,58083410,16078840,11565000,20703000,6763000,18685000
32,Short-Term Investments,52194034,27159272,22632020,18931720,58774410,29127000,- -,- -,- -
33,Cash and Short-Term Investments,56352987,37071946,36508110,77015130,74853250,40692000,20703000,6763000,18685000
34,Net Receivables,- -,- -,- -,2500000,3366590,3677000,122000,144000,165000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,300000,- -
36,Other Current Assets,545504,796818,1982030,937430,1004190,3057000,781000,1193000,2759000
37,Total Current Assets,56898491,37868764,38490140,80452560,79224030,47426000,21606000,8400000,21609000
38,PP&E,23068,237066,344730,261450,178650,154000,221000,4682000,4831000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,14395,342051,892400,1609830,2538210,1223000,- -,1931000,805000
45,Total Non-Current Assets,37463,579117,1237130,1871280,2716860,1377000,221000,6613000,5636000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,56935954,38447881,39727270,82323840,81940890,48803000,21827000,15013000,27245000
48,Accounts Payable,1494435,3003612,- -,- -,- -,- -,1064000,539000,1393000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,114000,133000,127000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,30897192,14172076,10075000,- -,48000,19000
52,Other Current Liabilities,1322569,1171621,3982700,8662798,13970274,8446000,462000,2065000,791000
53,Total Current Liabilities,2817004,4175233,3982700,39559990,28142350,18521000,1640000,2785000,2330000
54,Long-Term Debt,1000000,1000000,1000000,- -,13157530,- -,- -,369000,- -
55,Deferred Revenue,- -,58699,204224,20803762,12518667,68000,- -,118000,98000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2815000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-4,171538,126033,- -,- -,4828000,4631000
58,Total Non-Current Liabilities,1000000,1058699,1204220,20975300,25802230,2883000,- -,5315000,4729000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,145000,4864000,- -
61,Total Liabilities,3817004,5233932,5186920,60535290,53944580,21404000,1640000,8100000,7059000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1539,1556,1980,2610,3000,3000,3000,1000,5000
64,Retained Earnings,11497,-96750385,-120899010,-150632450,-168006870,-186629000,-198014000,-62702000,-77652000
65,Other Comprehensive Income/Loss,11497,-13297,-7820,-12300,-154160,-34000,- -,- -,- -
66,Other Total Stockholders Equity,53094417,129976075,155445200,172430690,196154340,214059000,160942000,70561000,98839000
67,Total Stockholders Equity,53118950,33213949,34540350,21788550,27996310,27399000,-37069000,7860000,21192000
68,Total Liabilities And Stockholders Equity,56935954,38447881,39727270,82323840,81940890,48803000,-35429000,15960000,28251000
69,Minority Interest,- -,- -,- -,- -,- -,- -,57256000,-947000,-1006000
70,Total Liabilities & Equity,56935954,38447881,39727270,82323840,81940890,48803000,21827000,15013000,27245000
