,https://roic.ai/company/JKS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,709152909,2183614128,1567859592,4654854723,7384951444,4794768449,7078838515,9978528648,16076481503,21400638092,26472943454,25042613341,29746287759,35129458616
2,COGS,621023990,1872088658,1337647527,3297468914,6235100290,4562531334,5641487108,7738488461,12806680403,17531299173,23481375053,21528868419,24314602138,28957798084
3,Gross Profit,88128919,311525470,230212065,1357385809,1149851154,232237115,1437351407,2240040187,3269801100,3869338919,2991568401,3513744922,5431685621,6171660532
4,Gross Profit Ratio,0.1243,0.1427,0.1468,0.2916,0.1557,0.0484,0.2030,0.2245,0.2034,0.1808,0.1130,0.1403,0.1826,0.1757
5,Research and Development Exp.,50831,441790,5896939,31616200,29992990,68960214,65481728,106627106,143670521,181106128,294102790,366576571,324434526,389192056
6,General and Administrative Exp.,11182409,38662273,85114520,166025199,419944749,760807250,230125455,423877983,663225640,778766905,470844706,779423027,1059026633,1409371207
7,Selling and Marketing Exp.,1307037,1167653,16727975,169822118,338381885,343407116,492625584,769011055,1144559326,1434038816,1901358676,1708270457,2250335913,2473982242
8,"Selling, General and Administrative Exp.",12489446,39829926,101842495,335847317,758326634,1104214366,722751039,1192889038,1807784966,2212805721,2372203382,2487693484,3309362546,3883353449
9,Other Expenses,- -,- -,- -,- -,- -,186170830,-7583102,-47090464,-103578019,-167846658,-147916764,-52176462,-63016966,-191980690
10,Operating Expenses,12540277,40271716,107739434,367463517,788319624,1359345410,780649665,1252425680,1847877468,2226065191,2518389408,2802093593,3570780106,4080564815
11,COGS and Expenses,633564267,1912360374,1445386961,3664932431,7023419914,5921876744,6422136773,8990914141,14654557871,19757364364,25999764461,24330962012,27885382244,33038362899
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83461323,170984099,216618294
13,Interest Expense (Gain),- -,- -,29936782,64268374,- -,221719806,223376902,287667652,385942186,359296332,245529598,378103364,562041163,675852104
14,Depreciation and Amortization,1619101,15544260,46090126,100885266,269628161,335604559,363237794,441736101,630659475,788390184,616053698,817277504,978948514,1383202096
15,EBITDA,77664646,235086498,160094502,1193157261,624043722,-994015351,793158897,1268094785,1812216834,3231883497,1007916988,1606269085,2717630904,2467849633
16,EBITDA ratio,0.1095,0.1077,0.1021,0.2563,0.0845,-0.2073,0.1120,0.1271,0.1127,0.1510,0.0381,0.0641,0.0914,0.0703
17,Operating Income,75588642,271253754,122472631,989922292,315885698,-1233487204,645545392,931612035,1318345613,1349103150,325262229,644926824,1729626511,1784947362
18,Operating Income ratio,0.1066,0.1242,0.0781,0.2127,0.0428,-0.2573,0.0912,0.0934,0.0820,0.0630,0.0123,0.0258,0.0581,0.0508
19,Total Other Income Expenses (Gains),456903,-51134690,-38405037,38081329,38512926,-319230171,-411906089,-349298425,-359851998,-101380589,-176387192,-237551621,-478440300,-1218575470
20,Income Before Tax,76045545,220119064,84067594,1028003621,354398624,-1552717375,233639303,582313610,958493615,1247722561,148875037,407375203,1251186211,566371892
21,Income Before Tax Ratio,0.1072,0.1008,0.0536,0.2208,0.0480,-0.3238,0.0330,0.0584,0.0596,0.0583,0.0056,0.0163,0.0421,0.0161
22,Income Tax expense (Gain),- -,822280,-1342038,146130394,81072742,-8917648,18532376,-134334023,111863639,257487006,4628003,4409523,277979001,178410780
23,Net Income,76045545,218719958,85409632,881873227,273342819,-1542422068,188011825,673025055,683751534,1826709975,141705689,406478694,898662226,230384653
24,Net Income ratio,0.1072,0.1002,0.0545,0.1895,0.0370,-0.3217,0.0266,0.0674,0.0425,0.0854,0.0054,0.0162,0.0302,0.0066
25,EPS,6.00,14.02,5.36,44.64,11.64,-69.52,8.00,21.88,21.96,58.04,4.40,10.56,21.24,5.16
26,EPS Diluted,6.00,14.02,5.36,43.68,-4.92,-69.52,7.84,15.44,21.40,53.40,4.32,10.52,19.40,-5.44
27,Weighted Average Shares Outstanding,12682862,12682862,15887012,18724136,23491634,22188176,23504598,30745218,31154604,31467568,32236082,38451595,42340826,44734713
28,Weighted Average Shares Outstanding Diluted,12682862,12682862,15887012,20187020,25671743,22188176,24008996,38446633,31950740,34332181,32921808,38676042,42340826,44734713
