,https://roic.ai/company/METX,2017,2018,2019,2020
0,INCOME STATEMENT, , , , 
1,Revenue,1149721000,1424234000,1447899000,897035000
2,COGS,467967000,627996000,755356000,607077000
3,Gross Profit,681754000,796238000,692543000,289958000
4,Gross Profit Ratio,0.5930,0.5591,0.4783,0.3232
5,Research and Development Exp.,21217000,26178000,32333000,31878000
6,General and Administrative Exp.,237509000,293157000,449903000,348435000
7,Selling and Marketing Exp.,373065000,425217000,437986000,310433000
8,"Selling, General and Administrative Exp.",610574000,718374000,887889000,658868000
9,Other Expenses,-4046000,-7817000,-5773000,-28124000
10,Operating Expenses,627745000,736735000,914449000,662622000
11,COGS and Expenses,1095712000,1364731000,1669805000,1269699000
12,Interest Income ,4103000,1150000,1633000,448000
13,Interest Expense (Gain),9000,8000,2453000,6101000
14,Depreciation and Amortization,36768000,54944000,193282000,181418000
15,EBITDA,96876000,126660000,-14061000,-217663000
16,EBITDA ratio,0.0843,0.0889,-0.0097,-0.2426
17,Operating Income,49963000,51686000,-227679000,-400788000
18,Operating Income ratio,0.0435,0.0363,-0.1572,-0.4468
19,Total Other Income Expenses (Gains),9918000,16213000,12219000,-6192000
20,Income Before Tax,59881000,67899000,-215460000,-406980000
21,Income Before Tax Ratio,0.0521,0.0477,-0.1488,-0.4537
22,Income Tax expense (Gain),19539000,14454000,9608000,5803000
23,Net Income,40560000,57254000,-219404000,-410985000
24,Net Income ratio,0.0353,0.0402,-0.1515,-0.4582
25,EPS,0.45,0.98,-4.13,-7.38
26,EPS Diluted,0.45,0.98,-4.13,-7.38
27,Weighted Average Shares Outstanding,48442791,48442791,53100534,55661445
28,Weighted Average Shares Outstanding Diluted,48442791,48442791,53100534,65842020
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,174679000,140132000,90115000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,174679000,140132000,90115000
34,Net Receivables,- -,90007000,63809000,59124000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,119066000,113723000,94260000
37,Total Current Assets,- -,383752000,317664000,243499000
38,PP&E,- -,214935000,715266000,469500000
39,Goodwill,- -,276905000,302158000,274567000
40,Intangible Assets,- -,36904000,24968000,19337000
41,Intangible Assets,- -,313809000,327126000,293904000
42,Investments,- -,23426000,26084000,24552000
43,Tax Assets,- -,4072000,4200000,6997000
44,Other Non-Current Assets,- -,66752000,73225000,60378000
45,Total Non-Current Assets,- -,622994000,1145901000,855331000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,1006746000,1463565000,1098830000
48,Accounts Payable,- -,13974000,15714000,17013000
49,Short-Term Debt,- -,- -,234155000,265051000
50,Tax Payable,- -,11785000,9329000,13647000
51,Deferred Revenue,- -,859521000,902678000,728205000
52,Other Current Liabilities,- -,165783000,119646000,162388000
53,Total Current Liabilities,- -,1039278000,1272193000,1172657000
54,Long-Term Debt,- -,- -,333613000,200409000
55,Deferred Revenue,- -,- -,- -,46927000
56,Deferred Tax Liabilities,- -,23101000,14085000,7661000
57,Other Non-Current Liabilities,- -,58970000,86613000,33718000
58,Total Non-Current Liabilities,- -,82071000,434311000,288715000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,475768000,331560000
61,Total Liabilities,- -,1121349000,1706504000,1461372000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,219000,219000,37000
64,Retained Earnings,- -,-305858000,-525262000,-936247000
65,Other Comprehensive Income/Loss,- -,-146084000,- -,-60345000
66,Other Total Stockholders Equity,- -,313379000,264173000,617880000
67,Total Stockholders Equity,- -,-138344000,-260870000,-378675000
68,Total Liabilities And Stockholders Equity,- -,983005000,1445634000,1082697000
69,Minority Interest,- -,23741000,17931000,16133000
70,Total Liabilities & Equity,- -,1006746000,1463565000,1098830000
71,SEC Link,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,40560000,57254000,-219404000,-410985000
74,Depreciation and Amortization,36768000,54944000,193282000,181418000
75,Deferred Income Tax,3316000,-6266000,-9144000,-2786000
76,Stock Based Compensation,7886000,7648000,96661000,52256000
77,Change in Working Capital,174690000,-26847000,-75938000,-283896000
78,Accounts Receivable,5651000,-916000,-42169000,-22125000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,161000,5451000,10807000,1274000
81,Other Working Capital,159443000,-63303000,31654000,-185488000
82,Other Non-Cash Items,-3512000,-8198000,-7028000,120775000
83,Cash Provided by Operating Activities,259708000,78535000,-21571000,-343218000
84,CAPEX,-75873000,-64371000,-86469000,-25652000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-796700000,-511000000,- -,-42001000
87,Sales/Maturities of Investments,749185000,564963000,- -,42496000
88,Other Investing Activites,-5241000,-64385000,-2690000,24477000
89,Cash Used for Investing Activites,-128629000,-74793000,-89159000,-680000
90,Debt Repayment,- -,- -,-15000000,-143100000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,6021000,-142633000,87995000,435740000
95,Cash Used/Provided by Financing Activities,6021000,-142633000,72995000,292640000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,137100000,-138891000,-37735000,-51258000
98,Cash at the End of Period,328357000,189466000,151731000,100473000
99,Cash at the Beginning of Period,191257000,328357000,189466000,151731000
100,Free Cash Flow,183835000,14164000,-108040000,-368870000
101,SEC Link,- -,- -,- -,- -
