,https://roic.ai/company/RCEL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,582969,- -,- -,- -,194319,- -,389079,- -,883386,790993,1202235,1961251,2296536,3335596,3430694,2568961,2526158,2109387,748280,907257,880674,5396390,14263000,29232000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,98983,- -,940260,- -,1060241,1128692,492314,824231,669449,972785,975139,617376,631643,579309,299884,388556,375851,1189052,2973000,5949000
3,Gross Profit,- -,- -,- -,- -,582969,- -,- -,- -,95336,- -,-551181,- -,-176855,-337699,709920,1137020,1627087,2362811,2455555,1951585,1894515,1530078,448397,518701,504823,4207339,11290000,23283000
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -,- -,- -,0.4906,- -,-1.4166,- -,-0.2002,-0.4269,0.5905,0.5797,0.7085,0.7084,0.7158,0.7597,0.7500,0.7254,0.5992,0.5717,0.5732,0.7797,0.7916,0.7965
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,425967,- -,1330312,620673,163829,181847,164788,255537,991785,2373715,738239,1787568,2582242,3605846,9260359,10058265,8461000,14818000
6,General and Administrative Exp.,278478,126546,138814,97159,371784,235702,569486,72485,837732,- -,2210154,- -,5643139,5358182,3976645,3866663,3396905,5253684,5646410,5048477,5482071,3407406,5577602,9286862,5285911,12667027,34621000,22400000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,122353,- -,838557,- -,1901807,1921328,1390615,1374769,1153959,2151677,2994083,3094316,2479351,2463544,2585428,2609411,6564637,12309686,14813000,14660000
8,"Selling, General and Administrative Exp.",278478,126546,138814,97159,371784,235702,569486,72485,960085,- -,3048712,- -,7544946,7279510,5367260,5241432,4550864,7405361,8640493,8142794,7961422,5870951,8163030,11896273,11850548,24976712,49434000,37060000
9,Other Expenses,- -,- -,- -,- -,- -,- -,91378,895935,-1033087,- -,1390629,- -,745937,852621,221965,85875,28048,59023,17011,66620,-0,-0,- -,- -,-7422376,-5784206,-3926000,-2055000
10,Operating Expenses,278478,126546,138814,97159,371784,235702,660865,968420,-73002,- -,4865308,- -,9621195,8752803,5753054,5509154,4743700,7719921,9649289,10583129,8699661,7658519,10745271,15502119,13688531,29250771,53969000,49823000
11,COGS and Expenses,278478,126546,138814,97159,- -,235702,660865,968420,25981,- -,5805567,- -,10681436,9881495,6245369,6333385,5413149,8692706,10624427,11200505,9331304,8237828,11045155,15890675,14064382,30439823,56942000,55772000
12,Interest Income ,- -,- -,- -,4196,857,6808,195943,126131,145149,- -,201653,- -,520497,543413,668208,270108,124702,124990,509708,376314,175120,34846,82418,95064,48230,- -,- -,- -
13,Interest Expense (Gain),776,- -,258334,- -,- -,- -,- -,4,2282,- -,9953,- -,4856,- -,53201,78499,37650,12899,69,83,24173,10,16,9801,19530,26451,33000,22000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,77460,262000,111833,- -,702813,- -,745937,852621,221965,491494,517571,650877,521931,66620,63711,62624,- -,139703,105448,264730,465000,715000
15,EBITDA,-2234806,-1286308,440173,-2289632,-1486459,359648,575835,-1028979,-4118749,- -,-11400959,- -,-8446322,-12241763,-11728146,-3568797,-4890642,-1346799,-7335508,-7435778,-6181640,-5890183,-6534244,-9501667,-13027855,-24458861,-41528000,-25808000
16,EBITDA ratio,-Infinity,-Infinity,Infinity,-Infinity,-2.5498,Infinity,Infinity,-Infinity,-21.1958,- -,-29.3024,- -,-9.5613,-15.4764,-9.7553,-1.8197,-2.1296,-0.4038,-2.1382,-2.8945,-2.4471,-2.7924,-8.7323,-10.4730,-14.7931,-4.5324,-2.9116,-0.8829
17,Operating Income,-278478,-126546,-138814,-97159,582969,-235702,-660865,-968420,168338,- -,-5416488,- -,-9798050,-9090502,-5043134,-4372134,-3116613,-5357109,-7193734,-8631544,-6805146,-6128441,-10296875,-14983418,-13183708,-25043432,-42679000,-26540000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,1.0000,-Infinity,-Infinity,-Infinity,0.8663,- -,-13.9213,- -,-11.0915,-11.4925,-4.1948,-2.2293,-1.3571,-1.6060,-2.0969,-3.3599,-2.6939,-2.9053,-13.7607,-16.5151,-14.9700,-4.6408,-2.9923,-0.9079
19,Total Other Income Expenses (Gains),-1898150,-1159017,323233,-2192473,-1146048,-576357,-972729,-322562,-1676182,- -,432052,- -,600935,-4003881,-6960178,233344,-2218995,3346534,-747235,1129064,535622,175624,1900182,5332247,30876,293390,653000,-5000
20,Income Before Tax,-2176628,-1285563,184419,-2289632,-563078,-812059,-1633593,-1290982,-1507844,- -,-4984436,- -,-9197115,-13094383,-12003312,-4138790,-5335609,-2010575,-7940969,-7502480,-6269524,-5952817,-8396693,-9651170,-13152833,-24750042,-42026000,-26545000
21,Income Before Tax Ratio,-Infinity,-Infinity,Infinity,-Infinity,-0.9659,-Infinity,-Infinity,-Infinity,-7.7596,- -,-12.8108,- -,-10.4112,-16.5544,-9.9842,-2.1103,-2.3233,-0.6028,-2.3147,-2.9204,-2.4818,-2.8221,-11.2213,-10.6377,-14.9350,-4.5864,-2.9465,-0.9081
22,Income Tax expense (Gain),-238917,- -,- -,- -,-923381,- -,-2935000,-2529112,-2688501,- -,-7129289,- -,-311918,-316554,-342230,- -,-330413,-90091,-89809,-116862,-1423278,-501364,-725783,-805518,-1017995,-125965,4000,38000
