,https://roic.ai/company/INTV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,-656421,306407,279143,454170,1851390
2,COGS,- -,- -,- -,35358,- -,- -,- -,237793,1005479,996409,920376
3,Gross Profit,- -,- -,- -,- -,- -,- -,-656421,68614,-726336,-542239,931014
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,0.2239,-2.6020,-1.1939,0.5029
5,Research and Development Exp.,- -,- -,- -,- -,- -,120197,21636,- -,- -,- -,- -
6,General and Administrative Exp.,- -,45336,34044,34403,- -,3350030,- -,1296155,1823523,472399,22599241
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,45336,34044,34403,- -,3350030,- -,1296155,1823523,472399,22599241
9,Other Expenses,- -,165,- -,925,- -,46,1035762,- -,- -,- -,- -
10,Operating Expenses,- -,45501,34044,35328,- -,3470273,1057398,1296155,1823523,472399,22599241
11,COGS and Expenses,- -,47596,- -,35388,- -,3470273,1057398,6441832,4926932,1468808,23519617
12,Interest Income ,- -,- -,- -,- -,- -,- -,2408,1405,- -,- -,- -
13,Interest Expense (Gain),- -,233,140,30,- -,12658,656421,153706,214373,655199,435981
14,Depreciation and Amortization,- -,- -,- -,- -,- -,47,481346,59875,552958,575210,408802
15,EBITDA,- -,-47746,- -,-35358,- -,-3470226,1470642,-5363869,-8745940,148634,-21588298
16,EBITDA ratio,- -,-Infinity,- -,-Infinity,- -,-Infinity,-2.2404,-17.5057,-31.3314,0.3273,-11.6606
17,Operating Income,- -,-45584,-34074,-35358,- -,-3470273,-1057398,-6135425,-4647789,-1014638,-21668227
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,- -,-Infinity,1.6109,-20.0238,-16.6502,-2.2340,-11.7038
19,Total Other Income Expenses (Gains),- -,-2162,- -,- -,- -,-1556566,1390273,557975,-4865482,-67137,-764854
20,Income Before Tax,- -,-47746,- -,-35358,- -,-5026839,332875,-5577450,-9513271,-1081775,-22433081
21,Income Before Tax Ratio,- -,-Infinity,- -,-Infinity,- -,-Infinity,-0.5071,-18.2027,-34.0803,-2.3819,-12.1169
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-47746,- -,-35358,- -,-5030583,332875,-5577450,-9513271,-1081775,-22433081
24,Net Income ratio,- -,-Infinity,- -,-Infinity,- -,-Infinity,-0.5071,-18.2027,-34.0803,-2.3819,-12.1169
25,EPS,- -,-0.20,-0.10,-0.10,- -,-8.50,0.21,-0.67,-0.70,-0.02,-0.16
26,EPS Diluted,- -,-0.20,-0.10,-0.10,- -,-8.50,0.05,-0.67,-0.70,-0.02,-0.16
27,Weighted Average Shares Outstanding,- -,286502,475575,565000,- -,584302,1564136,8306580,13665421,65389138,146038413
28,Weighted Average Shares Outstanding Diluted,- -,286502,475575,565000,- -,584302,6345084,8306580,13665421,65389138,146038413
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1520118/000105652012000299/0001056520-12-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000105652013000148/0001056520-13-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000146970914000265/0001469709-14-000265-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1520118/000147793217004487/0001477932-17-004487-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793218006154/0001477932-18-006154-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793219005609/0001477932-19-005609-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793220005565/0001477932-20-005565-index.htm,https://www.sec.gov/Archives/edgar/data/1520118/000147793221006641/0001477932-21-006641-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,17988,25,- -,- -,45843,1974,15691,749,48310,6675,2097537
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,253998,1700,- -,- -,- -
33,Cash and Short-Term Investments,17988,25,- -,- -,45843,1974,269689,2449,48310,6675,2097537
34,Net Receivables,- -,- -,- -,- -,- -,566,1519,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,114851,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,24372,53217,31221,3250,197620
37,Total Current Assets,17988,25,- -,- -,45843,2540,295580,170517,79531,9925,2295157
38,PP&E,- -,- -,- -,- -,1353,- -,- -,633105,1039683,453342,3159523
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,11227,2,82855,245320
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,27080,5571,700,14673,700,700,7663965
45,Total Non-Current Assets,- -,- -,- -,- -,28433,5571,700,659005,1040385,536897,11068808
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17988,25,- -,- -,74276,8111,296280,829522,1119916,546822,13363965
48,Accounts Payable,- -,5248,- -,4253,20545,13916,27417,26973,39028,84443,27259
49,Short-Term Debt,- -,- -,25589,56535,31222,188131,172814,- -,457147,258967,19153
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,4523,- -,- -,129015,1288127,303979,2937367,1712084,313015,227671
53,Total Current Liabilities,- -,9771,25589,60788,180782,1490174,504210,2964340,2208259,656425,274083
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4125000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4125000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
