,https://roic.ai/company/ADAP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,604626,8706534,14198000,37833000,59505000,1122000,3958000,6149000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,37833000,59505000,1122000,1122000,6149000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,0.2835,1.0000
5,Research and Development Exp.,- -,8149770,12528528,18834361,63789000,87388000,98269000,97501000,91568000,-111090000
6,General and Administrative Exp.,- -,1211596,2728480,11323573,23208000,31106000,43601000,43391000,46991000,-57305000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1211596,2728480,11323573,23208000,31106000,43601000,43391000,46991000,-57305000
9,Other Expenses,- -,- -,-281023,3631948,- -,- -,- -,- -,-1196000,- -
10,Operating Expenses,- -,9361366,14975985,33789883,86997000,118494000,141870000,140892000,137363000,-168395000
11,COGS and Expenses,- -,9350724,14975985,27440013,86997000,118494000,141870000,140892000,137363000,- -
12,Interest Income ,- -,13682,3406,506345,1110000,2230000,2849000,2772000,2313000,1095000
13,Interest Expense (Gain),- -,6081,6813,-508243,- -,2230000,376000,2785000,- -,- -
14,Depreciation and Amortization,- -,45606,250366,732785,3286000,5423000,7810000,8010000,7594000,5630000
15,EBITDA,- -,-9291437,-14117587,-19017180,-67401000,-62034000,-86831000,-126128000,-122336000,-151669000
16,EBITDA ratio,- -,-Infinity,-23.3493,-2.1842,-4.7472,-1.6397,-1.4592,-112.4135,-30.9085,-24.6656
17,Operating Income,- -,-9350724,-14371359,-23068577,-72799000,-80661000,-82365000,-139770000,-133405000,-162246000
18,Operating Income ratio,- -,-Infinity,-23.7690,-2.6496,-5.1274,-2.1320,-1.3842,-124.5722,-33.7052,-26.3858
19,Total Other Income Expenses (Gains),- -,7601,-3406,3826855,2112000,10974000,-12652000,2847000,3475000,4947000
20,Income Before Tax,- -,-9343123,-14374766,-19241722,-70687000,-69687000,-95017000,-136923000,-129930000,-157299000
21,Income Before Tax Ratio,- -,-Infinity,-23.7746,-2.2100,-4.9787,-1.8420,-1.5968,-122.0348,-32.8272,-25.5812
22,Income Tax expense (Gain),- -,-878673,-1672514,-1709893,892000,451000,497000,242000,162000,-791000
23,Net Income,- -,-8464450,-12702252,-17531829,-71579000,-70138000,-95514000,-137165000,-130092000,-156508000
24,Net Income ratio,- -,-Infinity,-21.0085,-2.0136,-5.0415,-1.8539,-1.6051,-122.2504,-32.8681,-25.4526
25,EPS,- -,-0.12,-0.20,-0.38,-1.02,-0.78,-0.96,-1.32,-0.90,-1.02
26,EPS Diluted,- -,-0.12,-0.20,-0.38,-1.02,-0.78,-0.96,-1.32,-0.90,-1.02
27,Weighted Average Shares Outstanding,- -,70785317,70785317,54168685,70785666,87939514,97389824,104967536,142463960,155805503
28,Weighted Average Shares Outstanding Diluted,- -,70785317,70785317,54168685,70785666,87939514,97389824,104967536,142463960,155805503
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1621227/000110465918017694/0001104659-18-017694-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837019001209/0001558370-19-001209-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837020001571/0001558370-20-001571-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837021001827/0001558370-21-001827-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837022003489/0001558370-22-003489-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,3023592,247792,51273972,186014379,158779000,84043000,68379000,50412000,56882000,149948000
32,Short-Term Investments,- -,- -,- -,44904162,22694000,124218000,136755000,39130000,311335000,- -
33,Cash and Short-Term Investments,3023592,247792,51273972,230918541,181473000,208261000,205134000,89542000,368217000,149948000
34,Net Receivables,680112,912117,1888817,4422225,1480000,206000,18156000,20671000,20724000,752000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,2086000,- -
36,Other Current Assets,163352,442377,924822,4309849,15798000,21716000,7805000,10276000,7125000,264758000
37,Total Current Assets,3867056,1602286,54087611,239650615,198751000,230183000,231095000,120489000,398152000,415458000
38,PP&E,97383,208267,1430664,5392103,27899000,40679000,36118000,51857000,46658000,51369000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,144300,1268000,1337000,1473000,2198000,1730000,1000000
41,Intangible Assets,- -,- -,- -,144300,1268000,1337000,1473000,2198000,1730000,1000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,219632000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-0,-1013296,6597000,8948000,8050000,6999000,4602000,-217914000
45,Total Non-Current Assets,97383,208267,1430664,4523107,35764000,50964000,45641000,61054000,52990000,54087000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3964439,1810553,55518275,244173722,234515000,281147000,276736000,181543000,451142000,469545000
48,Accounts Payable,556027,1915447,1013387,759810,11350000,8378000,4083000,6357000,6389000,8113000
49,Short-Term Debt,- -,1536918,- -,- -,- -,- -,- -,2493000,2773000,221952000
50,Tax Payable,28273,41045,8495418,287768,2014000,5741000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,11392000,38735000,- -,2128000,2832000,22199000
52,Other Current Liabilities,3534068,513826,52094901,20970770,17528000,27201000,20354000,23363000,27079000,-189723000
53,Total Current Liabilities,4090095,3966191,53108288,21730580,40270000,74314000,24437000,34341000,39073000,62541000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,22966000,20938000,23148000
55,Deferred Revenue,- -,- -,- -,- -,24962000,- -,- -,- -,49260000,177223000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2162000,1415000,3694000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,11620631,3141000,1687000,3999000,-3096000,644000,673000
58,Total Non-Current Liabilities,- -,- -,- -,11620631,28103000,3849000,5414000,23564000,70842000,201044000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,25459000,23711000,- -
61,Total Liabilities,4090095,3966191,53108288,33351211,68373000,78163000,29851000,57905000,109915000,263585000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1571,1520,3406,542722,683000,854000,939000,943000,1325000,1337000
64,Retained Earnings,-9661358,-17644913,-32263174,-38295726,-161492000,-231630000,-318499000,-455664000,-585756000,-743846000
65,Other Comprehensive Income/Loss,-7853,-47126,187349,126690045,-14249000,-21641000,-9763000,-7264000,-10048000,-11142000
66,Other Total Stockholders Equity,9541985,15534881,34482406,170671721,- -,455401000,574208000,585623000,935706000,959611000
67,Total Stockholders Equity,-125656,-2155638,2409987,259608762,166142000,202984000,246885000,123638000,341227000,205960000
68,Total Liabilities And Stockholders Equity,3964439,1810553,55518275,292959973,234515000,281147000,276736000,181543000,451142000,469545000
69,Minority Interest,-0,- -,0,-48786251,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3964439,1810553,55518275,244173722,234515000,281147000,276736000,181543000,451142000,469545000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1621227/000110465918017694/0001104659-18-017694-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837019001209/0001558370-19-001209-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837020001571/0001558370-20-001571-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837021001827/0001558370-21-001827-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837022003489/0001558370-22-003489-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-8464450,-12702252,-17531829,-71579000,-70138000,-95514000,-137165000,-130092000,-156508000
74,Depreciation and Amortization,- -,45606,250366,732785,3286000,5423000,7810000,8010000,7594000,5630000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,170262,349150,4219018,8821000,10804000,16202000,11053000,10414000,20629000
77,Change in Working Capital,- -,904517,3343228,216940711,-59439035,-2612000,50789000,-120510000,272931000,-6162000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-2363904,979324,217920035,158481000,155869000,206658000,86148000,359079000,352917000
82,Other Non-Cash Items,- -,-421094,45990832,-237096993,70743035,2208000,-83675000,126105000,-214438000,147140000
83,Cash Provided by Operating Activities,- -,-7765160,37231325,-32736307,-48168000,-54315000,-104388000,-112507000,-53591000,10729000
84,CAPEX,- -,-159621,-1449399,-5109053,-12785000,-25012000,-4708000,-3074000,-2906000,-8574000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-55295394,-42837000,-171334000,-150787000,-27284000,-381040000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,73377000,69715000,138038000,125303000,105022000,224343000
88,Other Investing Activites,- -,- -,- -,-83343,-1279000,181000,-798000,-1482000,-565000,-139969000
89,Cash Used for Investing Activites,- -,-159621,-1449399,-60280220,17755000,-126081000,-17457000,94945000,-278924000,75800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,3707758,16936335,274736213,- -,103167000,99653000,- -,334388000,2529000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,17000,401000,3037000,366000,5663000,759000
95,Cash Used/Provided by Financing Activities,- -,3707758,16936335,274736213,17000,103568000,102690000,366000,340051000,3288000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-5579000,2328000,3335000,-372000,-960000,365000
97,Net Change In Cash,- -,-4215503,52718261,181719686,-35975000,-74500000,-15820000,-17568000,6576000,90182000
98,Cash at the End of Period,- -,-1289126,51273972,229059802,162796000,88296000,72476000,54908000,61484000,151666000
99,Cash at the Beginning of Period,- -,2926377,-1444289,47340116,198771000,162796000,88296000,72476000,54908000,61484000
100,Free Cash Flow,- -,-7924781,35781926,-37845360,-60953000,-79327000,-109096000,-115581000,-56497000,2155000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1621227/000110465918017694/0001104659-18-017694-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837019001209/0001558370-19-001209-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837020001571/0001558370-20-001571-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837021001827/0001558370-21-001827-index.htm,https://www.sec.gov/Archives/edgar/data/1621227/000155837022003489/0001558370-22-003489-index.htm
102,false,,,,,,,,,,
